Fecha,Agrupación de canales predeterminada,Número de vistas de página
8 oct 2018,Direct,485
8 oct 2018,Organic Search,41
8 oct 2018,Referral,15
9 oct 2018,Direct,201
9 oct 2018,Organic Search,25
10 oct 2018,Direct,96
10 oct 2018,Organic Search,40
11 oct 2018,Direct,220
11 oct 2018,Organic Search,9
12 oct 2018,Direct,24
12 oct 2018,Referral,22
12 oct 2018,Organic Search,14
13 oct 2018,Organic Search,79
13 oct 2018,Direct,4
14 oct 2018,Organic Search,5
14 oct 2018,Direct,14
15 oct 2018,Direct,10
15 oct 2018,Organic Search,22
16 oct 2018,Referral,51
16 oct 2018,Social,1
16 oct 2018,Direct,130
16 oct 2018,Organic Search,14
17 oct 2018,Referral,49
17 oct 2018,Direct,155
17 oct 2018,Organic Search,33
18 oct 2018,Direct,189
18 oct 2018,Referral,25
18 oct 2018,Organic Search,60
19 oct 2018,Referral,21
19 oct 2018,Direct,176
19 oct 2018,Organic Search,48
20 oct 2018,Direct,4
20 oct 2018,Organic Search,44
21 oct 2018,Organic Search,13
21 oct 2018,Direct,11
22 oct 2018,Referral,9
22 oct 2018,Organic Search,55
22 oct 2018,Direct,206
23 oct 2018,Organic Search,28
23 oct 2018,Referral,1
23 oct 2018,Direct,33
24 oct 2018,Referral,9
24 oct 2018,Direct,9
24 oct 2018,Organic Search,32
25 oct 2018,Organic Search,58
25 oct 2018,Direct,49
26 oct 2018,Organic Search,39
26 oct 2018,Direct,54
26 oct 2018,Referral,20
27 oct 2018,Organic Search,16
27 oct 2018,Direct,13
28 oct 2018,Organic Search,17
28 oct 2018,Direct,15
29 oct 2018,Direct,85
29 oct 2018,Referral,18
29 oct 2018,Organic Search,30
30 oct 2018,Organic Search,117
30 oct 2018,Direct,71
30 oct 2018,Referral,3
31 oct 2018,Referral,76
31 oct 2018,Organic Search,165
31 oct 2018,Direct,96
1 nov 2018,Direct,82
1 nov 2018,Organic Search,381
1 nov 2018,Referral,157
2 nov 2018,Direct,35
2 nov 2018,Referral,51
2 nov 2018,Organic Search,93
3 nov 2018,Organic Search,8
3 nov 2018,Direct,9
4 nov 2018,Direct,2
4 nov 2018,Organic Search,5
5 nov 2018,Organic Search,130
5 nov 2018,Referral,89
5 nov 2018,Direct,82
6 nov 2018,Organic Search,68
6 nov 2018,Referral,122
6 nov 2018,Direct,234
7 nov 2018,Social,40
7 nov 2018,Direct,148
7 nov 2018,Referral,80
7 nov 2018,Organic Search,116
8 nov 2018,Direct,61
8 nov 2018,Referral,91
8 nov 2018,Organic Search,123
8 nov 2018,Social,15
9 nov 2018,Referral,61
9 nov 2018,Direct,168
9 nov 2018,Organic Search,51
10 nov 2018,Social,10
10 nov 2018,Direct,12
10 nov 2018,Organic Search,65
11 nov 2018,Organic Search,126
12 nov 2018,Organic Search,44
12 nov 2018,Direct,18
12 nov 2018,Referral,38
13 nov 2018,Social,4
13 nov 2018,Direct,5
13 nov 2018,Referral,15
13 nov 2018,Organic Search,141
14 nov 2018,Organic Search,41
14 nov 2018,Referral,147
14 nov 2018,Direct,26
15 nov 2018,Organic Search,69
15 nov 2018,Direct,51
15 nov 2018,Referral,150
15 nov 2018,Social,1
16 nov 2018,Direct,45
16 nov 2018,Referral,63
16 nov 2018,Organic Search,64
17 nov 2018,Organic Search,13
17 nov 2018,Direct,13
18 nov 2018,Direct,18
18 nov 2018,Organic Search,10
19 nov 2018,Direct,1
19 nov 2018,Organic Search,1
20 nov 2018,Direct,109
20 nov 2018,Referral,165
20 nov 2018,Organic Search,91
21 nov 2018,Social,13
21 nov 2018,Organic Search,35
21 nov 2018,Direct,13
22 nov 2018,Direct,35
22 nov 2018,Organic Search,22
23 nov 2018,Direct,9
23 nov 2018,Organic Search,22
24 nov 2018,Direct,5
24 nov 2018,Organic Search,47
25 nov 2018,Organic Search,4
25 nov 2018,Direct,2
25 nov 2018,Social,1
26 nov 2018,Direct,9
26 nov 2018,Organic Search,56
27 nov 2018,Referral,38
27 nov 2018,Direct,15
27 nov 2018,Organic Search,161
28 nov 2018,Organic Search,126
28 nov 2018,Referral,84
28 nov 2018,Social,10
28 nov 2018,Direct,38
29 nov 2018,Referral,5
29 nov 2018,Organic Search,88
29 nov 2018,Social,53
29 nov 2018,Direct,7
30 nov 2018,Organic Search,19
30 nov 2018,Social,12
30 nov 2018,Direct,4
1 dic 2018,Direct,1
1 dic 2018,Organic Search,30
2 dic 2018,Organic Search,33
2 dic 2018,Direct,10
3 dic 2018,Direct,35
3 dic 2018,Referral,1
3 dic 2018,Organic Search,60
3 dic 2018,Social,30
4 dic 2018,Social,1
4 dic 2018,Referral,8
4 dic 2018,Organic Search,44
4 dic 2018,Direct,3
5 dic 2018,Organic Search,57
5 dic 2018,Direct,55
6 dic 2018,Referral,1
6 dic 2018,Social,5
6 dic 2018,Direct,2
6 dic 2018,Organic Search,81
