Fecha,País,Número de vistas de página
8 oct 2018,United Kingdom,1
8 oct 2018,Argentina,540
9 oct 2018,Mexico,5
9 oct 2018,Paraguay,7
9 oct 2018,Colombia,1
9 oct 2018,Argentina,212
9 oct 2018,United States,1
10 oct 2018,Argentina,133
10 oct 2018,United States,3
11 oct 2018,Argentina,224
11 oct 2018,United States,5
12 oct 2018,Mexico,3
12 oct 2018,Spain,1
12 oct 2018,Argentina,56
13 oct 2018,Spain,1
13 oct 2018,Argentina,82
14 oct 2018,Argentina,14
14 oct 2018,Paraguay,4
14 oct 2018,United States,1
15 oct 2018,Paraguay,2
15 oct 2018,China,1
15 oct 2018,Argentina,29
16 oct 2018,Argentina,172
16 oct 2018,United States,1
16 oct 2018,Ecuador,6
16 oct 2018,India,1
16 oct 2018,Paraguay,9
16 oct 2018,Spain,7
17 oct 2018,Argentina,237
18 oct 2018,United States,1
18 oct 2018,Argentina,273
19 oct 2018,Argentina,245
20 oct 2018,Argentina,47
20 oct 2018,Paraguay,1
21 oct 2018,Argentina,22
21 oct 2018,China,2
22 oct 2018,China,1
22 oct 2018,United States,1
22 oct 2018,Argentina,268
23 oct 2018,Brazil,11
23 oct 2018,Argentina,51
24 oct 2018,Argentina,50
25 oct 2018,Spain,3
25 oct 2018,Argentina,104
26 oct 2018,Argentina,113
27 oct 2018,Argentina,29
28 oct 2018,Argentina,32
29 oct 2018,Mexico,5
29 oct 2018,Argentina,120
29 oct 2018,Colombia,8
30 oct 2018,United States,1
30 oct 2018,Costa Rica,1
30 oct 2018,Argentina,166
30 oct 2018,Brazil,23
31 oct 2018,Argentina,336
31 oct 2018,United States,1
1 nov 2018,Brazil,20
1 nov 2018,Argentina,600
2 nov 2018,United States,1
2 nov 2018,Argentina,178
3 nov 2018,United States,2
3 nov 2018,Ecuador,1
3 nov 2018,Bolivia,1
3 nov 2018,Argentina,13
4 nov 2018,Argentina,7
5 nov 2018,Argentina,301
6 nov 2018,Mexico,1
6 nov 2018,Argentina,422
6 nov 2018,Cuba,1
7 nov 2018,Argentina,382
7 nov 2018,United States,1
7 nov 2018,Germany,1
8 nov 2018,Argentina,277
8 nov 2018,United States,13
9 nov 2018,Argentina,279
9 nov 2018,United States,1
10 nov 2018,Argentina,87
11 nov 2018,Argentina,126
12 nov 2018,Thailand,1
12 nov 2018,Argentina,99
13 nov 2018,United States,2
13 nov 2018,Argentina,159
13 nov 2018,Cuba,4
14 nov 2018,Spain,1
14 nov 2018,Brazil,3
14 nov 2018,United States,4
14 nov 2018,Argentina,206
15 nov 2018,Spain,1
15 nov 2018,Argentina,268
15 nov 2018,United States,2
16 nov 2018,Mexico,3
16 nov 2018,Argentina,163
16 nov 2018,China,1
16 nov 2018,United States,5
17 nov 2018,Argentina,22
17 nov 2018,United States,2
17 nov 2018,India,2
18 nov 2018,Argentina,20
18 nov 2018,United States,8
19 nov 2018,Argentina,2
20 nov 2018,United Kingdom,12
20 nov 2018,Brazil,2
20 nov 2018,Argentina,351
21 nov 2018,Argentina,61
22 nov 2018,Argentina,57
23 nov 2018,Mexico,1
23 nov 2018,Argentina,30
24 nov 2018,Argentina,47
24 nov 2018,United States,2
24 nov 2018,Brazil,3
25 nov 2018,Argentina,7
26 nov 2018,Mexico,1
26 nov 2018,Peru,8
26 nov 2018,Ecuador,1
26 nov 2018,Argentina,55
27 nov 2018,Argentina,213
27 nov 2018,Brazil,1
28 nov 2018,Argentina,258
29 nov 2018,United States,2
29 nov 2018,Chile,8
29 nov 2018,Argentina,143
30 nov 2018,Peru,1
30 nov 2018,Argentina,34
1 dic 2018,Spain,28
1 dic 2018,United States,1
1 dic 2018,Argentina,2
2 dic 2018,Paraguay,1
2 dic 2018,United States,1
2 dic 2018,Argentina,25
2 dic 2018,Mexico,16
3 dic 2018,Argentina,124
3 dic 2018,United States,2
4 dic 2018,Colombia,1
4 dic 2018,Argentina,55
5 dic 2018,Argentina,105
5 dic 2018,Paraguay,7
6 dic 2018,Brazil,4
6 dic 2018,Argentina,79
6 dic 2018,Cuba,1
6 dic 2018,United States,5
7 dic 2018,Argentina,266
7 dic 2018,Brazil,6
7 dic 2018,Hong Kong,1
8 dic 2018,Spain,13
8 dic 2018,Argentina,23
8 dic 2018,United States,1
8 dic 2018,Paraguay,1
9 dic 2018,Argentina,9
10 dic 2018,United States,1
10 dic 2018,Argentina,57
11 dic 2018,Argentina,92
12 dic 2018,Argentina,46
13 dic 2018,Nicaragua,1
13 dic 2018,Argentina,85
13 dic 2018,United Kingdom,6
14 dic 2018,United States,15
14 dic 2018,Colombia,1
14 dic 2018,Argentina,68
15 dic 2018,Argentina,3
16 dic 2018,Argentina,57
17 dic 2018,Mexico,1
17 dic 2018,Argentina,64
17 dic 2018,Colombia,6
17 dic 2018,United States,1
18 dic 2018,Argentina,20
18 dic 2018,Moldova,1
18 dic 2018,Brazil,4
19 dic 2018,Argentina,46
19 dic 2018,United States,14
20 dic 2018,Argentina,72
21 dic 2018,United States,1
21 dic 2018,Paraguay,6
21 dic 2018,Argentina,9
22 dic 2018,Argentina,24
23 dic 2018,Argentina,37
23 dic 2018,Brazil,3
24 dic 2018,Argentina,1
25 dic 2018,Argentina,8
25 dic 2018,United States,1
26 dic 2018,Argentina,5
26 dic 2018,Brazil,4
26 dic 2018,United States,1
27 dic 2018,Spain,1
27 dic 2018,Argentina,43
28 dic 2018,Argentina,12
29 dic 2018,Argentina,9
29 dic 2018,United States,1
30 dic 2018,Argentina,26
31 dic 2018,Argentina,1
1 ene 2019,Argentina,11
2 ene 2019,Ecuador,1
2 ene 2019,Argentina,7
2 ene 2019,Colombia,1
3 ene 2019,United States,2
3 ene 2019,Argentina,1
4 ene 2019,Hong Kong,1
4 ene 2019,Argentina,9
5 ene 2019,Argentina,4
6 ene 2019,Argentina,8
7 ene 2019,Mexico,2
7 ene 2019,Argentina,3
8 ene 2019,Argentina,21
8 ene 2019,Mexico,2
8 ene 2019,Brazil,2
8 ene 2019,United States,1
9 ene 2019,Argentina,10
10 ene 2019,Argentina,11
10 ene 2019,Guatemala,3
10 ene 2019,Mexico,2
11 ene 2019,Spain,17
11 ene 2019,Argentina,21
12 ene 2019,Paraguay,1
12 ene 2019,Argentina,7
13 ene 2019,Spain,1
13 ene 2019,Argentina,10
14 ene 2019,Argentina,5
14 ene 2019,Colombia,1
15 ene 2019,Spain,1
15 ene 2019,Mexico,1
15 ene 2019,Argentina,4
16 ene 2019,United States,5
16 ene 2019,Argentina,38
16 ene 2019,Mexico,1
17 ene 2019,Argentina,56
18 ene 2019,United States,1
18 ene 2019,Argentina,36
19 ene 2019,United States,1
19 ene 2019,Argentina,31
19 ene 2019,Brazil,2
20 ene 2019,Argentina,17
20 ene 2019,Spain,5
20 ene 2019,Brazil,11
21 ene 2019,Mexico,1
21 ene 2019,Paraguay,18
21 ene 2019,Argentina,2
22 ene 2019,United States,1
22 ene 2019,Argentina,7
23 ene 2019,Argentina,8
24 ene 2019,Brazil,7
24 ene 2019,Paraguay,20
24 ene 2019,Norway,1
24 ene 2019,Argentina,49
25 ene 2019,Paraguay,3
25 ene 2019,Mexico,1
25 ene 2019,Argentina,83
26 ene 2019,Argentina,15
26 ene 2019,Mexico,1
27 ene 2019,United States,1
28 ene 2019,Argentina,23
29 ene 2019,Argentina,60
30 ene 2019,Argentina,31
31 ene 2019,Colombia,14
31 ene 2019,Argentina,45
1 feb 2019,Colombia,5
1 feb 2019,Argentina,11
1 feb 2019,Czechia,1
2 feb 2019,Spain,17
2 feb 2019,Argentina,59
3 feb 2019,Argentina,34
4 feb 2019,Argentina,16
5 feb 2019,Argentina,8
6 feb 2019,Brazil,1
6 feb 2019,United States,9
6 feb 2019,Argentina,47
7 feb 2019,Brazil,2
7 feb 2019,United States,1
7 feb 2019,Argentina,15
7 feb 2019,Spain,1
7 feb 2019,Netherlands,3
8 feb 2019,Colombia,1
8 feb 2019,Argentina,18
8 feb 2019,United States,1
9 feb 2019,Paraguay,1
9 feb 2019,Guatemala,1
9 feb 2019,Argentina,17
10 feb 2019,Mexico,1
10 feb 2019,Argentina,3
11 feb 2019,Mexico,1
11 feb 2019,Argentina,292
11 feb 2019,Colombia,1
12 feb 2019,Argentina,171
12 feb 2019,United States,5
13 feb 2019,United States,1
13 feb 2019,Hong Kong,1
13 feb 2019,Argentina,221
14 feb 2019,Argentina,55
15 feb 2019,Argentina,73
16 feb 2019,Hong Kong,1
16 feb 2019,Argentina,29
17 feb 2019,Argentina,28
18 feb 2019,Brazil,1
18 feb 2019,Argentina,43
18 feb 2019,United States,3
19 feb 2019,Argentina,53
19 feb 2019,Costa Rica,4
20 feb 2019,Brazil,1
20 feb 2019,Argentina,109
21 feb 2019,Argentina,97
22 feb 2019,Argentina,72
22 feb 2019,Mexico,1
22 feb 2019,Spain,6
23 feb 2019,Argentina,33
24 feb 2019,Argentina,76
24 feb 2019,Mexico,1
25 feb 2019,Ireland,1
25 feb 2019,Spain,5
25 feb 2019,Argentina,50
25 feb 2019,Brazil,4
26 feb 2019,United States,1
26 feb 2019,Argentina,75
26 feb 2019,Spain,1
27 feb 2019,Mexico,1
27 feb 2019,Brazil,2
27 feb 2019,Argentina,92
28 feb 2019,Argentina,80
1 mar 2019,Argentina,48
1 mar 2019,Mexico,1
2 mar 2019,Argentina,4
3 mar 2019,Argentina,15
4 mar 2019,Paraguay,11
4 mar 2019,Argentina,10
5 mar 2019,Argentina,34
5 mar 2019,Guatemala,1
5 mar 2019,United States,1
6 mar 2019,Argentina,44
6 mar 2019,Paraguay,5
6 mar 2019,United States,1
7 mar 2019,Colombia,1
7 mar 2019,Argentina,70
8 mar 2019,Argentina,114
9 mar 2019,Hong Kong,1
9 mar 2019,Colombia,1
9 mar 2019,Argentina,63
10 mar 2019,Argentina,57
10 mar 2019,Bangladesh,1
11 mar 2019,Argentina,163
11 mar 2019,Ecuador,1
11 mar 2019,United States,1
12 mar 2019,Argentina,145
12 mar 2019,Brazil,1
13 mar 2019,France,1
13 mar 2019,China,1
13 mar 2019,Argentina,98
13 mar 2019,Paraguay,1
13 mar 2019,Brazil,2
14 mar 2019,France,1
14 mar 2019,Argentina,92
15 mar 2019,France,1
15 mar 2019,Argentina,128
16 mar 2019,Japan,1
16 mar 2019,Argentina,13
17 mar 2019,Bolivia,2
17 mar 2019,Argentina,42
18 mar 2019,Argentina,79
18 mar 2019,United States,1
18 mar 2019,Brazil,4
19 mar 2019,Brazil,10
19 mar 2019,Costa Rica,1
19 mar 2019,Argentina,86
19 mar 2019,United States,5
20 mar 2019,United States,1
20 mar 2019,Argentina,146
20 mar 2019,Spain,1
20 mar 2019,Brazil,5
20 mar 2019,Colombia,6
21 mar 2019,Argentina,262
21 mar 2019,Netherlands,2
21 mar 2019,China,1
22 mar 2019,(not set),34
22 mar 2019,Chile,21
22 mar 2019,Brazil,14
22 mar 2019,China,3
22 mar 2019,Argentina,204
23 mar 2019,Argentina,28
24 mar 2019,Argentina,98
25 mar 2019,Argentina,186
26 mar 2019,Argentina,248
27 mar 2019,Brazil,3
27 mar 2019,Argentina,101
27 mar 2019,Mexico,1
28 mar 2019,Brazil,1
28 mar 2019,Argentina,188
28 mar 2019,United States,1
29 mar 2019,China,2
29 mar 2019,Brazil,2
29 mar 2019,United States,3
29 mar 2019,Argentina,152
30 mar 2019,Argentina,54
31 mar 2019,Argentina,50
1 abr 2019,United States,1
1 abr 2019,Argentina,177
1 abr 2019,Brazil,1
1 abr 2019,Colombia,4
2 abr 2019,Mexico,4
2 abr 2019,Argentina,93
3 abr 2019,(not set),1
3 abr 2019,Hong Kong,1
3 abr 2019,Mexico,1
3 abr 2019,United States,3
3 abr 2019,Argentina,303
4 abr 2019,(not set),4
4 abr 2019,Argentina,168
4 abr 2019,Mexico,1
4 abr 2019,United States,3
5 abr 2019,Argentina,381
5 abr 2019,Germany,2
6 abr 2019,(not set),1
6 abr 2019,Argentina,84
7 abr 2019,(not set),8
7 abr 2019,Argentina,76
8 abr 2019,Argentina,100
8 abr 2019,Brazil,1
8 abr 2019,(not set),12
8 abr 2019,Mexico,2
9 abr 2019,Canada,3
9 abr 2019,(not set),35
9 abr 2019,China,4
9 abr 2019,United States,1
9 abr 2019,Argentina,196
10 abr 2019,Colombia,2
10 abr 2019,Argentina,102
10 abr 2019,(not set),50
10 abr 2019,Panama,1
10 abr 2019,United States,1
11 abr 2019,Mexico,5
11 abr 2019,Argentina,167
11 abr 2019,(not set),35
11 abr 2019,Colombia,1
12 abr 2019,(not set),18
12 abr 2019,Argentina,140
12 abr 2019,Colombia,50
12 abr 2019,United States,1
13 abr 2019,United States,2
13 abr 2019,Argentina,92
14 abr 2019,Argentina,77
15 abr 2019,Chile,3
15 abr 2019,Paraguay,1
15 abr 2019,United States,2
15 abr 2019,(not set),7
15 abr 2019,Germany,1
15 abr 2019,Argentina,172
16 abr 2019,Colombia,1
16 abr 2019,United States,2
16 abr 2019,Argentina,130
17 abr 2019,United States,1
17 abr 2019,Argentina,106
17 abr 2019,Chile,4
18 abr 2019,Argentina,48
19 abr 2019,Argentina,111
20 abr 2019,Argentina,46
21 abr 2019,Brazil,1
21 abr 2019,Hong Kong,2
21 abr 2019,Argentina,47
21 abr 2019,Peru,2
22 abr 2019,India,2
22 abr 2019,Argentina,224
22 abr 2019,Spain,1
22 abr 2019,Cuba,7
23 abr 2019,(not set),15
23 abr 2019,Hong Kong,1
23 abr 2019,Spain,1
23 abr 2019,United States,3
23 abr 2019,Argentina,138
24 abr 2019,(not set),3
24 abr 2019,Argentina,104
25 abr 2019,(not set),12
25 abr 2019,Paraguay,1
25 abr 2019,Argentina,84
25 abr 2019,Hong Kong,1
26 abr 2019,(not set),4
26 abr 2019,Argentina,107
27 abr 2019,Argentina,56
27 abr 2019,Italy,1
28 abr 2019,Argentina,105
28 abr 2019,United States,2
28 abr 2019,Brazil,1
29 abr 2019,Peru,14
29 abr 2019,Singapore,1
29 abr 2019,(not set),2
29 abr 2019,Hong Kong,1
29 abr 2019,Argentina,114
29 abr 2019,Mexico,1
29 abr 2019,United States,2
30 abr 2019,Mexico,1
30 abr 2019,(not set),12
30 abr 2019,Argentina,76
1 may 2019,Argentina,40
2 may 2019,Argentina,160
2 may 2019,United States,1
2 may 2019,Mexico,1
3 may 2019,Paraguay,1
3 may 2019,Argentina,210
4 may 2019,Argentina,61
4 may 2019,Bolivia,1
4 may 2019,China,1
5 may 2019,Argentina,70
6 may 2019,Guatemala,46
6 may 2019,Colombia,1
6 may 2019,Argentina,218
7 may 2019,Argentina,149
7 may 2019,Ecuador,1
8 may 2019,Brazil,2
8 may 2019,Argentina,145
8 may 2019,United States,1
9 may 2019,Mexico,1
9 may 2019,Paraguay,1
9 may 2019,Argentina,120
10 may 2019,Paraguay,1
10 may 2019,Brazil,3
10 may 2019,Argentina,128
10 may 2019,Spain,1
11 may 2019,Argentina,117
11 may 2019,United States,1
11 may 2019,Hong Kong,1
11 may 2019,Chile,1
11 may 2019,Brazil,1
12 may 2019,Argentina,98
13 may 2019,Chile,2
13 may 2019,Argentina,113
14 may 2019,(not set),6
14 may 2019,Colombia,1
14 may 2019,Mexico,2
14 may 2019,Argentina,92
14 may 2019,United States,1
15 may 2019,Argentina,174
15 may 2019,United States,1
15 may 2019,Chile,1
16 may 2019,Argentina,129
17 may 2019,Argentina,165
17 may 2019,Cuba,3
17 may 2019,United States,1
18 may 2019,Argentina,50
19 may 2019,Argentina,120
19 may 2019,Spain,1
20 may 2019,Argentina,76
21 may 2019,Hong Kong,1
21 may 2019,Spain,6
21 may 2019,Argentina,200
21 may 2019,United States,9
22 may 2019,Germany,5
22 may 2019,Argentina,111
23 may 2019,Germany,1
23 may 2019,Argentina,84
23 may 2019,Hong Kong,1
23 may 2019,Colombia,3
24 may 2019,Spain,2
24 may 2019,Germany,11
24 may 2019,Argentina,75
24 may 2019,Mexico,1
25 may 2019,India,1
25 may 2019,Argentina,37
26 may 2019,Bolivia,1
26 may 2019,Canada,5
26 may 2019,Argentina,60
27 may 2019,Colombia,3
27 may 2019,Argentina,88
27 may 2019,Brazil,28
28 may 2019,Brazil,1
28 may 2019,Hong Kong,1
28 may 2019,Argentina,115
29 may 2019,Paraguay,4
29 may 2019,Argentina,175
29 may 2019,Spain,2
29 may 2019,Chile,1
30 may 2019,Argentina,108
30 may 2019,Mexico,1
31 may 2019,Argentina,129
31 may 2019,Hong Kong,1
31 may 2019,United States,1
1 jun 2019,Argentina,72
1 jun 2019,Brazil,1
1 jun 2019,United States,2
2 jun 2019,Argentina,71
2 jun 2019,Paraguay,2
3 jun 2019,Bolivia,1
3 jun 2019,Argentina,134
4 jun 2019,United States,5
4 jun 2019,Argentina,207
4 jun 2019,Peru,1
4 jun 2019,(not set),1
4 jun 2019,Mexico,2
4 jun 2019,Spain,3
5 jun 2019,Mexico,1
5 jun 2019,Argentina,108
5 jun 2019,Chile,1
6 jun 2019,Argentina,121
6 jun 2019,Bolivia,1
6 jun 2019,United States,3
6 jun 2019,Colombia,1
6 jun 2019,Mexico,1
6 jun 2019,Spain,3
7 jun 2019,Colombia,4
7 jun 2019,Argentina,81
8 jun 2019,Paraguay,9
8 jun 2019,Mexico,1
8 jun 2019,El Salvador,4
8 jun 2019,Argentina,147
8 jun 2019,Russia,1
9 jun 2019,United States,2
9 jun 2019,Brazil,1
9 jun 2019,Paraguay,2
9 jun 2019,Argentina,124
10 jun 2019,Chile,1
10 jun 2019,United States,1
10 jun 2019,Argentina,117
11 jun 2019,Spain,1
11 jun 2019,Mexico,2
11 jun 2019,Argentina,97
11 jun 2019,United States,4
12 jun 2019,Argentina,377
12 jun 2019,Brazil,5
13 jun 2019,India,1
13 jun 2019,United States,1
13 jun 2019,Argentina,121
13 jun 2019,Mexico,18
14 jun 2019,Germany,1
14 jun 2019,Argentina,57
14 jun 2019,Peru,1
14 jun 2019,France,3
15 jun 2019,United States,1
15 jun 2019,Mexico,1
15 jun 2019,Chile,3
15 jun 2019,Argentina,36
16 jun 2019,Argentina,18
16 jun 2019,Mexico,1
17 jun 2019,Mexico,1
17 jun 2019,Argentina,30
18 jun 2019,Mexico,2
