,Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,desktop,mobile,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Linux,Android,iOS,Windows,Macintosh,Windows Phone,Sistema operativo (not set),Chrome OS,BlackBerry,FreeBSD,Playstation 4,Sistema operativo promedio,Sistema operativo std,Direct,Organic Search,Referral,Social,Paid Search,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std
0,8 oct 2018,541,22,22,1.6363636363636365,36,540,1,492,49,0,180.33333333333331,221.2876458870269,400,48,1,89,3,0,0,0,0,0,0,49.18181818181818,114.26748378799488,485,41,15,0,0,108.2,188.99460309754883
1,9 oct 2018,226,23,26,1.3461538461538465,35,212,14,211,8,7,75.33333333333333,95.93168865859128,112,8,7,99,0,0,0,0,0,0,0,20.545454545454547,40.24326851980372,201,25,0,0,0,45.2,78.49942674949926
2,10 oct 2018,136,18,24,1.4583333333333333,35,133,3,119,17,0,45.33333333333334,52.550504807808984,60,17,0,59,0,0,0,0,0,0,0,12.363636363636365,22.740723292537737,96,40,0,0,0,27.2,37.72744359216511
3,11 oct 2018,229,11,16,1.8125,29,224,5,215,14,0,76.33333333333333,98.21857710682278,116,14,0,94,5,0,0,0,0,0,0,20.818181818181817,40.16515491594036,220,9,0,0,0,45.8,87.16971951314287
4,12 oct 2018,60,10,13,1.4615384615384617,19,56,4,40,20,0,20.0,16.32993161855452,3,20,0,37,0,0,0,0,0,0,0,5.454545454545454,11.48408888509059,24,14,22,0,0,12.0,10.353743284435827
5,13 oct 2018,83,8,11,1.181818181818182,13,82,1,52,31,0,27.66666666666667,21.359359124801053,0,31,0,52,0,0,0,0,0,0,0,7.545454545454546,16.620707983846465,4,79,0,0,0,16.6,31.23843786107109
6,14 oct 2018,19,5,7,1.0,7,14,5,11,8,0,6.333333333333332,4.642796092394708,0,7,1,11,0,0,0,0,0,0,0,1.7272727272727273,3.544288852657805,14,5,0,0,0,3.8,5.455272678794342
7,15 oct 2018,32,9,10,1.0,10,29,3,25,4,3,10.666666666666666,10.143416036468627,1,4,3,14,10,0,0,0,0,0,0,2.9090909090909087,4.56178883283432,10,22,0,0,0,6.4,8.708616422830898
8,16 oct 2018,196,11,20,1.6,32,172,24,162,34,0,65.33333333333333,69.74875546480301,74,33,1,88,0,0,0,0,0,0,0,17.818181818181817,31.359551776186237,130,14,51,1,0,39.2,49.01999592003247
9,17 oct 2018,237,8,14,1.5,21,237,0,232,4,1,79.0,108.1942697188719,96,4,1,136,0,0,0,0,0,0,0,21.545454545454547,45.349879495406974,155,33,49,0,0,47.4,57.0634734309085
10,18 oct 2018,274,40,50,1.38,69,273,1,154,120,0,91.33333333333331,66.05721425821373,63,115,5,91,0,0,0,0,0,0,0,24.90909090909091,41.20338588349826,189,60,25,0,0,54.8,70.61274672465305
11,19 oct 2018,245,15,25,1.36,34,245,0,196,49,0,81.66666666666667,83.28398538868215,132,36,13,64,0,0,0,0,0,0,0,22.272727272727273,39.91830500384712,176,48,21,0,0,49.0,65.90295896240167
