Fecha,Sistema operativo,Vistas
14 jun 2022,Android,37
14 jun 2022,Windows,31
14 jun 2022,Macintosh,3
15 jun 2022,Android,130
15 jun 2022,Windows,103
15 jun 2022,iOS,25
15 jun 2022,Macintosh,21
15 jun 2022,Linux,0
16 jun 2022,Android,106
16 jun 2022,Windows,74
16 jun 2022,iOS,20
16 jun 2022,Macintosh,4
16 jun 2022,Linux,3
17 jun 2022,Android,64
17 jun 2022,Windows,36
17 jun 2022,iOS,9
17 jun 2022,Linux,1
18 jun 2022,Android,49
18 jun 2022,Windows,28
18 jun 2022,Linux,1
18 jun 2022,Macintosh,1
18 jun 2022,iOS,1
19 jun 2022,Android,34
19 jun 2022,Windows,23
19 jun 2022,iOS,4
19 jun 2022,Macintosh,0
20 jun 2022,Windows,39
20 jun 2022,Android,30
20 jun 2022,iOS,4
20 jun 2022,Macintosh,1
20 jun 2022,Linux,0
21 jun 2022,Windows,85
21 jun 2022,Android,39
21 jun 2022,Macintosh,4
21 jun 2022,Linux,1
21 jun 2022,iOS,1
22 jun 2022,Windows,118
22 jun 2022,Android,21
22 jun 2022,iOS,2
22 jun 2022,Linux,1
22 jun 2022,Macintosh,1
23 jun 2022,Windows,115
23 jun 2022,Android,108
23 jun 2022,iOS,2
24 jun 2022,Windows,133
24 jun 2022,Android,114
24 jun 2022,Macintosh,3
24 jun 2022,iOS,2
24 jun 2022,Linux,1
25 jun 2022,Android,53
25 jun 2022,Windows,18
25 jun 2022,iOS,2
26 jun 2022,Windows,58
26 jun 2022,Android,20
26 jun 2022,Macintosh,3
26 jun 2022,iOS,1
27 jun 2022,Windows,163
27 jun 2022,Android,28
27 jun 2022,Linux,5
27 jun 2022,Macintosh,1
28 jun 2022,Windows,88
28 jun 2022,Android,31
28 jun 2022,iOS,2
28 jun 2022,Macintosh,1
29 jun 2022,Windows,228
29 jun 2022,Android,32
29 jun 2022,iOS,3
29 jun 2022,Linux,2
29 jun 2022,Macintosh,2
30 jun 2022,Windows,45
30 jun 2022,Android,33
30 jun 2022,Macintosh,3
30 jun 2022,iOS,2
1 jul 2022,Windows,91
1 jul 2022,Android,20
1 jul 2022,iOS,9
2 jul 2022,Android,39
2 jul 2022,Windows,9
3 jul 2022,Windows,22
3 jul 2022,Android,14
3 jul 2022,Macintosh,3
3 jul 2022,iOS,1
4 jul 2022,Android,84
4 jul 2022,Windows,67
4 jul 2022,iOS,1
5 jul 2022,Android,58
5 jul 2022,Windows,49
5 jul 2022,Macintosh,5
5 jul 2022,Linux,1
5 jul 2022,iOS,1
6 jul 2022,Windows,117
6 jul 2022,Android,29
6 jul 2022,iOS,12
6 jul 2022,Linux,7
7 jul 2022,Windows,112
7 jul 2022,Android,11
7 jul 2022,iOS,3
7 jul 2022,Linux,1
8 jul 2022,Windows,41
8 jul 2022,Android,25
8 jul 2022,iOS,4
8 jul 2022,Linux,3
9 jul 2022,Windows,35
9 jul 2022,Android,13
9 jul 2022,Macintosh,4
10 jul 2022,Android,21
10 jul 2022,Windows,5
10 jul 2022,Macintosh,1
11 jul 2022,Windows,306
11 jul 2022,Android,26
11 jul 2022,Macintosh,22
12 jul 2022,Windows,77
12 jul 2022,Android,18
12 jul 2022,Linux,4
12 jul 2022,Macintosh,3
13 jul 2022,Windows,22
13 jul 2022,Android,20
13 jul 2022,Macintosh,3
13 jul 2022,iOS,1
14 jul 2022,Windows,55
14 jul 2022,Android,37
14 jul 2022,iOS,1
15 jul 2022,Android,24
15 jul 2022,Windows,23
16 jul 2022,Windows,52
16 jul 2022,Android,11
16 jul 2022,iOS,2
17 jul 2022,Windows,85
17 jul 2022,Android,74
17 jul 2022,iOS,6
17 jul 2022,Linux,4
17 jul 2022,Macintosh,2
17 jul 2022,Chrome OS,1
18 jul 2022,Android,70
18 jul 2022,Windows,53
18 jul 2022,Macintosh,4
18 jul 2022,iOS,4
18 jul 2022,Linux,0
19 jul 2022,Windows,44
19 jul 2022,Android,41
19 jul 2022,Macintosh,5
19 jul 2022,iOS,1
20 jul 2022,Android,19
20 jul 2022,Windows,19
20 jul 2022,Macintosh,18
20 jul 2022,iOS,2
21 jul 2022,Windows,33
21 jul 2022,Android,20
21 jul 2022,iOS,1
22 jul 2022,Windows,22
22 jul 2022,Android,21
22 jul 2022,iOS,4
22 jul 2022,Macintosh,1
22 jul 2022,Linux,0
23 jul 2022,Android,30
23 jul 2022,Windows,6
23 jul 2022,iOS,2
23 jul 2022,Macintosh,1
23 jul 2022,Linux,0
24 jul 2022,Android,42
24 jul 2022,Windows,2
24 jul 2022,iOS,1
25 jul 2022,Android,68
25 jul 2022,Windows,42
25 jul 2022,iOS,4
25 jul 2022,Macintosh,2
26 jul 2022,Windows,62
26 jul 2022,Android,50
26 jul 2022,Macintosh,3
26 jul 2022,iOS,2
27 jul 2022,Windows,69
27 jul 2022,Android,56
27 jul 2022,Macintosh,6
27 jul 2022,Linux,3
27 jul 2022,iOS,1
28 jul 2022,Windows,71
28 jul 2022,Android,68
28 jul 2022,Linux,2
28 jul 2022,Macintosh,1
29 jul 2022,Windows,98
29 jul 2022,Android,39
29 jul 2022,Linux,1
29 jul 2022,iOS,1
30 jul 2022,Windows,76
30 jul 2022,Android,32
30 jul 2022,iOS,2
31 jul 2022,Windows,42
31 jul 2022,Android,25
1 ago 2022,Windows,92
1 ago 2022,Android,33
1 ago 2022,iOS,5
1 ago 2022,Macintosh,2
2 ago 2022,Windows,84
2 ago 2022,Android,61
2 ago 2022,Linux,3
2 ago 2022,iOS,3
3 ago 2022,Windows,32
3 ago 2022,Android,29
3 ago 2022,Linux,1
4 ago 2022,Android,139
4 ago 2022,Windows,126
4 ago 2022,Linux,9
4 ago 2022,iOS,2
5 ago 2022,Windows,167
5 ago 2022,Android,40
5 ago 2022,Macintosh,4
5 ago 2022,Linux,1
5 ago 2022,iOS,1
6 ago 2022,Windows,62
6 ago 2022,Android,24
7 ago 2022,Windows,22
7 ago 2022,Android,14
7 ago 2022,Linux,4
7 ago 2022,iOS,1
8 ago 2022,Android,205
8 ago 2022,Windows,145
8 ago 2022,Macintosh,14
8 ago 2022,Linux,10
8 ago 2022,iOS,4
9 ago 2022,Android,89
9 ago 2022,Windows,83
9 ago 2022,Macintosh,4
9 ago 2022,iOS,3
9 ago 2022,Linux,2
10 ago 2022,Android,114
10 ago 2022,Windows,78
10 ago 2022,iOS,6
10 ago 2022,Macintosh,1
11 ago 2022,Windows,144
11 ago 2022,Android,53
11 ago 2022,iOS,2
11 ago 2022,Macintosh,1
12 ago 2022,Windows,74
12 ago 2022,Android,48
12 ago 2022,Linux,3
12 ago 2022,Macintosh,1
13 ago 2022,Android,51
13 ago 2022,Windows,9
13 ago 2022,iOS,1
14 ago 2022,Android,47
14 ago 2022,Windows,44
15 ago 2022,Android,64
15 ago 2022,Windows,25
16 ago 2022,Android,441
16 ago 2022,Windows,138
16 ago 2022,iOS,44
16 ago 2022,Chrome OS,2
16 ago 2022,Macintosh,2
17 ago 2022,Android,161
17 ago 2022,Windows,148
17 ago 2022,Linux,1
17 ago 2022,Macintosh,1
17 ago 2022,iOS,1
18 ago 2022,Windows,90
18 ago 2022,Android,46
18 ago 2022,Macintosh,5
18 ago 2022,iOS,3
18 ago 2022,Linux,2
19 ago 2022,Windows,78
19 ago 2022,Android,27
19 ago 2022,iOS,6
20 ago 2022,Windows,49
20 ago 2022,Android,21
20 ago 2022,iOS,3
20 ago 2022,Chrome OS,1
20 ago 2022,Linux,1
21 ago 2022,Windows,25
21 ago 2022,Android,18
21 ago 2022,Chrome OS,1
21 ago 2022,iOS,1
22 ago 2022,Android,71
22 ago 2022,Windows,70
22 ago 2022,Linux,1
22 ago 2022,Macintosh,1
23 ago 2022,Windows,256
23 ago 2022,Android,196
23 ago 2022,Macintosh,6
23 ago 2022,iOS,5
23 ago 2022,Linux,2
