Fecha,Grupo de canales predeterminado de la sesión,Vistas
14 jun 2022,Organic Search,45
14 jun 2022,Direct,20
14 jun 2022,Referral,4
14 jun 2022,Organic Social,2
15 jun 2022,Direct,151
15 jun 2022,Organic Search,81
15 jun 2022,Organic Social,42
15 jun 2022,Referral,5
15 jun 2022,Unassigned,0
16 jun 2022,Direct,114
16 jun 2022,Organic Search,67
16 jun 2022,Organic Social,18
16 jun 2022,Referral,8
16 jun 2022,Unassigned,0
17 jun 2022,Referral,39
17 jun 2022,Direct,31
17 jun 2022,Organic Search,24
17 jun 2022,Organic Social,16
18 jun 2022,Organic Social,34
18 jun 2022,Direct,16
18 jun 2022,Organic Search,15
18 jun 2022,Referral,14
18 jun 2022,Unassigned,1
19 jun 2022,Organic Search,28
19 jun 2022,Direct,19
19 jun 2022,Referral,10
19 jun 2022,Organic Social,4
20 jun 2022,Organic Search,39
20 jun 2022,Referral,22
20 jun 2022,Direct,13
21 jun 2022,Direct,63
21 jun 2022,Organic Search,54
21 jun 2022,Referral,10
21 jun 2022,Organic Social,3
22 jun 2022,Organic Search,83
22 jun 2022,Direct,48
22 jun 2022,Organic Social,7
22 jun 2022,Referral,5
23 jun 2022,Organic Search,122
23 jun 2022,Direct,90
23 jun 2022,Organic Social,8
23 jun 2022,Referral,5
24 jun 2022,Organic Search,138
24 jun 2022,Direct,109
24 jun 2022,Organic Social,6
25 jun 2022,Direct,37
25 jun 2022,Organic Search,32
25 jun 2022,Organic Social,3
25 jun 2022,Referral,1
26 jun 2022,Organic Search,67
26 jun 2022,Direct,11
26 jun 2022,Referral,3
26 jun 2022,Organic Social,1
27 jun 2022,Organic Search,147
27 jun 2022,Direct,42
27 jun 2022,Referral,8
28 jun 2022,Direct,73
28 jun 2022,Organic Search,48
28 jun 2022,Referral,1
28 jun 2022,Unassigned,0
29 jun 2022,Organic Search,234
29 jun 2022,Direct,17
29 jun 2022,Organic Social,14
29 jun 2022,Referral,2
30 jun 2022,Organic Search,44
30 jun 2022,Direct,24
30 jun 2022,Organic Social,14
30 jun 2022,Referral,1
1 jul 2022,Organic Search,101
1 jul 2022,Organic Social,10
1 jul 2022,Direct,8
1 jul 2022,Referral,1
2 jul 2022,Organic Search,39
2 jul 2022,Direct,8
2 jul 2022,Organic Social,1
3 jul 2022,Organic Search,31
3 jul 2022,Organic Social,5
3 jul 2022,Direct,3
3 jul 2022,Referral,1
3 jul 2022,Unassigned,0
4 jul 2022,Organic Search,125
4 jul 2022,Direct,24
4 jul 2022,Organic Social,2
4 jul 2022,Referral,1
5 jul 2022,Organic Search,89
5 jul 2022,Direct,25
6 jul 2022,Organic Search,127
6 jul 2022,Direct,22
6 jul 2022,Organic Social,15
6 jul 2022,Referral,1
7 jul 2022,Organic Search,63
7 jul 2022,Direct,54
7 jul 2022,Organic Social,9
7 jul 2022,Referral,1
8 jul 2022,Organic Search,45
8 jul 2022,Direct,20
8 jul 2022,Referral,6
8 jul 2022,Organic Social,2
9 jul 2022,Referral,29
9 jul 2022,Organic Search,19
9 jul 2022,Direct,4
10 jul 2022,Organic Search,26
10 jul 2022,Direct,1
11 jul 2022,Organic Search,326
11 jul 2022,Direct,28
12 jul 2022,Organic Social,47
12 jul 2022,Organic Search,40
12 jul 2022,Direct,9
12 jul 2022,Unassigned,5
12 jul 2022,Referral,1
13 jul 2022,Organic Search,36
13 jul 2022,Direct,10
14 jul 2022,Organic Search,64
14 jul 2022,Referral,22
14 jul 2022,Direct,4
14 jul 2022,Organic Social,3
15 jul 2022,Organic Search,47
16 jul 2022,Direct,41
16 jul 2022,Organic Search,22
16 jul 2022,Organic Social,2
17 jul 2022,Organic Search,95
17 jul 2022,Direct,66
17 jul 2022,Organic Social,7
17 jul 2022,Referral,4
18 jul 2022,Organic Search,85
18 jul 2022,Direct,35
18 jul 2022,Organic Social,7
18 jul 2022,Referral,4
18 jul 2022,Unassigned,0
19 jul 2022,Organic Search,54
19 jul 2022,Direct,22
19 jul 2022,Organic Social,12
19 jul 2022,Unassigned,3
20 jul 2022,Organic Search,45
20 jul 2022,Direct,13
21 jul 2022,Organic Search,32
21 jul 2022,Direct,21
21 jul 2022,Organic Social,1
22 jul 2022,Organic Search,30
22 jul 2022,Direct,17
22 jul 2022,Referral,1
22 jul 2022,Organic Social,0
22 jul 2022,Unassigned,0
23 jul 2022,Organic Search,26
23 jul 2022,Direct,13
23 jul 2022,Unassigned,0
24 jul 2022,Organic Search,42
24 jul 2022,Direct,3
25 jul 2022,Organic Search,60
25 jul 2022,Organic Social,40
25 jul 2022,Direct,13
25 jul 2022,Referral,3
26 jul 2022,Organic Search,77
26 jul 2022,Direct,33
26 jul 2022,Organic Social,7
27 jul 2022,Organic Search,72
27 jul 2022,Direct,52
27 jul 2022,Organic Social,8
