Fecha,Categoría de dispositivo,Vistas
14 jun 2022,mobile,37
14 jun 2022,desktop,34
15 jun 2022,mobile,155
15 jun 2022,desktop,124
16 jun 2022,mobile,124
16 jun 2022,desktop,81
16 jun 2022,tablet,2
17 jun 2022,mobile,72
17 jun 2022,desktop,37
17 jun 2022,tablet,1
18 jun 2022,mobile,48
18 jun 2022,desktop,30
18 jun 2022,tablet,2
19 jun 2022,mobile,36
19 jun 2022,desktop,23
19 jun 2022,tablet,2
20 jun 2022,desktop,40
20 jun 2022,mobile,34
21 jun 2022,desktop,90
21 jun 2022,mobile,40
22 jun 2022,desktop,120
22 jun 2022,mobile,23
23 jun 2022,desktop,115
23 jun 2022,mobile,109
23 jun 2022,tablet,1
24 jun 2022,desktop,137
24 jun 2022,mobile,115
24 jun 2022,tablet,1
25 jun 2022,mobile,55
25 jun 2022,desktop,18
26 jun 2022,desktop,61
26 jun 2022,mobile,21
27 jun 2022,desktop,169
27 jun 2022,mobile,28
28 jun 2022,desktop,89
28 jun 2022,mobile,33
29 jun 2022,desktop,232
29 jun 2022,mobile,35
30 jun 2022,desktop,48
30 jun 2022,mobile,35
1 jul 2022,desktop,91
1 jul 2022,mobile,29
2 jul 2022,mobile,39
2 jul 2022,desktop,9
3 jul 2022,desktop,25
3 jul 2022,mobile,15
4 jul 2022,desktop,67
4 jul 2022,mobile,56
4 jul 2022,tablet,29
5 jul 2022,mobile,59
5 jul 2022,desktop,55
6 jul 2022,desktop,124
6 jul 2022,mobile,41
7 jul 2022,desktop,113
7 jul 2022,mobile,14
8 jul 2022,desktop,44
8 jul 2022,mobile,29
9 jul 2022,desktop,39
9 jul 2022,mobile,13
10 jul 2022,mobile,21
10 jul 2022,desktop,6
11 jul 2022,desktop,328
11 jul 2022,mobile,26
12 jul 2022,desktop,84
12 jul 2022,mobile,18
13 jul 2022,desktop,25
13 jul 2022,mobile,21
14 jul 2022,desktop,55
14 jul 2022,mobile,38
15 jul 2022,mobile,24
15 jul 2022,desktop,23
16 jul 2022,desktop,52
16 jul 2022,mobile,11
16 jul 2022,tablet,2
17 jul 2022,desktop,92
17 jul 2022,mobile,74
17 jul 2022,tablet,6
18 jul 2022,mobile,63
18 jul 2022,desktop,57
18 jul 2022,tablet,11
19 jul 2022,desktop,49
19 jul 2022,mobile,42
20 jul 2022,desktop,37
20 jul 2022,mobile,21
21 jul 2022,desktop,33
21 jul 2022,mobile,21
22 jul 2022,mobile,25
22 jul 2022,desktop,23
23 jul 2022,mobile,32
23 jul 2022,desktop,7
24 jul 2022,mobile,43
24 jul 2022,desktop,2
25 jul 2022,mobile,56
25 jul 2022,desktop,44
25 jul 2022,tablet,16
26 jul 2022,desktop,65
26 jul 2022,mobile,52
27 jul 2022,desktop,78
27 jul 2022,mobile,57
28 jul 2022,desktop,74
28 jul 2022,mobile,68
29 jul 2022,desktop,99
29 jul 2022,mobile,40
30 jul 2022,desktop,76
30 jul 2022,mobile,34
31 jul 2022,desktop,42
31 jul 2022,mobile,25
1 ago 2022,desktop,94
1 ago 2022,mobile,33
1 ago 2022,tablet,5
2 ago 2022,desktop,87
2 ago 2022,mobile,64
3 ago 2022,desktop,33
3 ago 2022,mobile,29
4 ago 2022,mobile,140
4 ago 2022,desktop,135
4 ago 2022,tablet,1
5 ago 2022,desktop,172
5 ago 2022,mobile,40
5 ago 2022,tablet,1
6 ago 2022,desktop,62
6 ago 2022,mobile,24
7 ago 2022,desktop,26
7 ago 2022,mobile,15
8 ago 2022,mobile,205
8 ago 2022,desktop,169
8 ago 2022,tablet,4
9 ago 2022,mobile,92
9 ago 2022,desktop,89
10 ago 2022,mobile,120
10 ago 2022,desktop,79
11 ago 2022,desktop,145
11 ago 2022,mobile,55
12 ago 2022,desktop,78
12 ago 2022,mobile,48
13 ago 2022,mobile,52
13 ago 2022,desktop,9
14 ago 2022,mobile,47
14 ago 2022,desktop,44
15 ago 2022,mobile,64
15 ago 2022,desktop,25
16 ago 2022,mobile,485
16 ago 2022,desktop,142
17 ago 2022,mobile,162
17 ago 2022,desktop,150
18 ago 2022,desktop,97
18 ago 2022,mobile,49
19 ago 2022,desktop,78
19 ago 2022,mobile,33
20 ago 2022,desktop,51
20 ago 2022,mobile,24
21 ago 2022,desktop,26
21 ago 2022,mobile,19
22 ago 2022,desktop,72
22 ago 2022,mobile,71
23 ago 2022,desktop,264
23 ago 2022,mobile,201
24 ago 2022,desktop,97
24 ago 2022,mobile,93
25 ago 2022,desktop,137
25 ago 2022,mobile,58
26 ago 2022,desktop,31
26 ago 2022,mobile,29
27 ago 2022,mobile,42
27 ago 2022,desktop,20
28 ago 2022,desktop,11
28 ago 2022,mobile,11
29 ago 2022,desktop,111
29 ago 2022,mobile,74
30 ago 2022,desktop,124
30 ago 2022,mobile,46
31 ago 2022,desktop,47
31 ago 2022,mobile,12
1 sept 2022,desktop,41
1 sept 2022,mobile,33
2 sept 2022,desktop,34
2 sept 2022,mobile,17
3 sept 2022,mobile,17
3 sept 2022,desktop,11
4 sept 2022,desktop,28
4 sept 2022,mobile,15
5 sept 2022,desktop,142
5 sept 2022,mobile,50
6 sept 2022,desktop,52
6 sept 2022,mobile,45
6 sept 2022,tablet,1
7 sept 2022,desktop,93
7 sept 2022,mobile,45
7 sept 2022,tablet,6
8 sept 2022,desktop,44
8 sept 2022,mobile,17
8 sept 2022,smart tv,2
9 sept 2022,mobile,27
9 sept 2022,desktop,21
10 sept 2022,desktop,37
10 sept 2022,mobile,20
11 sept 2022,mobile,48
11 sept 2022,desktop,43
12 sept 2022,desktop,95
12 sept 2022,mobile,30
13 sept 2022,desktop,86
13 sept 2022,mobile,35
14 sept 2022,desktop,76
14 sept 2022,mobile,67
15 sept 2022,mobile,64
15 sept 2022,desktop,60
16 sept 2022,desktop,50
16 sept 2022,mobile,17
16 sept 2022,tablet,3
17 sept 2022,desktop,104
17 sept 2022,mobile,12
18 sept 2022,desktop,27
18 sept 2022,mobile,8
19 sept 2022,desktop,80
19 sept 2022,mobile,29
20 sept 2022,desktop,85
20 sept 2022,mobile,32
20 sept 2022,tablet,1
21 sept 2022,desktop,61
21 sept 2022,mobile,26
22 sept 2022,desktop,41
22 sept 2022,mobile,21
23 sept 2022,desktop,28
23 sept 2022,mobile,17
23 sept 2022,tablet,1
24 sept 2022,mobile,27
24 sept 2022,desktop,18
25 sept 2022,desktop,41
25 sept 2022,mobile,30
25 sept 2022,tablet,2
26 sept 2022,desktop,74
26 sept 2022,mobile,33
26 sept 2022,tablet,1
27 sept 2022,desktop,107
27 sept 2022,mobile,29
28 sept 2022,desktop,211
28 sept 2022,mobile,35
28 sept 2022,tablet,2
29 sept 2022,desktop,130
29 sept 2022,mobile,43
30 sept 2022,desktop,52
30 sept 2022,mobile,40
1 oct 2022,mobile,41
1 oct 2022,desktop,12
2 oct 2022,desktop,18
2 oct 2022,mobile,13
3 oct 2022,mobile,54
3 oct 2022,desktop,46
4 oct 2022,desktop,46
4 oct 2022,mobile,44
5 oct 2022,desktop,87
5 oct 2022,mobile,20
6 oct 2022,desktop,60
6 oct 2022,mobile,42
7 oct 2022,mobile,27
7 oct 2022,desktop,16
8 oct 2022,desktop,0
9 oct 2022,desktop,3
9 oct 2022,mobile,1
10 oct 2022,desktop,80
10 oct 2022,mobile,23
11 oct 2022,desktop,76
11 oct 2022,mobile,42
12 oct 2022,desktop,56
12 oct 2022,mobile,38
13 oct 2022,desktop,67
13 oct 2022,mobile,14
14 oct 2022,desktop,52
14 oct 2022,mobile,37
14 oct 2022,tablet,1
15 oct 2022,desktop,31
15 oct 2022,mobile,11
