Fecha,Vistas,Usuarios nuevos,Total de usuarios,Sesiones por usuario,Sesiones
14 jun 2022,71,39,39,1.205128205128205,47
15 jun 2022,279,142,147,1.1564625850340136,170
16 jun 2022,207,103,117,1.2307692307692308,144
17 jun 2022,110,77,81,1.0740740740740742,87
18 jun 2022,80,53,57,1.0526315789473684,60
19 jun 2022,61,23,29,1.0344827586206897,30
20 jun 2022,74,46,51,1.1176470588235294,57
21 jun 2022,130,44,52,1.1538461538461537,60
22 jun 2022,143,41,51,1.3137254901960784,67
23 jun 2022,225,39,47,1.3829787234042554,65
24 jun 2022,253,46,55,1.2181818181818183,67
25 jun 2022,73,21,28,1.1785714285714286,33
26 jun 2022,82,28,34,1.2424242424242424,41
27 jun 2022,197,32,45,1.2,54
28 jun 2022,122,35,40,1.1,44
29 jun 2022,267,42,50,1.12,56
30 jun 2022,83,34,41,1.146341463414634,47
1 jul 2022,120,30,40,1.2,48
2 jul 2022,48,17,20,1.3,26
3 jul 2022,40,19,23,1,23
4 jul 2022,152,30,43,1.186046511627907,51
5 jul 2022,114,32,44,1.1136363636363635,49
6 jul 2022,165,38,47,1.1702127659574468,55
7 jul 2022,127,30,38,1.105263157894737,42
8 jul 2022,73,30,38,1.131578947368421,43
9 jul 2022,52,11,11,1.0909090909090908,12
10 jul 2022,27,11,14,1.1428571428571428,16
11 jul 2022,354,18,26,1.1538461538461537,30
12 jul 2022,102,19,29,1.206896551724138,35
13 jul 2022,46,7,15,1.2666666666666666,19
14 jul 2022,93,22,25,1.08,27
15 jul 2022,47,17,21,1.3333333333333333,28
16 jul 2022,65,12,15,1.1333333333333333,17
17 jul 2022,172,85,87,1.0574712643678161,92
18 jul 2022,131,60,69,1.1594202898550725,80
19 jul 2022,91,39,47,1.0851063829787233,51
20 jul 2022,58,24,25,1.36,34
21 jul 2022,54,19,27,1.1481481481481481,31
22 jul 2022,48,27,32,1.125,36
23 jul 2022,39,23,27,1,27
24 jul 2022,45,19,21,1.0952380952380953,23
25 jul 2022,116,25,35,1.1142857142857143,39
26 jul 2022,117,40,46,1.173913043478261,54
27 jul 2022,135,38,50,1.16,58
28 jul 2022,142,29,39,1.1025641025641026,43
29 jul 2022,139,35,49,1.2653061224489797,62
30 jul 2022,110,22,31,1,31
31 jul 2022,67,21,23,1.1304347826086956,26
1 ago 2022,132,22,35,1.1714285714285715,41
2 ago 2022,151,53,66,1.1666666666666667,77
3 ago 2022,62,29,36,1.3142857142857143,46
4 ago 2022,276,39,48,1.3409090909090908,59
5 ago 2022,213,35,49,1.3658536585365855,56
6 ago 2022,86,22,24,1.0416666666666667,25
7 ago 2022,41,16,20,1.1666666666666667,21
8 ago 2022,378,88,98,1.1382978723404256,107
9 ago 2022,181,57,69,1.140625,73
10 ago 2022,199,39,58,1.3518518518518519,73
11 ago 2022,200,41,52,1.346938775510204,66
12 ago 2022,126,27,42,1.457142857142857,51
13 ago 2022,61,17,30,1.4782608695652173,34
14 ago 2022,91,19,26,1.5,33
15 ago 2022,89,22,34,1.5357142857142858,43
16 ago 2022,627,99,122,1.4035087719298245,160
17 ago 2022,312,43,62,1.3454545454545455,74
18 ago 2022,146,65,73,1.1690140845070423,83
19 ago 2022,111,24,45,1.6470588235294117,56
20 ago 2022,75,18,29,1.3636363636363635,30
21 ago 2022,45,7,11,1.5555555555555556,14
22 ago 2022,143,34,48,1.2093023255813953,52
23 ago 2022,465,127,149,1.2569444444444444,181
24 ago 2022,190,51,65,1.2741935483870968,79
25 ago 2022,195,50,62,1.3333333333333333,76
26 ago 2022,60,23,37,1.34375,43
27 ago 2022,62,20,23,1.1818181818181819,26
28 ago 2022,22,15,19,1.1111111111111112,20
29 ago 2022,185,33,40,1.2972972972972974,48
30 ago 2022,170,28,45,1.358974358974359,53
31 ago 2022,59,23,29,1.1153846153846154,29
1 sept 2022,74,28,36,1.3142857142857143,46
2 sept 2022,51,24,29,1.2307692307692308,32
3 sept 2022,28,15,19,1.2352941176470589,21
4 sept 2022,43,19,23,1.263157894736842,24
5 sept 2022,192,55,71,1.1304347826086956,78
6 sept 2022,98,32,46,1.45,58
7 sept 2022,144,30,39,1.2222222222222223,44
8 sept 2022,63,25,33,1.2,36
9 sept 2022,48,16,24,1.2272727272727273,27
10 sept 2022,57,19,21,1.0476190476190477,22
11 sept 2022,91,29,34,1.1290322580645162,35
12 sept 2022,125,36,50,1.2708333333333333,61
13 sept 2022,121,38,47,1.108695652173913,51
14 sept 2022,143,40,46,1.2666666666666666,57
15 sept 2022,124,31,45,1.3,52
16 sept 2022,70,32,40,1.236842105263158,47
17 sept 2022,116,15,22,1.1578947368421053,22
18 sept 2022,35,18,23,1.4090909090909092,31
19 sept 2022,109,26,42,1.2894736842105263,49
20 sept 2022,118,25,36,1.2285714285714286,43
21 sept 2022,87,28,34,1.25,40
22 sept 2022,62,32,37,1.2352941176470589,42
23 sept 2022,46,27,29,1.2142857142857142,34
24 sept 2022,45,20,26,1.380952380952381,29
25 sept 2022,73,38,43,1.2307692307692308,48
26 sept 2022,108,31,47,1.4186046511627908,61
27 sept 2022,136,34,42,1.425,57
28 sept 2022,248,47,56,1.4,77
29 sept 2022,173,31,45,1.4615384615384615,57
30 sept 2022,92,24,30,1.3461538461538463,35
1 oct 2022,53,20,23,1.3333333333333333,28
2 oct 2022,31,13,15,1.2307692307692308,16
3 oct 2022,100,31,41,1.3243243243243243,49
4 oct 2022,90,30,46,1.375,55
5 oct 2022,107,38,47,1.2954545454545454,57
6 oct 2022,102,36,49,1.2727272727272727,56
7 oct 2022,43,20,23,1.2857142857142858,27
8 oct 2022,0,0,1,null,1
9 oct 2022,4,2,3,1,3
10 oct 2022,103,25,35,1.375,44
11 oct 2022,118,31,42,1.3076923076923077,51
12 oct 2022,94,42,48,1.173913043478261,54
13 oct 2022,81,24,36,1.4666666666666666,44
14 oct 2022,90,28,35,1.3125,42
15 oct 2022,42,12,15,1.2307692307692308,16
16 oct 2022,20,13,16,1.5384615384615385,20
17 oct 2022,86,29,38,1.2285714285714286,43
18 oct 2022,101,28,34,1.2903225806451613,40
19 oct 2022,112,29,39,1.1842105263157894,45
20 oct 2022,132,51,57,1.1428571428571428,64
21 oct 2022,84,32,39,1.236842105263158,47
22 oct 2022,46,23,26,1.16,29
23 oct 2022,28,16,20,1.2222222222222223,22
24 oct 2022,74,26,34,1.1875,38
25 oct 2022,318,59,72,1.1527777777777777,83
26 oct 2022,265,38,52,1.16,58
27 oct 2022,94,27,36,1.393939393939394,46
28 oct 2022,66,22,28,1.16,29
29 oct 2022,109,18,22,1.15,23
30 oct 2022,29,20,24,1.0869565217391304,25
31 oct 2022,6,5,6,1.4,7
1 nov 2022,56,10,18,1.2222222222222223,22
2 nov 2022,93,24,33,1.3103448275862069,38
3 nov 2022,64,28,33,1.4242424242424243,47
4 nov 2022,99,34,42,1.170731707317073,48
5 nov 2022,85,22,24,1.1304347826086956,26
