,Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,mobile,desktop,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Android,Windows,Macintosh,iOS,Linux,Chrome OS,Sistema operativo (not set),Sistema operativo promedio,Sistema operativo std,Organic Search,Direct,Referral,Social,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std
0,14 jun 2022,71,39,39,1.205128205128205,47,70,1,37,34,0,23.66666666666667,16.77961726487096,37,31,3,0,0,0,0,7.888888888888888,14.05895874478812,45,20,4,2,17.75,17.210098779495713
1,15 jun 2022,279,142,147,1.1564625850340136,170,222,57,155,124,0,93.0,66.9676538835479,130,103,21,25,0,0,0,31.0,47.05316142407436,81,151,5,42,69.75,54.061885834661744
2,16 jun 2022,207,103,117,1.2307692307692308,144,174,33,124,81,2,69.0,50.5239217269074,106,74,4,20,3,0,0,23.0,37.082490627129005,67,114,8,18,51.75,42.31060741705323
3,17 jun 2022,110,77,81,1.0740740740740742,87,86,24,72,37,1,36.66666666666666,28.986586936412888,64,36,0,9,1,0,0,12.222222222222221,21.42053935298641,24,31,39,16,27.5,8.5
4,18 jun 2022,80,53,57,1.0526315789473684,60,60,20,48,30,2,26.66666666666667,18.926759422104517,49,28,1,1,1,0,0,8.888888888888891,16.589450760745812,15,17,14,34,20.0,8.154753215150045
5,19 jun 2022,61,23,29,1.0344827586206895,30,46,15,36,23,2,20.33333333333333,14.007934259633796,34,23,0,4,0,0,0,6.777777777777778,11.960841458487012,28,19,10,4,15.25,9.093266739736606
6,20 jun 2022,74,46,51,1.1176470588235294,57,59,15,34,40,0,24.66666666666667,17.613126418163873,30,39,1,4,0,0,0,8.222222222222221,14.257768079797204,39,13,22,0,18.5,14.186260959111106
7,21 jun 2022,130,44,52,1.1538461538461535,60,119,11,40,90,0,43.33333333333334,36.81787005729087,39,85,4,1,1,0,0,14.444444444444445,27.661088237253715,54,63,10,3,32.5,26.31064423384574
8,22 jun 2022,143,41,51,1.3137254901960784,67,133,10,23,120,0,47.66666666666666,52.00213670823751,21,118,1,2,1,0,0,15.888888888888891,36.66498312633351,83,48,5,7,35.75,32.22867512014727
9,23 jun 2022,225,39,47,1.3829787234042554,65,216,9,109,115,1,75.0,52.38320341483518,108,115,0,2,0,0,0,25.0,46.269740531895025,122,90,5,8,56.25,51.03124043171986
10,24 jun 2022,253,46,55,1.2181818181818185,67,229,24,115,137,1,84.33333333333333,59.60611452601896,114,133,3,2,1,0,0,28.11111111111111,51.193411998994215,138,109,0,6,63.25,61.15298439160594
11,25 jun 2022,73,21,28,1.1785714285714286,33,68,5,55,18,0,24.33333333333333,22.89589968143253,53,18,0,2,0,0,0,8.11111111111111,16.815630588793436,32,37,1,3,18.25,16.361158271956178
12,26 jun 2022,82,28,34,1.2424242424242424,41,76,6,21,61,0,27.33333333333333,25.30261295246446,20,58,3,1,0,0,0,9.111111111111109,18.339056345797104,67,11,3,1,20.5,27.106272336859604
13,27 jun 2022,197,32,45,1.2,54,166,31,28,169,0,65.66666666666667,73.9564436378302,28,163,1,0,5,0,0,21.88888888888889,50.62595830521125,147,42,8,0,49.25,58.597674868547465
14,28 jun 2022,122,35,40,1.1,44,115,7,33,89,0,40.66666666666666,36.736297521056144,31,88,1,2,0,0,0,13.555555555555555,28.00044091363607,48,73,1,0,30.5,31.276988346066823
15,29 jun 2022,267,42,50,1.12,56,255,12,35,232,0,89.0,102.12084344866463,32,228,2,3,2,0,0,29.66666666666667,70.79234107977753,234,17,2,14,66.75,96.72480292045056
16,30 jun 2022,83,34,41,1.146341463414634,47,77,6,35,48,0,27.66666666666667,20.27039439401436,33,45,3,2,0,0,0,9.222222222222221,16.198612956929214,44,24,1,14,20.75,15.706288549495072
17,1 jul 2022,120,30,40,1.2,48,110,10,29,91,0,40.0,37.95611501018863,20,91,0,9,0,0,0,13.333333333333336,28.20953345551425,101,8,1,10,30.0,41.12784944535758
18,2 jul 2022,48,17,20,1.3,26,42,6,39,9,0,16.0,16.673332000533062,39,9,0,0,0,0,0,5.333333333333333,12.229290885229425,39,8,0,1,12.0,15.890248582070706
19,3 jul 2022,40,19,23,1.0,23,36,4,15,25,0,13.333333333333336,10.274023338281626,14,22,3,1,0,0,0,4.4444444444444455,7.544108976341313,31,3,1,5,10.0,12.206555615733702
20,4 jul 2022,152,30,43,1.186046511627907,51,144,8,56,67,29,50.66666666666666,15.965240019770727,84,67,0,1,0,0,0,16.88888888888889,31.585666385049638,125,24,1,2,38.0,51.06368572674714
21,5 jul 2022,114,32,44,1.1136363636363635,49,105,9,59,55,0,38.0,26.919633479426626,58,49,5,1,1,0,0,12.666666666666664,21.97978869577938,89,25,0,0,28.5,36.39024594585752
22,6 jul 2022,165,38,47,1.1702127659574468,55,159,6,41,124,0,55.0,51.58165048412727,29,117,0,12,7,0,0,18.33333333333333,36.05243095517663,127,22,1,15,41.25,50.08180807438965
23,7 jul 2022,127,30,38,1.1052631578947372,42,118,9,14,113,0,42.333333333333336,50.29468715038951,11,112,0,3,1,0,0,14.111111111111109,34.773695181030305,63,54,1,9,31.75,27.086666461563702
24,8 jul 2022,73,30,38,1.131578947368421,43,61,12,29,44,0,24.33333333333333,18.263503375736967,25,41,0,4,3,0,0,8.11111111111111,13.899995559107554,45,20,6,2,18.25,16.82817577754642
25,9 jul 2022,52,11,11,1.0909090909090908,12,49,3,13,39,0,17.333333333333332,16.21384867602041,13,35,4,0,0,0,0,5.777777777777778,11.103330609203882,19,4,29,0,13.0,11.640446726822814
26,10 jul 2022,27,11,14,1.1428571428571428,16,24,3,21,6,0,9.0,8.831760866327848,21,5,1,0,0,0,0,3.0,6.548960901462832,26,1,0,0,6.75,11.121488209767614
27,11 jul 2022,354,18,26,1.1538461538461535,30,351,3,26,328,0,118.0,148.87130907823263,26,306,22,0,0,0,0,39.333333333333336,94.7933424760293,326,28,0,0,88.5,137.59632989291538
28,12 jul 2022,102,19,29,1.206896551724138,35,96,6,18,84,0,34.0,36.11094017053558,18,77,3,0,4,0,0,11.333333333333336,23.85604978011052,40,14,1,47,25.5,18.741664813991317
29,13 jul 2022,46,7,15,1.2666666666666666,19,44,2,21,25,0,15.333333333333336,10.964589468932349,20,22,3,1,0,0,0,5.111111111111111,8.556277025857094,36,10,0,0,11.5,14.722431864335455
30,14 jul 2022,93,22,25,1.08,27,63,30,38,55,0,31.0,22.992752481307374,37,55,0,1,0,0,0,10.333333333333334,19.533447098644814,64,4,22,3,23.25,24.712092181763968
31,15 jul 2022,47,17,21,1.3333333333333333,28,42,5,24,23,0,15.666666666666664,11.08552609887726,24,23,0,0,0,0,0,5.222222222222221,9.77272596768712,47,0,0,0,11.75,20.35159698893431
32,16 jul 2022,65,12,15,1.1333333333333333,17,61,4,11,52,2,21.66666666666667,21.76133165859929,11,52,0,2,0,0,0,7.222222222222222,16.191752206174993,22,41,0,2,16.25,16.67895380412093
33,17 jul 2022,172,85,87,1.057471264367816,92,129,43,74,92,6,57.33333333333334,37.03451843288306,74,85,2,6,4,1,0,19.11111111111111,32.439497339729556,95,66,4,7,43.0,38.89087296526012
