Fecha,País,Vistas
14 jun 2022,Argentina,1
14 jun 2022,Mexico,1
15 jun 2022,Argentina,4
16 jun 2022,Argentina,8
16 jun 2022,Paraguay,4
17 jun 2022,Argentina,3
17 jun 2022,Mexico,1
18 jun 2022,China,0
19 jun 2022,China,1
19 jun 2022,Paraguay,1
20 jun 2022,Argentina,1
20 jun 2022,Paraguay,1
21 jun 2022,Argentina,9
22 jun 2022,Argentina,1
22 jun 2022,Mexico,1
23 jun 2022,Argentina,4
23 jun 2022,Paraguay,1
24 jun 2022,Argentina,2
26 jun 2022,Argentina,3
27 jun 2022,Argentina,3
28 jun 2022,Argentina,5
28 jun 2022,United States,3
28 jun 2022,China,0
29 jun 2022,Argentina,3
30 jun 2022,Argentina,1
1 jul 2022,Argentina,6
1 jul 2022,China,0
2 jul 2022,Argentina,9
2 jul 2022,China,0
3 jul 2022,Argentina,3
3 jul 2022,China,0
4 jul 2022,Argentina,2
5 jul 2022,Argentina,5
6 jul 2022,Argentina,5
7 jul 2022,Argentina,9
8 jul 2022,Argentina,10
9 jul 2022,Argentina,3
10 jul 2022,Argentina,2
10 ago 2022,Argentina,1
26 ago 2022,Argentina,3
4 oct 2022,Argentina,1
14 mar 2023,Argentina,4
19 may 2023,Argentina,5
25 may 2023,Argentina,2
26 may 2023,Argentina,1
6 jun 2023,Argentina,2
7 jun 2023,Argentina,0
13 jun 2023,United States,2
13 jun 2023,France,1
14 jun 2023,Argentina,2
14 jun 2023,United Kingdom,1
15 jun 2023,United States,2
15 jun 2023,Argentina,1
16 jun 2023,Argentina,38
17 jun 2023,Chile,3
18 jun 2023,Argentina,2
18 jun 2023,Mexico,1
19 jun 2023,Argentina,2
19 jun 2023,China,1
19 jun 2023,Germany,1
20 jun 2023,Brazil,2
21 jun 2023,Argentina,22
3 jul 2023,Argentina,1
4 jul 2023,Argentina,1
19 sept 2023,Argentina,1
20 sept 2023,Argentina,1
22 nov 2023,Argentina,1
23 nov 2023,Argentina,1
