Fecha,Grupo de canales predeterminado de la sesión,Vistas
14 jun 2022,Organic Search,2
15 jun 2022,Direct,3
15 jun 2022,Organic Search,1
16 jun 2022,Organic Search,10
16 jun 2022,Direct,2
17 jun 2022,Direct,2
17 jun 2022,Organic Search,1
17 jun 2022,Referral,1
18 jun 2022,Unassigned,0
19 jun 2022,Organic Search,2
20 jun 2022,Organic Search,2
21 jun 2022,Organic Search,9
22 jun 2022,Organic Search,2
23 jun 2022,Organic Search,5
24 jun 2022,Organic Search,2
26 jun 2022,Organic Search,2
26 jun 2022,Direct,1
27 jun 2022,Organic Search,3
28 jun 2022,Organic Search,6
28 jun 2022,Direct,2
28 jun 2022,Unassigned,0
29 jun 2022,Organic Search,3
30 jun 2022,Organic Search,1
1 jul 2022,Organic Search,6
1 jul 2022,Unassigned,0
2 jul 2022,Organic Search,9
2 jul 2022,Unassigned,0
3 jul 2022,Organic Search,3
3 jul 2022,Unassigned,0
4 jul 2022,Organic Search,2
5 jul 2022,Organic Search,4
5 jul 2022,Direct,1
6 jul 2022,Organic Search,5
7 jul 2022,Organic Search,9
8 jul 2022,Organic Search,9
8 jul 2022,Direct,1
9 jul 2022,Organic Search,3
10 jul 2022,Organic Search,2
10 ago 2022,Direct,1
26 ago 2022,Direct,3
4 oct 2022,Direct,1
14 mar 2023,Direct,4
19 may 2023,Direct,5
25 may 2023,Organic Search,2
26 may 2023,Organic Search,1
6 jun 2023,Direct,2
7 jun 2023,Direct,0
13 jun 2023,Direct,3
14 jun 2023,Direct,3
15 jun 2023,Direct,3
16 jun 2023,Direct,38
17 jun 2023,Direct,3
18 jun 2023,Direct,2
18 jun 2023,Organic Search,1
19 jun 2023,Direct,3
19 jun 2023,Organic Search,1
20 jun 2023,Direct,2
21 jun 2023,Direct,14
21 jun 2023,Organic Search,8
3 jul 2023,Direct,1
4 jul 2023,Direct,1
19 sept 2023,Direct,1
20 sept 2023,Direct,1
22 nov 2023,Direct,1
23 nov 2023,Direct,1
