Fecha,Categoría de dispositivo,Vistas
14 jun 2022,desktop,1
14 jun 2022,mobile,1
15 jun 2022,desktop,4
16 jun 2022,mobile,8
16 jun 2022,desktop,4
17 jun 2022,mobile,3
17 jun 2022,desktop,1
18 jun 2022,desktop,0
19 jun 2022,mobile,2
20 jun 2022,desktop,1
20 jun 2022,mobile,1
21 jun 2022,mobile,5
21 jun 2022,desktop,4
22 jun 2022,desktop,1
22 jun 2022,mobile,1
23 jun 2022,desktop,3
23 jun 2022,mobile,2
24 jun 2022,mobile,2
26 jun 2022,desktop,2
26 jun 2022,mobile,1
27 jun 2022,mobile,2
27 jun 2022,desktop,1
28 jun 2022,desktop,5
28 jun 2022,mobile,3
29 jun 2022,desktop,3
30 jun 2022,mobile,1
30 jun 2022,desktop,0
1 jul 2022,mobile,4
1 jul 2022,desktop,2
2 jul 2022,desktop,6
2 jul 2022,mobile,3
3 jul 2022,desktop,2
3 jul 2022,mobile,1
4 jul 2022,desktop,1
4 jul 2022,mobile,1
5 jul 2022,mobile,1
5 jul 2022,desktop,4
6 jul 2022,mobile,4
6 jul 2022,desktop,1
7 jul 2022,desktop,7
7 jul 2022,mobile,2
8 jul 2022,desktop,8
8 jul 2022,mobile,2
9 jul 2022,mobile,3
10 jul 2022,mobile,2
10 ago 2022,desktop,1
26 ago 2022,desktop,3
4 oct 2022,desktop,1
14 mar 2023,desktop,4
19 may 2023,desktop,5
25 may 2023,desktop,2
26 may 2023,desktop,1
6 jun 2023,desktop,2
7 jun 2023,desktop,0
13 jun 2023,desktop,3
14 jun 2023,desktop,3
15 jun 2023,desktop,3
16 jun 2023,desktop,38
17 jun 2023,desktop,3
18 jun 2023,desktop,2
18 jun 2023,mobile,1
19 jun 2023,desktop,3
19 jun 2023,mobile,1
20 jun 2023,desktop,2
21 jun 2023,mobile,18
21 jun 2023,desktop,4
3 jul 2023,desktop,1
4 jul 2023,desktop,1
19 sept 2023,desktop,1
20 sept 2023,desktop,1
22 nov 2023,desktop,1
23 nov 2023,desktop,1
