Fecha,Vistas,Usuarios nuevos,Total de usuarios,Sesiones por usuario,Sesiones
14 jun 2022,2,2,2,1,2
15 jun 2022,4,2,2,1,2
16 jun 2022,12,8,8,1.125,9
17 jun 2022,4,3,3,1,3
18 jun 2022,0,0,1,1,1
19 jun 2022,2,2,2,1,2
20 jun 2022,2,2,2,1,2
21 jun 2022,9,2,2,1,2
22 jun 2022,2,2,2,1,2
23 jun 2022,5,3,3,1,3
24 jun 2022,2,2,2,1,2
26 jun 2022,3,3,3,1.3333333333333333,4
27 jun 2022,3,3,3,1.3333333333333333,4
28 jun 2022,8,5,11,1,11
29 jun 2022,3,2,2,1.5,3
30 jun 2022,1,1,2,1,2
1 jul 2022,6,6,9,1,9
2 jul 2022,9,4,5,1,5
3 jul 2022,3,2,3,1,3
4 jul 2022,2,2,2,1,2
5 jul 2022,5,4,5,1.2,6
6 jul 2022,5,5,5,1,5
7 jul 2022,9,5,5,1,5
8 jul 2022,10,5,5,1.2,6
9 jul 2022,3,1,1,2,2
10 jul 2022,2,2,2,1,2
10 ago 2022,1,1,1,1,1
26 ago 2022,3,1,1,1,1
4 oct 2022,1,0,1,1,1
14 mar 2023,4,1,1,1,1
19 may 2023,5,1,1,1,1
25 may 2023,2,1,1,1,1
26 may 2023,1,1,1,1,1
6 jun 2023,2,0,1,1,1
7 jun 2023,0,0,1,null,1
13 jun 2023,3,3,3,1,3
14 jun 2023,3,2,2,1,2
15 jun 2023,3,2,3,2,4
16 jun 2023,38,1,1,1,1
17 jun 2023,3,2,2,1,2
18 jun 2023,3,2,2,1,2
19 jun 2023,4,2,3,1,3
20 jun 2023,2,1,1,1,1
21 jun 2023,22,7,8,1.1428571428571428,8
3 jul 2023,1,0,1,1,1
4 jul 2023,1,0,1,1,1
19 sept 2023,1,1,1,1,1
20 sept 2023,1,0,1,null,1
22 nov 2023,1,0,1,null,1
23 nov 2023,1,1,1,1,1
