Fecha,Sistema operativo,Vistas
14 jun 2022,Android,1
14 jun 2022,Windows,1
15 jun 2022,Macintosh,3
15 jun 2022,Windows,1
16 jun 2022,Android,8
16 jun 2022,Windows,4
17 jun 2022,Android,3
17 jun 2022,Windows,1
18 jun 2022,Macintosh,0
19 jun 2022,Android,2
20 jun 2022,Android,1
20 jun 2022,Windows,1
21 jun 2022,Android,5
21 jun 2022,Windows,4
22 jun 2022,Android,1
22 jun 2022,Windows,1
23 jun 2022,Windows,3
23 jun 2022,Android,2
24 jun 2022,Android,2
26 jun 2022,Windows,2
26 jun 2022,Android,1
27 jun 2022,Android,2
27 jun 2022,Windows,1
28 jun 2022,Windows,5
28 jun 2022,Android,3
28 jun 2022,Macintosh,0
29 jun 2022,Windows,3
30 jun 2022,Android,1
30 jun 2022,Windows,0
1 jul 2022,Android,3
1 jul 2022,Windows,2
1 jul 2022,iOS,1
1 jul 2022,Macintosh,0
2 jul 2022,Windows,6
2 jul 2022,Android,3
2 jul 2022,Macintosh,0
3 jul 2022,Windows,2
3 jul 2022,Android,1
3 jul 2022,Macintosh,0
4 jul 2022,Android,1
4 jul 2022,Windows,1
5 jul 2022,Windows,4
5 jul 2022,Android,1
6 jul 2022,Android,4
6 jul 2022,Windows,1
7 jul 2022,Windows,7
7 jul 2022,Android,2
8 jul 2022,Windows,8
8 jul 2022,Android,2
9 jul 2022,iOS,3
10 jul 2022,Android,2
10 ago 2022,Linux,1
26 ago 2022,Linux,3
4 oct 2022,Linux,1
14 mar 2023,Linux,4
19 may 2023,Linux,5
25 may 2023,Windows,2
26 may 2023,Windows,1
6 jun 2023,Linux,2
7 jun 2023,Linux,0
13 jun 2023,Windows,3
14 jun 2023,Windows,3
15 jun 2023,Windows,3
16 jun 2023,Windows,38
17 jun 2023,Windows,3
18 jun 2023,Windows,2
18 jun 2023,Android,1
19 jun 2023,Windows,3
19 jun 2023,Android,1
20 jun 2023,Windows,2
21 jun 2023,Android,18
21 jun 2023,Windows,3
21 jun 2023,Linux,1
3 jul 2023,Linux,1
4 jul 2023,Linux,1
19 sept 2023,Linux,1
20 sept 2023,Linux,1
22 nov 2023,Linux,1
23 nov 2023,Linux,1
