Fecha,Grupo de canales predeterminado de la sesión,Vistas
4 dic 2023,Organic Search,33
4 dic 2023,Direct,3
4 dic 2023,Referral,1
4 dic 2023,Unassigned,0
5 dic 2023,Organic Search,23
5 dic 2023,Organic Social,4
5 dic 2023,Direct,2
5 dic 2023,Unassigned,0
6 dic 2023,Organic Search,10
6 dic 2023,Direct,1
6 dic 2023,Referral,1
6 dic 2023,Unassigned,0
7 dic 2023,Organic Search,23
7 dic 2023,Unassigned,1
8 dic 2023,Organic Search,8
8 dic 2023,Direct,7
9 dic 2023,Organic Search,29
9 dic 2023,Direct,15
9 dic 2023,Organic Social,4
9 dic 2023,Referral,2
9 dic 2023,Unassigned,0
10 dic 2023,Organic Search,4
10 dic 2023,Direct,3
10 dic 2023,Referral,3
10 dic 2023,Organic Social,1
11 dic 2023,Direct,8
11 dic 2023,Organic Search,8
11 dic 2023,Unassigned,0
12 dic 2023,Organic Search,11
12 dic 2023,Direct,3
12 dic 2023,Referral,3
13 dic 2023,Organic Search,17
13 dic 2023,Referral,8
13 dic 2023,Direct,2
14 dic 2023,Organic Search,13
14 dic 2023,Direct,3
15 dic 2023,Organic Search,22
15 dic 2023,Direct,5
15 dic 2023,Referral,1
16 dic 2023,Organic Search,31
16 dic 2023,Direct,9
16 dic 2023,Organic Social,2
16 dic 2023,Unassigned,0
17 dic 2023,Direct,1
17 dic 2023,Organic Search,18
18 dic 2023,Organic Search,31
18 dic 2023,Direct,3
19 dic 2023,Organic Search,12
19 dic 2023,Unassigned,0
20 dic 2023,Organic Search,23
20 dic 2023,Direct,1
20 dic 2023,Referral,1
20 dic 2023,Unassigned,0
21 dic 2023,Organic Search,12
22 dic 2023,Organic Search,22
22 dic 2023,Direct,2
23 dic 2023,Organic Search,22
23 dic 2023,Direct,13
24 dic 2023,Direct,9
24 dic 2023,Organic Search,6
25 dic 2023,Organic Search,12
25 dic 2023,Direct,2
25 dic 2023,Unassigned,0
26 dic 2023,Direct,13
26 dic 2023,Organic Search,4
26 dic 2023,Unassigned,0
27 dic 2023,Organic Search,19
27 dic 2023,Direct,7
27 dic 2023,Organic Social,1
28 dic 2023,Organic Search,16
28 dic 2023,Direct,3
28 dic 2023,Unassigned,0
29 dic 2023,Direct,7
29 dic 2023,Organic Search,5
30 dic 2023,Organic Search,12
30 dic 2023,Direct,9
30 dic 2023,Referral,2
31 dic 2023,Organic Search,11
31 dic 2023,Direct,6
31 dic 2023,Referral,1
31 dic 2023,Unassigned,0
1 ene 2024,Organic Search,3
2 ene 2024,Organic Search,20
2 ene 2024,Direct,3
2 ene 2024,Referral,1
2 ene 2024,Unassigned,0
3 ene 2024,Organic Search,18
3 ene 2024,Direct,12
3 ene 2024,Unassigned,0
4 ene 2024,Unassigned,0
4 ene 2024,Direct,5
4 ene 2024,Organic Search,7
5 ene 2024,Direct,8
5 ene 2024,Organic Search,6
5 ene 2024,Unassigned,0
6 ene 2024,Organic Search,18
6 ene 2024,Direct,12
6 ene 2024,Organic Social,5
6 ene 2024,Referral,3
6 ene 2024,Unassigned,0
7 ene 2024,Direct,13
7 ene 2024,Organic Search,6
7 ene 2024,Referral,1
8 ene 2024,Organic Search,7
8 ene 2024,Referral,2
8 ene 2024,Unassigned,0
9 ene 2024,Organic Search,7
