Fecha,Sistema operativo,Vistas
4 dic 2023,Android,20
4 dic 2023,Windows,12
4 dic 2023,Linux,3
4 dic 2023,iOS,2
5 dic 2023,Android,13
5 dic 2023,Windows,11
5 dic 2023,iOS,5
5 dic 2023,Linux,0
6 dic 2023,Windows,8
6 dic 2023,Android,2
6 dic 2023,iOS,2
6 dic 2023,Linux,0
6 dic 2023,Macintosh,0
7 dic 2023,Android,13
7 dic 2023,Windows,8
7 dic 2023,iOS,3
8 dic 2023,Windows,9
8 dic 2023,Android,4
8 dic 2023,Linux,1
8 dic 2023,Macintosh,1
9 dic 2023,Android,36
9 dic 2023,Windows,10
9 dic 2023,iOS,4
9 dic 2023,Linux,0
10 dic 2023,Android,7
10 dic 2023,Windows,3
10 dic 2023,Macintosh,1
11 dic 2023,Android,6
11 dic 2023,Windows,6
11 dic 2023,Linux,2
11 dic 2023,iOS,2
11 dic 2023,Macintosh,0
12 dic 2023,Windows,11
12 dic 2023,Android,4
12 dic 2023,iOS,2
13 dic 2023,Windows,16
13 dic 2023,Android,6
13 dic 2023,iOS,4
13 dic 2023,Linux,1
14 dic 2023,Android,8
14 dic 2023,Windows,7
14 dic 2023,Linux,1
15 dic 2023,Windows,18
15 dic 2023,Android,5
15 dic 2023,iOS,5
16 dic 2023,Android,27
16 dic 2023,Windows,15
16 dic 2023,Linux,0
17 dic 2023,Android,14
17 dic 2023,Windows,4
17 dic 2023,Macintosh,1
18 dic 2023,Windows,27
18 dic 2023,iOS,4
18 dic 2023,Android,3
19 dic 2023,Android,6
19 dic 2023,iOS,4
19 dic 2023,Windows,2
19 dic 2023,Linux,0
20 dic 2023,Windows,11
20 dic 2023,Android,10
20 dic 2023,iOS,4
20 dic 2023,Linux,0
21 dic 2023,Windows,9
21 dic 2023,iOS,3
22 dic 2023,Android,11
22 dic 2023,Windows,9
22 dic 2023,iOS,4
23 dic 2023,Android,26
23 dic 2023,Windows,9
24 dic 2023,Android,13
24 dic 2023,Macintosh,1
24 dic 2023,Windows,1
25 dic 2023,Android,10
25 dic 2023,Windows,4
25 dic 2023,Linux,0
26 dic 2023,Android,9
26 dic 2023,Windows,7
26 dic 2023,iOS,1
26 dic 2023,Linux,0
27 dic 2023,Android,21
27 dic 2023,Windows,5
27 dic 2023,iOS,1
28 dic 2023,Windows,11
28 dic 2023,Android,8
28 dic 2023,Linux,0
28 dic 2023,Macintosh,0
29 dic 2023,Android,7
29 dic 2023,Windows,5
30 dic 2023,Android,20
30 dic 2023,Windows,2
30 dic 2023,Macintosh,1
31 dic 2023,Android,9
31 dic 2023,Linux,3
31 dic 2023,iOS,3
31 dic 2023,Windows,2
31 dic 2023,Macintosh,1
1 ene 2024,Android,2
1 ene 2024,Windows,1
2 ene 2024,Android,10
2 ene 2024,Windows,7
2 ene 2024,Linux,5
2 ene 2024,iOS,2
3 ene 2024,Android,16
3 ene 2024,Windows,13
3 ene 2024,iOS,1
3 ene 2024,Linux,0
4 ene 2024,Windows,7
4 ene 2024,Android,4
4 ene 2024,Linux,1
5 ene 2024,Windows,9
5 ene 2024,Android,5
5 ene 2024,Macintosh,0
6 ene 2024,Android,31
6 ene 2024,Windows,6
6 ene 2024,Macintosh,1
7 ene 2024,Android,17
7 ene 2024,Linux,1
7 ene 2024,Macintosh,1
7 ene 2024,Windows,1
8 ene 2024,Android,7
8 ene 2024,Windows,2
8 ene 2024,Linux,0
9 ene 2024,Windows,6
9 ene 2024,Android,3
9 ene 2024,iOS,1
10 ene 2024,Android,6
10 ene 2024,iOS,3
10 ene 2024,Windows,1
11 ene 2024,Android,4
11 ene 2024,Windows,1
12 ene 2024,Windows,3
12 ene 2024,Android,2
12 ene 2024,Linux,0
13 ene 2024,Android,21
13 ene 2024,Windows,19
14 ene 2024,Android,2
14 ene 2024,Macintosh,1
14 ene 2024,Windows,1
14 ene 2024,Linux,0
15 ene 2024,Linux,4
15 ene 2024,Windows,3
15 ene 2024,Android,1
16 ene 2024,Windows,26
16 ene 2024,Android,1
16 ene 2024,iOS,1
17 ene 2024,Windows,15
18 ene 2024,Windows,21
18 ene 2024,Android,4
18 ene 2024,Linux,1
19 ene 2024,Windows,12
19 ene 2024,Android,1
20 ene 2024,Android,8
20 ene 2024,Windows,4
21 ene 2024,Android,11
21 ene 2024,Windows,5
21 ene 2024,Macintosh,1
22 ene 2024,Windows,18
22 ene 2024,Android,4
23 ene 2024,Windows,11
23 ene 2024,Android,8
23 ene 2024,Macintosh,0
24 ene 2024,Android,6
24 ene 2024,Windows,2
25 ene 2024,Linux,3
26 ene 2024,Windows,13
26 ene 2024,Android,3
26 ene 2024,Linux,1
26 ene 2024,Macintosh,1
27 ene 2024,Windows,20
27 ene 2024,Android,9
28 ene 2024,Android,8
28 ene 2024,Windows,4
28 ene 2024,Macintosh,2
29 ene 2024,Windows,17
29 ene 2024,Android,1
29 ene 2024,Linux,1
30 ene 2024,Android,3
30 ene 2024,Windows,1
30 ene 2024,iOS,1
31 ene 2024,Windows,7
31 ene 2024,Linux,3
31 ene 2024,iOS,2
1 feb 2024,Android,3
1 feb 2024,Windows,1
2 feb 2024,Windows,7
2 feb 2024,Android,3
3 feb 2024,Android,9
3 feb 2024,Windows,7
3 feb 2024,Macintosh,0
4 feb 2024,Windows,4
4 feb 2024,Android,3
4 feb 2024,Macintosh,1
5 feb 2024,Windows,41
5 feb 2024,Android,11
6 feb 2024,Android,6
6 feb 2024,Windows,6
7 feb 2024,Android,4
7 feb 2024,Windows,3
8 feb 2024,Android,13
8 feb 2024,Windows,12
9 feb 2024,Windows,6
9 feb 2024,Android,5
9 feb 2024,iOS,5
9 feb 2024,Macintosh,4
10 feb 2024,Windows,21
10 feb 2024,Android,17
11 feb 2024,Android,13
11 feb 2024,Windows,4
11 feb 2024,Macintosh,1
12 feb 2024,Windows,4
13 feb 2024,Android,1
14 feb 2024,Windows,17
14 feb 2024,Android,2
15 feb 2024,Windows,23
15 feb 2024,Android,9
15 feb 2024,Linux,1
16 feb 2024,Windows,13
16 feb 2024,Android,5
17 feb 2024,Android,6
17 feb 2024,Windows,3
18 feb 2024,Android,7
18 feb 2024,Linux,2
18 feb 2024,Windows,1
18 feb 2024,Macintosh,0
19 feb 2024,Android,10
19 feb 2024,Windows,2
19 feb 2024,iOS,1
19 feb 2024,Macintosh,0
20 feb 2024,Windows,12
20 feb 2024,Android,7
21 feb 2024,Android,24
21 feb 2024,Windows,18
22 feb 2024,Windows,23
22 feb 2024,Android,1
23 feb 2024,Windows,20
23 feb 2024,Android,5
23 feb 2024,Macintosh,1
23 feb 2024,iOS,1
24 feb 2024,Android,11
24 feb 2024,Windows,10
25 feb 2024,Windows,6
25 feb 2024,Android,2
25 feb 2024,iOS,1
26 feb 2024,Windows,25
26 feb 2024,Android,3
26 feb 2024,Linux,3
26 feb 2024,Macintosh,1
27 feb 2024,Windows,32
27 feb 2024,Android,21
27 feb 2024,Macintosh,0
28 feb 2024,Windows,29
28 feb 2024,Android,3
28 feb 2024,Macintosh,2
29 feb 2024,Windows,15
29 feb 2024,Android,3
29 feb 2024,iOS,2
29 feb 2024,Macintosh,1
1 mar 2024,Android,9
1 mar 2024,Windows,9
1 mar 2024,Linux,0
2 mar 2024,Android,22
2 mar 2024,Windows,4
2 mar 2024,Macintosh,0
3 mar 2024,Android,7
3 mar 2024,Windows,5
3 mar 2024,Linux,0
4 mar 2024,Android,24
4 mar 2024,Windows,24
4 mar 2024,iOS,2
4 mar 2024,Macintosh,0
5 mar 2024,Windows,22
5 mar 2024,Android,9
5 mar 2024,iOS,3
5 mar 2024,SymbianOS,2
5 mar 2024,Linux,0
6 mar 2024,Android,17
6 mar 2024,Windows,17
6 mar 2024,iOS,7
7 mar 2024,Android,28
7 mar 2024,Windows,18
7 mar 2024,iOS,9
7 mar 2024,Linux,0
8 mar 2024,Windows,19
8 mar 2024,Android,12
8 mar 2024,iOS,4
9 mar 2024,Android,59
9 mar 2024,Windows,6
9 mar 2024,Linux,0
9 mar 2024,Macintosh,0
10 mar 2024,Android,9
10 mar 2024,Windows,3
10 mar 2024,Linux,1
11 mar 2024,Android,26
11 mar 2024,Windows,19
11 mar 2024,iOS,4
11 mar 2024,Linux,3
11 mar 2024,Macintosh,1
12 mar 2024,Windows,19
12 mar 2024,Android,15
12 mar 2024,iOS,7
12 mar 2024,Linux,0
13 mar 2024,Windows,25
13 mar 2024,Linux,7
13 mar 2024,iOS,7
13 mar 2024,Android,4
14 mar 2024,Windows,17
14 mar 2024,Android,4
14 mar 2024,Linux,3
14 mar 2024,iOS,2
15 mar 2024,Windows,23
15 mar 2024,Android,15
15 mar 2024,iOS,4
15 mar 2024,Linux,0
15 mar 2024,Macintosh,0
16 mar 2024,Android,31
16 mar 2024,Windows,15
16 mar 2024,Linux,2
17 mar 2024,Android,7
17 mar 2024,Windows,6
17 mar 2024,Linux,0
17 mar 2024,Macintosh,0
18 mar 2024,Windows,28
18 mar 2024,Android,15
18 mar 2024,iOS,8
18 mar 2024,Linux,1
