Fecha,Vistas,Usuarios nuevos,Total de usuarios,Sesiones por usuario,Sesiones
4 dic 2023,37,7,19,2.066666666666667,31
5 dic 2023,29,10,19,1.4375,23
6 dic 2023,12,2,10,2,12
7 dic 2023,24,7,12,1.3333333333333333,16
8 dic 2023,15,8,12,2,18
9 dic 2023,50,11,26,1.8571428571428572,39
10 dic 2023,11,5,9,1.5714285714285714,11
11 dic 2023,16,9,16,1.5,18
12 dic 2023,17,5,10,1.75,14
13 dic 2023,27,8,14,1.8,18
14 dic 2023,16,5,12,1.7777777777777777,16
15 dic 2023,28,3,14,1.7272727272727273,19
16 dic 2023,42,16,23,1.4761904761904763,31
17 dic 2023,19,3,6,2,10
18 dic 2023,34,8,14,1.5833333333333333,19
19 dic 2023,12,2,6,1.3333333333333333,8
20 dic 2023,25,3,13,1.9,19
21 dic 2023,12,2,4,2.3333333333333335,7
22 dic 2023,24,7,14,1.7272727272727273,19
23 dic 2023,35,5,15,2.1818181818181817,24
24 dic 2023,15,1,8,2.2,11
25 dic 2023,14,2,8,1.8333333333333333,11
26 dic 2023,17,5,10,1.75,14
27 dic 2023,27,5,11,1.8888888888888888,17
28 dic 2023,19,6,14,1.2727272727272727,14
29 dic 2023,12,2,4,1.75,7
30 dic 2023,23,3,10,2.125,17
31 dic 2023,18,6,8,1.25,10
1 ene 2024,3,0,2,1,2
2 ene 2024,24,4,9,1.3333333333333333,12
3 ene 2024,30,7,12,1,12
4 ene 2024,12,7,11,1.1,11
5 ene 2024,14,5,10,1.375,11
6 ene 2024,38,7,15,1.3076923076923077,17
7 ene 2024,20,6,8,1.1428571428571428,8
8 ene 2024,9,2,6,1.5,6
9 ene 2024,10,6,9,1,9
10 ene 2024,10,3,4,1,4
11 ene 2024,5,1,3,1.5,3
12 ene 2024,5,2,5,1.25,5
13 ene 2024,40,6,17,1.2,18
14 ene 2024,4,2,4,1,4
15 ene 2024,8,2,6,1,6
16 ene 2024,28,2,4,3.5,7
17 ene 2024,15,3,5,1.2,6
18 ene 2024,26,8,10,1.1111111111111112,10
19 ene 2024,13,2,3,1.3333333333333333,4
20 ene 2024,12,4,6,1.6,8
21 ene 2024,17,5,9,1.4444444444444444,13
22 ene 2024,22,4,7,1.4,7
23 ene 2024,19,7,9,1,9
24 ene 2024,8,2,3,1,3
25 ene 2024,3,0,1,1,1
26 ene 2024,18,5,7,1.1666666666666667,7
27 ene 2024,29,2,7,1.1428571428571428,8
28 ene 2024,14,4,9,1.25,10
29 ene 2024,19,4,7,1.3333333333333333,8
30 ene 2024,5,5,6,1.2,6
31 ene 2024,12,4,4,1,4
1 feb 2024,4,2,4,1.3333333333333333,4
2 feb 2024,10,5,8,1.125,9
3 feb 2024,16,6,12,1,12
4 feb 2024,8,2,4,1,4
5 feb 2024,52,6,7,1.5714285714285714,11
6 feb 2024,12,6,10,1,10
7 feb 2024,7,3,4,1,4
8 feb 2024,25,9,13,1.1666666666666667,14
9 feb 2024,20,6,11,1.3,13
10 feb 2024,38,6,13,2.4444444444444446,22
11 feb 2024,18,9,20,1.1578947368421053,22
12 feb 2024,4,1,2,1,2
13 feb 2024,1,1,1,1,1
14 feb 2024,19,4,6,1.2,6
15 feb 2024,33,12,17,1.1176470588235294,19
16 feb 2024,18,8,11,1.1,11
17 feb 2024,9,3,8,1.6,8
18 feb 2024,10,3,9,1.8333333333333333,11
19 feb 2024,13,8,11,1.1,11
20 feb 2024,19,6,10,1.4,14
21 feb 2024,42,11,16,1.0625,17
22 feb 2024,24,3,9,1.875,15
23 feb 2024,27,11,16,1.7142857142857142,24
24 feb 2024,21,6,11,2.375,19
25 feb 2024,9,2,7,2,10
26 feb 2024,32,7,21,1.45,29
27 feb 2024,53,10,20,1.75,28
28 feb 2024,34,5,11,2.272727272727273,25
29 feb 2024,21,5,11,1.3636363636363635,15
1 mar 2024,18,5,11,1.3,13
2 mar 2024,26,8,17,1.5384615384615385,20
3 mar 2024,12,9,13,1.2727272727272727,14
4 mar 2024,50,18,28,1.4285714285714286,40
5 mar 2024,36,7,17,1.6923076923076923,22
6 mar 2024,41,11,24,2,36
7 mar 2024,55,8,17,1.7333333333333334,26
8 mar 2024,35,13,17,1.4705882352941178,25
9 mar 2024,65,8,15,1.5833333333333333,19
10 mar 2024,13,6,11,1.1,11
11 mar 2024,53,24,34,1.5172413793103448,44
12 mar 2024,41,7,19,2.066666666666667,31
13 mar 2024,43,15,22,1.9444444444444444,35
14 mar 2024,26,8,16,1.9090909090909092,21
15 mar 2024,42,10,23,1.75,35
16 mar 2024,48,8,19,2,30
17 mar 2024,13,6,12,1.0833333333333333,13
18 mar 2024,52,18,28,1.48,37
19 mar 2024,49,12,18,1.2857142857142858,18
20 mar 2024,54,16,25,1.5217391304347827,35
21 mar 2024,14,5,12,1.0909090909090908,12
22 mar 2024,73,26,40,1.3783783783783783,51
23 mar 2024,32,10,20,1.6666666666666667,25
24 mar 2024,18,6,10,1.25,10
25 mar 2024,26,10,17,1.6428571428571428,23
26 mar 2024,26,3,15,2.4,24
27 mar 2024,37,8,17,1.9333333333333333,29
28 mar 2024,12,5,10,1.375,11
29 mar 2024,11,4,11,1.375,11
30 mar 2024,38,10,17,1.8,27
31 mar 2024,9,3,7,1.5,9
1 abr 2024,32,11,18,1.7692307692307692,23
2 abr 2024,27,4,16,2.3333333333333335,21
