Fecha,País,Vistas
4 dic 2023,Argentina,30
4 dic 2023,Paraguay,3
4 dic 2023,Cuba,2
4 dic 2023,China,1
4 dic 2023,United States,1
4 dic 2023,Ireland,0
5 dic 2023,Argentina,23
5 dic 2023,Paraguay,5
5 dic 2023,China,1
5 dic 2023,United States,0
6 dic 2023,Argentina,9
6 dic 2023,Paraguay,2
6 dic 2023,China,1
6 dic 2023,Ireland,0
7 dic 2023,Argentina,20
7 dic 2023,Paraguay,3
7 dic 2023,China,1
8 dic 2023,Argentina,7
8 dic 2023,China,3
8 dic 2023,Paraguay,2
8 dic 2023,Brazil,1
8 dic 2023,Mexico,1
8 dic 2023,United States,1
9 dic 2023,Argentina,43
9 dic 2023,Paraguay,7
9 dic 2023,United States,0
10 dic 2023,Argentina,7
10 dic 2023,China,1
10 dic 2023,Paraguay,1
10 dic 2023,Sweden,1
10 dic 2023,United States,1
11 dic 2023,Argentina,10
11 dic 2023,Paraguay,3
11 dic 2023,China,2
11 dic 2023,France,1
11 dic 2023,Ireland,0
12 dic 2023,Argentina,9
12 dic 2023,United States,3
12 dic 2023,Paraguay,2
12 dic 2023,China,1
12 dic 2023,France,1
12 dic 2023,Venezuela,1
13 dic 2023,Argentina,19
13 dic 2023,Paraguay,4
13 dic 2023,United States,2
13 dic 2023,Peru,1
13 dic 2023,United Kingdom,1
14 dic 2023,China,3
14 dic 2023,Argentina,13
15 dic 2023,Argentina,21
15 dic 2023,Paraguay,5
15 dic 2023,Brazil,2
16 dic 2023,Argentina,37
16 dic 2023,Mexico,3
16 dic 2023,France,1
16 dic 2023,United States,1
17 dic 2023,Argentina,14
17 dic 2023,United States,5
18 dic 2023,Argentina,29
18 dic 2023,Paraguay,4
18 dic 2023,China,1
19 dic 2023,Argentina,8
19 dic 2023,Paraguay,4
19 dic 2023,Ireland,0
20 dic 2023,Argentina,20
20 dic 2023,Paraguay,4
20 dic 2023,United States,1
20 dic 2023,Ireland,0
21 dic 2023,Argentina,9
21 dic 2023,Paraguay,3
22 dic 2023,China,2
22 dic 2023,Paraguay,3
22 dic 2023,Argentina,17
22 dic 2023,Canada,1
22 dic 2023,Peru,1
23 dic 2023,Argentina,30
23 dic 2023,Chile,4
23 dic 2023,Uruguay,1
24 dic 2023,Argentina,13
24 dic 2023,Paraguay,1
24 dic 2023,United States,1
25 dic 2023,Argentina,13
25 dic 2023,United States,1
26 dic 2023,Peru,2
26 dic 2023,Argentina,12
26 dic 2023,Germany,1
26 dic 2023,Paraguay,1
26 dic 2023,United States,1
26 dic 2023,Ireland,0
27 dic 2023,Argentina,24
27 dic 2023,Paraguay,3
28 dic 2023,Argentina,15
28 dic 2023,Paraguay,3
28 dic 2023,China,1
28 dic 2023,United States,0
29 dic 2023,Argentina,11
29 dic 2023,Mexico,1
30 dic 2023,Brazil,1
30 dic 2023,Argentina,21
30 dic 2023,Paraguay,1
31 dic 2023,Argentina,14
31 dic 2023,Chile,3
31 dic 2023,United States,1
1 ene 2024,Argentina,3
2 ene 2024,Argentina,19
2 ene 2024,Brazil,2
2 ene 2024,Paraguay,2
2 ene 2024,China,1
2 ene 2024,United States,0
3 ene 2024,Argentina,28
3 ene 2024,United States,2
3 ene 2024,Ireland,0
4 ene 2024,Argentina,5
4 ene 2024,United States,3
4 ene 2024,Paraguay,2
4 ene 2024,Netherlands,1
4 ene 2024,Peru,1
5 ene 2024,Argentina,12
5 ene 2024,China,1
5 ene 2024,Indonesia,1
6 ene 2024,Argentina,37
6 ene 2024,China,1
7 ene 2024,Argentina,17
7 ene 2024,United States,2
7 ene 2024,China,1
8 ene 2024,Argentina,7
8 ene 2024,Brazil,2
8 ene 2024,United States,0
9 ene 2024,Argentina,4
9 ene 2024,United States,3
9 ene 2024,Paraguay,2
9 ene 2024,Chile,1
10 ene 2024,Paraguay,8
10 ene 2024,Argentina,1
10 ene 2024,China,1
11 ene 2024,Argentina,4
11 ene 2024,China,1
12 ene 2024,Argentina,4
12 ene 2024,Colombia,1
12 ene 2024,Ireland,0
13 ene 2024,Argentina,38
