,Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,mobile,desktop,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Android,Windows,Linux,iOS,Macintosh,Sistema operativo (not set),Sistema operativo promedio,Sistema operativo std,Organic Search,Direct,Referral,Socials,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std
0,4 dic 2023,37,7,19,2.066666666666667,31,30,7,22,15,0,12.333333333333336,9.177266598624136,20,12,3,2,0,0,5.285714285714286,7.185586479976739,33,3,1,0,9.25,13.75454470347892
1,5 dic 2023,29,10,19,1.4375,23,23,6,18,11,0,9.666666666666666,7.4087035902976215,13,11,0,5,0,0,4.142857142857143,5.2760529464626815,23,2,0,4,7.25,9.202581159652981
2,6 dic 2023,12,2,10,2.0,12,9,3,4,8,0,4.0,3.2659863237109037,2,8,0,2,0,0,1.7142857142857142,2.7105237087157543,10,1,1,0,3.0,4.0620192023179795
3,7 dic 2023,24,7,12,1.3333333333333333,16,20,4,16,8,0,8.0,6.531972647421807,13,8,0,3,0,0,3.4285714285714284,4.7766438563715665,23,1,0,0,6.0,9.82344135219425
4,8 dic 2023,15,8,12,2.0,18,7,8,4,11,0,5.0,4.546060565661952,4,9,1,0,1,0,2.142857142857143,3.0904725218262765,8,7,0,0,3.75,3.7666297933298414
5,9 dic 2023,50,11,26,1.8571428571428568,39,43,7,40,10,0,16.666666666666668,16.996731711975947,36,10,0,4,0,0,7.142857142857142,12.275743462251905,29,15,2,4,12.5,10.735455276791944
6,10 dic 2023,11,5,9,1.5714285714285714,11,7,4,7,4,0,3.6666666666666665,2.867441755680876,7,3,0,0,1,0,1.5714285714285714,2.4411439272335804,4,3,3,1,2.75,1.0897247358851685
7,11 dic 2023,16,9,16,1.5,18,10,6,8,8,0,5.333333333333333,3.771236166328253,6,6,2,2,0,0,2.2857142857142856,2.4907993963089563,8,8,0,0,4.0,4.0
8,12 dic 2023,17,5,10,1.75,14,9,8,6,11,0,5.666666666666668,4.496912521077348,4,11,0,2,0,0,2.4285714285714284,3.7742413753208304,11,3,3,0,4.25,4.085033659592049
9,13 dic 2023,27,8,14,1.8,18,19,8,10,17,0,9.0,6.97614984548545,6,16,1,4,0,0,3.8571428571428568,5.409741779646139,17,2,8,0,6.75,6.609652033201143
10,14 dic 2023,16,5,12,1.7777777777777777,16,13,3,8,8,0,5.333333333333333,3.771236166328253,8,7,1,0,0,0,2.2857142857142856,3.3258419219493764,13,3,0,0,4.0,5.338539126015656
11,15 dic 2023,28,3,14,1.7272727272727273,19,21,7,10,18,0,9.333333333333334,7.363574011458176,5,18,0,5,0,0,4.0,6.117889458675388,22,5,1,0,7.0,8.860022573334676
12,16 dic 2023,42,16,23,1.4761904761904765,31,37,5,27,15,0,14.0,11.04536101718726,27,15,0,0,0,0,6.0,10.014275524755364,31,9,0,2,10.5,12.298373876248846
13,17 dic 2023,19,3,6,2.0,10,14,5,14,5,0,6.333333333333332,5.792715732327589,14,4,0,0,1,0,2.7142857142857144,4.80221037542046,18,1,0,0,4.75,7.6607767230222805
14,18 dic 2023,34,8,14,1.5833333333333333,19,29,5,7,27,0,11.333333333333336,11.440668201153677,3,27,0,4,0,0,4.857142857142857,9.171829096728297,31,3,0,0,8.5,13.047988350699887
15,19 dic 2023,12,2,6,1.3333333333333333,8,8,4,10,2,0,4.0,4.320493798938574,6,2,0,4,0,0,1.7142857142857142,2.2497165354319457,12,0,0,0,3.0,5.196152422706632
16,20 dic 2023,25,3,13,1.9,19,20,5,14,11,0,8.333333333333334,6.018490028422597,10,11,0,4,0,0,3.571428571428572,4.593695768803865,23,1,1,0,6.25,9.67923034130297
17,21 dic 2023,12,2,4,2.333333333333333,7,9,3,3,9,0,4.0,3.741657386773941,0,9,0,3,0,0,1.7142857142857142,3.1493439550069438,12,0,0,0,3.0,5.196152422706632
