Fecha,Categoría de dispositivo,Vistas
14 jun 2022,mobile,30
14 jun 2022,desktop,8
15 jun 2022,mobile,21
15 jun 2022,desktop,14
16 jun 2022,mobile,37
16 jun 2022,desktop,9
17 jun 2022,mobile,20
17 jun 2022,desktop,12
18 jun 2022,mobile,8
18 jun 2022,desktop,7
19 jun 2022,mobile,9
19 jun 2022,desktop,3
20 jun 2022,desktop,7
20 jun 2022,mobile,2
21 jun 2022,mobile,52
21 jun 2022,desktop,16
22 jun 2022,mobile,17
22 jun 2022,desktop,9
23 jun 2022,mobile,41
23 jun 2022,desktop,12
24 jun 2022,mobile,11
24 jun 2022,desktop,10
25 jun 2022,desktop,17
25 jun 2022,mobile,17
26 jun 2022,mobile,6
26 jun 2022,desktop,3
27 jun 2022,desktop,7
27 jun 2022,mobile,3
28 jun 2022,mobile,47
28 jun 2022,desktop,13
29 jun 2022,desktop,15
29 jun 2022,mobile,10
30 jun 2022,mobile,74
30 jun 2022,desktop,17
1 jul 2022,mobile,18
1 jul 2022,desktop,7
2 jul 2022,mobile,20
2 jul 2022,desktop,6
3 jul 2022,desktop,11
3 jul 2022,mobile,7
4 jul 2022,desktop,142
4 jul 2022,mobile,5
5 jul 2022,desktop,17
5 jul 2022,mobile,5
5 jul 2022,tablet,1
6 jul 2022,desktop,6
6 jul 2022,mobile,6
7 jul 2022,desktop,61
7 jul 2022,mobile,45
7 jul 2022,tablet,1
8 jul 2022,desktop,17
8 jul 2022,mobile,9
9 jul 2022,desktop,3
9 jul 2022,mobile,2
10 jul 2022,mobile,6
11 jul 2022,mobile,1
12 jul 2022,desktop,12
12 jul 2022,mobile,5
13 jul 2022,mobile,9
13 jul 2022,desktop,6
14 jul 2022,mobile,3
14 jul 2022,desktop,1
15 jul 2022,mobile,1
16 jul 2022,desktop,3
17 jul 2022,desktop,6
17 jul 2022,mobile,3
18 jul 2022,desktop,8
18 jul 2022,mobile,6
19 jul 2022,desktop,3
19 jul 2022,mobile,3
20 jul 2022,mobile,8
20 jul 2022,desktop,6
21 jul 2022,mobile,5
22 jul 2022,desktop,8
22 jul 2022,mobile,2
