Fecha,Grupo de canales predeterminado de la sesión,Vistas
14 jun 2022,Organic Search,19
14 jun 2022,Direct,15
14 jun 2022,Organic Social,3
14 jun 2022,Referral,1
15 jun 2022,Direct,26
15 jun 2022,Organic Search,8
15 jun 2022,Organic Social,1
16 jun 2022,Direct,22
16 jun 2022,Organic Search,11
16 jun 2022,Organic Social,11
16 jun 2022,Organic Video,2
17 jun 2022,Direct,23
17 jun 2022,Organic Search,7
17 jun 2022,Organic Social,2
18 jun 2022,Direct,9
18 jun 2022,Organic Search,6
19 jun 2022,Organic Search,10
19 jun 2022,Direct,2
20 jun 2022,Organic Search,8
20 jun 2022,Direct,1
21 jun 2022,Direct,43
21 jun 2022,Organic Social,16
21 jun 2022,Organic Search,9
22 jun 2022,Direct,12
22 jun 2022,Organic Search,11
22 jun 2022,Organic Social,3
23 jun 2022,Direct,31
23 jun 2022,Organic Search,20
23 jun 2022,Organic Social,1
23 jun 2022,Organic Video,1
24 jun 2022,Direct,12
24 jun 2022,Organic Search,9
25 jun 2022,Direct,24
25 jun 2022,Organic Search,9
25 jun 2022,Organic Social,1
26 jun 2022,Organic Search,4
26 jun 2022,Direct,3
26 jun 2022,Referral,2
27 jun 2022,Organic Search,6
27 jun 2022,Direct,4
28 jun 2022,Direct,32
28 jun 2022,Organic Search,19
28 jun 2022,Organic Social,9
29 jun 2022,Organic Search,16
29 jun 2022,Direct,6
29 jun 2022,Organic Social,3
30 jun 2022,Direct,57
30 jun 2022,Organic Social,17
30 jun 2022,Organic Search,15
30 jun 2022,Referral,1
30 jun 2022,Unassigned,1
1 jul 2022,Direct,12
1 jul 2022,Organic Search,11
1 jul 2022,Organic Social,1
1 jul 2022,Referral,1
2 jul 2022,Direct,17
2 jul 2022,Organic Search,9
3 jul 2022,Direct,9
3 jul 2022,Organic Search,8
3 jul 2022,Referral,1
4 jul 2022,Direct,134
4 jul 2022,Organic Search,13
5 jul 2022,Direct,18
5 jul 2022,Organic Search,5
6 jul 2022,Direct,6
6 jul 2022,Organic Search,5
6 jul 2022,Organic Social,1
7 jul 2022,Direct,71
7 jul 2022,Organic Search,30
7 jul 2022,Organic Social,5
7 jul 2022,Organic Video,1
8 jul 2022,Organic Search,20
8 jul 2022,Direct,6
9 jul 2022,Direct,3
9 jul 2022,Organic Search,2
10 jul 2022,Organic Search,6
11 jul 2022,Organic Search,1
12 jul 2022,Organic Search,9
12 jul 2022,Direct,8
13 jul 2022,Direct,10
13 jul 2022,Organic Search,5
14 jul 2022,Direct,3
14 jul 2022,Organic Search,1
15 jul 2022,Organic Search,1
16 jul 2022,Direct,2
16 jul 2022,Organic Search,1
17 jul 2022,Organic Search,7
17 jul 2022,Direct,2
18 jul 2022,Direct,8
18 jul 2022,Organic Search,6
19 jul 2022,Organic Search,5
19 jul 2022,Direct,1
20 jul 2022,Direct,9
20 jul 2022,Organic Search,5
21 jul 2022,Organic Search,3
21 jul 2022,Direct,2
22 jul 2022,Organic Search,7
22 jul 2022,Direct,2
22 jul 2022,Organic Social,1
23 jul 2022,Direct,10
23 jul 2022,Organic Search,6
24 jul 2022,Direct,1
25 jul 2022,Organic Search,10
25 jul 2022,Direct,2
26 jul 2022,Direct,1
26 jul 2022,Organic Search,1
26 jul 2022,Unassigned,0
27 jul 2022,Organic Search,10
27 jul 2022,Direct,4
28 jul 2022,Organic Social,34
28 jul 2022,Organic Search,9
28 jul 2022,Direct,7
29 jul 2022,Direct,4
29 jul 2022,Organic Search,4
29 jul 2022,Organic Social,1
29 jul 2022,Referral,1
30 jul 2022,Direct,2
30 jul 2022,Referral,2
30 jul 2022,Organic Search,1
31 jul 2022,Organic Search,2
1 ago 2022,Organic Search,14
1 ago 2022,Organic Social,12
1 ago 2022,Direct,9
1 ago 2022,Referral,1
2 ago 2022,Organic Search,20
2 ago 2022,Direct,8
2 ago 2022,Organic Social,8
2 ago 2022,Unassigned,1
3 ago 2022,Organic Search,31
3 ago 2022,Direct,17
3 ago 2022,Organic Social,13
4 ago 2022,Organic Search,17
4 ago 2022,Direct,16
5 ago 2022,Organic Search,11
5 ago 2022,Direct,5
5 ago 2022,Organic Social,1
5 ago 2022,Referral,1
6 ago 2022,Direct,7
6 ago 2022,Organic Search,1
7 ago 2022,Direct,5
7 ago 2022,Organic Search,2
8 ago 2022,Direct,31
8 ago 2022,Organic Search,29
8 ago 2022,Organic Social,16
9 ago 2022,Organic Search,41
9 ago 2022,Direct,15
9 ago 2022,Organic Social,1
9 ago 2022,Unassigned,0
10 ago 2022,Direct,81
10 ago 2022,Organic Social,9
10 ago 2022,Organic Search,4
11 ago 2022,Direct,19
11 ago 2022,Organic Search,18
11 ago 2022,Organic Social,11
12 ago 2022,Organic Search,16
12 ago 2022,Direct,13
12 ago 2022,Organic Social,3
13 ago 2022,Direct,4
13 ago 2022,Organic Search,2
14 ago 2022,Organic Search,3
14 ago 2022,Direct,1
15 ago 2022,Organic Search,9
15 ago 2022,Direct,3
15 ago 2022,Referral,1
16 ago 2022,Direct,46
16 ago 2022,Organic Search,37
16 ago 2022,Organic Social,11
17 ago 2022,Direct,21
17 ago 2022,Organic Search,10
17 ago 2022,Organic Social,3
18 ago 2022,Direct,25
18 ago 2022,Organic Social,8
18 ago 2022,Organic Search,6
19 ago 2022,Organic Search,10
19 ago 2022,Direct,8
19 ago 2022,Organic Social,5
20 ago 2022,Direct,9
20 ago 2022,Organic Search,3
20 ago 2022,Organic Social,1
21 ago 2022,Organic Search,3
21 ago 2022,Direct,1
21 ago 2022,Referral,1
22 ago 2022,Organic Search,16
22 ago 2022,Direct,3
22 ago 2022,Referral,1
23 ago 2022,Direct,6
23 ago 2022,Organic Social,6
23 ago 2022,Organic Search,3
24 ago 2022,Direct,80
24 ago 2022,Organic Search,21
24 ago 2022,Organic Social,1
25 ago 2022,Organic Search,25
25 ago 2022,Direct,12
25 ago 2022,Organic Social,7
25 ago 2022,Referral,1
26 ago 2022,Organic Search,15
26 ago 2022,Direct,9
26 ago 2022,Organic Social,3
26 ago 2022,Referral,1
27 ago 2022,Organic Search,20
27 ago 2022,Direct,5
27 ago 2022,Organic Social,3
28 ago 2022,Direct,23
28 ago 2022,Organic Search,2
28 ago 2022,Organic Social,1
29 ago 2022,Organic Social,1
29 ago 2022,Organic Search,9
29 ago 2022,Direct,39
30 ago 2022,Direct,74
30 ago 2022,Organic Search,15
31 ago 2022,Organic Search,19
31 ago 2022,Direct,3
1 sept 2022,Direct,11
1 sept 2022,Organic Social,4
1 sept 2022,Organic Search,2
2 sept 2022,Organic Social,18
2 sept 2022,Direct,8
2 sept 2022,Organic Search,5
3 sept 2022,Direct,13
3 sept 2022,Organic Search,7
3 sept 2022,Organic Social,2
4 sept 2022,Direct,3
4 sept 2022,Organic Social,1
5 sept 2022,Organic Social,12
5 sept 2022,Direct,7
5 sept 2022,Organic Search,7
6 sept 2022,Organic Social,21
6 sept 2022,Direct,16
6 sept 2022,Organic Search,8
7 sept 2022,Direct,28
7 sept 2022,Organic Search,9
7 sept 2022,Organic Social,8
8 sept 2022,Organic Search,51
8 sept 2022,Direct,17
8 sept 2022,Organic Social,4
9 sept 2022,Direct,13
9 sept 2022,Organic Search,8
9 sept 2022,Organic Social,5
10 sept 2022,Direct,12
10 sept 2022,Organic Social,12
10 sept 2022,Organic Search,10
11 sept 2022,Organic Search,3
11 sept 2022,Direct,2
11 sept 2022,Organic Social,1
11 sept 2022,Referral,1
12 sept 2022,Direct,7
12 sept 2022,Organic Search,5
12 sept 2022,Organic Social,1
13 sept 2022,Organic Search,26
13 sept 2022,Direct,9
13 sept 2022,Organic Social,3
13 sept 2022,Referral,1
14 sept 2022,Organic Search,13
14 sept 2022,Direct,3
14 sept 2022,Organic Social,2
14 sept 2022,Referral,1
15 sept 2022,Direct,51
15 sept 2022,Organic Search,19
15 sept 2022,Organic Social,2
16 sept 2022,Direct,10
16 sept 2022,Organic Search,8
16 sept 2022,Organic Social,4
17 sept 2022,Organic Search,9
17 sept 2022,Direct,7
17 sept 2022,Referral,1
18 sept 2022,Direct,4
19 sept 2022,Direct,16
19 sept 2022,Organic Search,12
19 sept 2022,Organic Social,4
19 sept 2022,Referral,1
20 sept 2022,Direct,20
20 sept 2022,Organic Social,8
20 sept 2022,Organic Search,6
20 sept 2022,Referral,2
21 sept 2022,Direct,47
21 sept 2022,Organic Search,3
22 sept 2022,Direct,4
22 sept 2022,Organic Search,3
23 sept 2022,Direct,3
23 sept 2022,Organic Social,2
23 sept 2022,Organic Search,1
24 sept 2022,Direct,3
24 sept 2022,Organic Search,1
25 sept 2022,Organic Social,7
25 sept 2022,Direct,6
25 sept 2022,Organic Search,1
25 sept 2022,Referral,1
26 sept 2022,Organic Search,28
26 sept 2022,Direct,9
26 sept 2022,Organic Social,7
26 sept 2022,Referral,1
27 sept 2022,Direct,13
27 sept 2022,Organic Search,2
28 sept 2022,Direct,35
28 sept 2022,Organic Search,25
28 sept 2022,Organic Social,1
28 sept 2022,Unassigned,0
29 sept 2022,Direct,22
29 sept 2022,Organic Search,21
29 sept 2022,Organic Social,11
30 sept 2022,Direct,19
30 sept 2022,Organic Search,15
30 sept 2022,Organic Social,3
30 sept 2022,Unassigned,3
1 oct 2022,Direct,3
1 oct 2022,Organic Search,1
1 oct 2022,Organic Social,1
2 oct 2022,Organic Search,3
2 oct 2022,Organic Social,3
2 oct 2022,Direct,2
3 oct 2022,Direct,11
3 oct 2022,Organic Social,11
3 oct 2022,Organic Search,7
4 oct 2022,Organic Search,22
4 oct 2022,Direct,7
4 oct 2022,Organic Social,1
5 oct 2022,Direct,37
5 oct 2022,Organic Search,17
5 oct 2022,Organic Social,5
6 oct 2022,Organic Search,10
6 oct 2022,Direct,4
7 oct 2022,Organic Search,6
7 oct 2022,Direct,3
12 oct 2022,Direct,26
12 oct 2022,Organic Search,22
12 oct 2022,Organic Social,6
13 oct 2022,Direct,18
13 oct 2022,Organic Search,14
13 oct 2022,Organic Video,2
13 oct 2022,Unassigned,0
14 oct 2022,Direct,6
14 oct 2022,Organic Search,5
14 oct 2022,Organic Social,3
14 oct 2022,Unassigned,0
15 oct 2022,Direct,15
15 oct 2022,Organic Search,2
16 oct 2022,Direct,4
16 oct 2022,Organic Search,4
17 oct 2022,Organic Search,6
17 oct 2022,Direct,2
17 oct 2022,Organic Social,1
18 oct 2022,Organic Search,10
18 oct 2022,Organic Social,8
18 oct 2022,Direct,4
