Fecha,País,Vistas
14 jun 2022,Argentina,37
14 jun 2022,China,1
15 jun 2022,Argentina,33
15 jun 2022,France,1
15 jun 2022,Paraguay,1
16 jun 2022,Argentina,41
16 jun 2022,China,2
16 jun 2022,Mexico,1
16 jun 2022,Netherlands,1
16 jun 2022,United States,1
17 jun 2022,Argentina,26
17 jun 2022,United States,6
18 jun 2022,Argentina,14
18 jun 2022,China,1
19 jun 2022,Argentina,10
19 jun 2022,China,1
19 jun 2022,Switzerland,1
20 jun 2022,Argentina,5
20 jun 2022,Spain,3
20 jun 2022,Chile,1
21 jun 2022,Argentina,67
21 jun 2022,China,1
22 jun 2022,Argentina,25
22 jun 2022,Peru,1
23 jun 2022,Argentina,46
23 jun 2022,Brazil,4
23 jun 2022,China,2
23 jun 2022,Colombia,1
24 jun 2022,Argentina,19
24 jun 2022,Singapore,1
24 jun 2022,United States,1
25 jun 2022,Argentina,31
25 jun 2022,Chile,2
25 jun 2022,China,1
26 jun 2022,Argentina,6
26 jun 2022,Paraguay,2
26 jun 2022,China,1
27 jun 2022,Argentina,8
27 jun 2022,Mexico,1
27 jun 2022,United States,1
28 jun 2022,Argentina,58
28 jun 2022,China,2
29 jun 2022,Argentina,22
29 jun 2022,Mexico,2
29 jun 2022,Peru,1
30 jun 2022,Argentina,90
30 jun 2022,China,1
1 jul 2022,Argentina,18
1 jul 2022,Peru,4
1 jul 2022,China,1
1 jul 2022,Switzerland,1
1 jul 2022,Uruguay,1
2 jul 2022,Argentina,25
2 jul 2022,China,1
3 jul 2022,Argentina,13
3 jul 2022,Peru,5
4 jul 2022,Argentina,144
4 jul 2022,China,2
4 jul 2022,Brazil,1
5 jul 2022,Argentina,21
5 jul 2022,China,1
5 jul 2022,United States,1
6 jul 2022,Argentina,11
6 jul 2022,China,1
7 jul 2022,Argentina,103
7 jul 2022,United States,2
7 jul 2022,China,1
7 jul 2022,Switzerland,1
8 jul 2022,Argentina,25
8 jul 2022,United States,1
9 jul 2022,Argentina,3
9 jul 2022,Mexico,1
9 jul 2022,Peru,1
10 jul 2022,Argentina,6
11 jul 2022,Argentina,1
12 jul 2022,Argentina,6
12 jul 2022,United States,6
12 jul 2022,Mexico,2
12 jul 2022,China,1
12 jul 2022,Colombia,1
12 jul 2022,Spain,1
13 jul 2022,Argentina,12
13 jul 2022,Uruguay,2
13 jul 2022,Mexico,1
14 jul 2022,Argentina,3
14 jul 2022,China,1
15 jul 2022,China,1
16 jul 2022,Argentina,3
17 jul 2022,Argentina,6
17 jul 2022,China,2
17 jul 2022,Uganda,1
18 jul 2022,Argentina,13
18 jul 2022,Paraguay,1
19 jul 2022,Argentina,5
19 jul 2022,China,1
20 jul 2022,Argentina,8
20 jul 2022,Costa Rica,2
20 jul 2022,Peru,2
20 jul 2022,Spain,1
20 jul 2022,United States,1
21 jul 2022,Argentina,3
21 jul 2022,China,2
22 jul 2022,Argentina,7
22 jul 2022,Colombia,2
22 jul 2022,United States,1
23 jul 2022,Argentina,11
23 jul 2022,Spain,4
23 jul 2022,China,1
24 jul 2022,Argentina,1
25 jul 2022,Argentina,12
26 jul 2022,Argentina,1
26 jul 2022,Spain,1
27 jul 2022,Argentina,12
27 jul 2022,Bolivia,1
27 jul 2022,China,1
28 jul 2022,Argentina,48
28 jul 2022,China,1
28 jul 2022,Sweden,1
29 jul 2022,Argentina,8
29 jul 2022,China,1
29 jul 2022,Mexico,1
30 jul 2022,Argentina,5
31 jul 2022,Argentina,1
31 jul 2022,China,1
1 ago 2022,Argentina,35
1 ago 2022,United States,1
2 ago 2022,Argentina,35
2 ago 2022,China,2
3 ago 2022,Argentina,61
4 ago 2022,Argentina,32
4 ago 2022,China,1
5 ago 2022,Argentina,14
5 ago 2022,Spain,2
5 ago 2022,China,1
5 ago 2022,Peru,1
6 ago 2022,Argentina,4
6 ago 2022,United States,3
6 ago 2022,China,1
7 ago 2022,Argentina,6
7 ago 2022,Mexico,1
8 ago 2022,Argentina,70
8 ago 2022,Uruguay,3
8 ago 2022,China,1
8 ago 2022,Mexico,1
8 ago 2022,Spain,1
9 ago 2022,Argentina,53
9 ago 2022,Spain,3
9 ago 2022,China,1
10 ago 2022,Colombia,47
10 ago 2022,Spain,20
10 ago 2022,Argentina,18
10 ago 2022,United States,7
10 ago 2022,Brazil,2
11 ago 2022,Argentina,40
11 ago 2022,China,2
11 ago 2022,Colombia,2
11 ago 2022,Paraguay,2
11 ago 2022,Bolivia,1
11 ago 2022,Chile,1
12 ago 2022,Argentina,30
12 ago 2022,Colombia,2
13 ago 2022,Argentina,5
13 ago 2022,China,1
14 ago 2022,Argentina,3
14 ago 2022,United States,1
15 ago 2022,Argentina,9
15 ago 2022,Colombia,3
15 ago 2022,Switzerland,1
16 ago 2022,Argentina,87
16 ago 2022,United States,3
16 ago 2022,China,2
16 ago 2022,Cuba,2
17 ago 2022,Argentina,31
17 ago 2022,Colombia,3
18 ago 2022,Argentina,37
18 ago 2022,China,1
18 ago 2022,Colombia,1
19 ago 2022,Argentina,23
20 ago 2022,Argentina,11
20 ago 2022,China,1
20 ago 2022,Colombia,1
21 ago 2022,Argentina,4
21 ago 2022,China,1
22 ago 2022,Argentina,18
22 ago 2022,China,1
22 ago 2022,Italy,1
23 ago 2022,Argentina,15
24 ago 2022,Argentina,101
24 ago 2022,China,1
25 ago 2022,Argentina,41
25 ago 2022,Brazil,4
26 ago 2022,Argentina,28
27 ago 2022,Argentina,26
27 ago 2022,China,2
28 ago 2022,Argentina,21
28 ago 2022,United States,3
28 ago 2022,Canada,1
28 ago 2022,China,1
29 ago 2022,Argentina,46
29 ago 2022,China,1
29 ago 2022,Guatemala,1
29 ago 2022,Sweden,1
30 ago 2022,Argentina,89
31 ago 2022,Mexico,15
31 ago 2022,Argentina,7
1 sept 2022,Argentina,17
2 sept 2022,Argentina,30
2 sept 2022,China,1
3 sept 2022,Argentina,22
4 sept 2022,Argentina,4
5 sept 2022,Argentina,20
5 sept 2022,Mexico,4
5 sept 2022,China,2
6 sept 2022,Argentina,42
6 sept 2022,United States,3
7 sept 2022,Argentina,42
7 sept 2022,Ecuador,1
7 sept 2022,Peru,1
7 sept 2022,United States,1
8 sept 2022,Argentina,67
8 sept 2022,Ecuador,4
8 sept 2022,China,1
9 sept 2022,Argentina,25
9 sept 2022,China,1
10 sept 2022,Argentina,29
10 sept 2022,Paraguay,5
11 sept 2022,Argentina,7
12 sept 2022,Argentina,11
12 sept 2022,China,1
12 sept 2022,Indonesia,1
13 sept 2022,Argentina,33
13 sept 2022,China,3
13 sept 2022,Mexico,2
13 sept 2022,Colombia,1
14 sept 2022,Argentina,15
14 sept 2022,China,1
14 sept 2022,Mexico,1
14 sept 2022,Spain,1
14 sept 2022,Ukraine,1
15 sept 2022,Argentina,69
15 sept 2022,Belgium,1
15 sept 2022,China,1
15 sept 2022,Peru,1
16 sept 2022,Argentina,21
16 sept 2022,China,1
17 sept 2022,Argentina,16
17 sept 2022,China,1
18 sept 2022,Argentina,2
18 sept 2022,Paraguay,2
19 sept 2022,Argentina,29
19 sept 2022,China,1
19 sept 2022,El Salvador,1
19 sept 2022,Indonesia,1
19 sept 2022,Mexico,1
20 sept 2022,Argentina,33
20 sept 2022,Brazil,2
20 sept 2022,Indonesia,1
21 sept 2022,Argentina,50
21 sept 2022,Brazil,0
22 sept 2022,Argentina,5
22 sept 2022,China,2
23 sept 2022,Argentina,4
23 sept 2022,Brazil,2
23 sept 2022,Belgium,0
24 sept 2022,Argentina,3
24 sept 2022,China,1
25 sept 2022,Argentina,14
25 sept 2022,Peru,1
26 sept 2022,Argentina,42
26 sept 2022,China,1
26 sept 2022,Paraguay,1
26 sept 2022,Spain,1
27 sept 2022,Argentina,14
27 sept 2022,China,1
28 sept 2022,Argentina,56
28 sept 2022,Colombia,4
28 sept 2022,China,1
29 sept 2022,Argentina,54
30 sept 2022,Argentina,35
30 sept 2022,Colombia,5
