Fecha,Vistas,Usuarios nuevos,Total de usuarios,Sesiones por usuario,Sesiones
14 jun 2022,38,23,23,1.173913043478261,27
15 jun 2022,35,22,23,1.0434782608695652,24
16 jun 2022,46,16,21,1.1428571428571428,24
17 jun 2022,32,10,13,1.0769230769230769,14
18 jun 2022,15,9,10,1,10
19 jun 2022,12,6,7,1,7
20 jun 2022,9,5,6,1,6
21 jun 2022,68,36,40,1.125,45
22 jun 2022,26,9,13,1.1538461538461537,15
23 jun 2022,53,21,23,1.3478260869565217,31
24 jun 2022,21,10,13,1.0769230769230769,14
25 jun 2022,34,14,17,1.1764705882352942,20
26 jun 2022,9,6,6,1,6
27 jun 2022,10,5,7,1.4285714285714286,10
28 jun 2022,60,30,39,1.1025641025641026,43
29 jun 2022,25,13,18,1.1111111111111112,20
30 jun 2022,91,41,50,1.2040816326530612,59
1 jul 2022,25,14,19,1.1578947368421053,22
2 jul 2022,26,16,16,1,16
3 jul 2022,18,9,9,1.1111111111111112,10
4 jul 2022,147,10,14,1.5,21
5 jul 2022,23,8,11,1.2727272727272727,14
6 jul 2022,12,9,11,1.0909090909090908,12
7 jul 2022,107,65,70,1.2285714285714286,86
8 jul 2022,26,12,16,1.4375,23
9 jul 2022,5,4,5,1,5
10 jul 2022,6,2,2,1,2
11 jul 2022,1,0,1,1,1
12 jul 2022,17,9,9,1,9
13 jul 2022,15,8,9,1.1111111111111112,10
14 jul 2022,4,2,4,1,4
15 jul 2022,1,1,1,1,1
16 jul 2022,3,2,3,1,3
17 jul 2022,9,6,6,1.1666666666666667,7
18 jul 2022,14,4,4,1,4
19 jul 2022,6,2,4,1,4
20 jul 2022,14,8,8,1.25,10
21 jul 2022,5,5,5,1,5
22 jul 2022,10,8,9,1.1111111111111112,10
23 jul 2022,16,8,8,1,8
24 jul 2022,1,1,1,1,1
25 jul 2022,12,6,6,1.1666666666666667,7
26 jul 2022,2,2,3,1,3
27 jul 2022,14,8,9,1,9
28 jul 2022,50,15,17,1.1176470588235294,19
29 jul 2022,10,9,9,1,9
30 jul 2022,5,4,4,1,4
31 jul 2022,2,2,3,1,3
1 ago 2022,36,14,17,1.1176470588235294,19
2 ago 2022,37,15,24,1.380952380952381,29
3 ago 2022,61,21,33,1.3571428571428572,38
4 ago 2022,33,15,20,1.1578947368421053,22
5 ago 2022,18,14,14,1,14
6 ago 2022,8,6,6,1,6
7 ago 2022,7,4,5,1.25,5
8 ago 2022,76,12,21,1.3,26
9 ago 2022,57,17,22,1.1428571428571428,24
10 ago 2022,94,37,42,1.146341463414634,47
11 ago 2022,48,18,27,1.2608695652173914,29
12 ago 2022,32,13,18,1.3333333333333333,20
13 ago 2022,6,6,6,1,6
14 ago 2022,4,3,4,1.25,5
15 ago 2022,13,5,5,1,5
16 ago 2022,94,19,25,1.3043478260869565,30
17 ago 2022,34,10,18,1.375,22
18 ago 2022,39,16,22,1.15,23
19 ago 2022,23,11,15,1.0714285714285714,15
