,Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,mobile,desktop,tablet,smart tv,Categoría de dispositivo promedio,Categoría de dispositivo std,Android,Windows,iOS,Macintosh,Linux,Tizen,Windows Phone,Playstation 4,Sistema operativo (not set),Sistema operativo promedio,Sistema operativo std,Organic Search,Direct,Social,Referral,Organic Video,Unassigned,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std
0,14 jun 2022,38,23,23,1.173913043478261,27,37,1,30,8,0,0,9.5,12.278029157808676,30,8,0,0,0,0,0,0,0,4.222222222222221,9.449018500208576,19.0,15.0,3.0,1.0,0.0,0.0,6.333333333333332,7.695597587076797
1,15 jun 2022,35,22,23,1.0434782608695652,24,33,2,21,14,0,0,8.75,9.093266739736606,18,14,3,0,0,0,0,0,0,3.888888888888889,6.607141665474889,8.0,26.0,1.0,0.0,0.0,0.0,5.833333333333332,9.458975749108474
2,16 jun 2022,46,16,21,1.1428571428571428,24,41,5,37,9,0,0,11.5,15.173990905493516,36,7,1,2,0,0,0,0,0,5.111111111111111,11.129983971681025,11.0,22.0,11.0,0.0,2.0,0.0,7.666666666666668,7.930251502246879
3,17 jun 2022,32,10,13,1.0769230769230769,14,26,6,20,12,0,0,8.0,8.48528137423857,20,12,0,0,0,0,0,0,0,3.555555555555556,6.913932971601797,7.0,23.0,2.0,0.0,0.0,0.0,5.333333333333333,8.27982823224948
4,18 jun 2022,15,9,10,1.0,10,14,1,8,7,0,0,3.75,3.7666297933298414,8,7,0,0,0,0,0,0,0,1.6666666666666667,3.1269438398822853,6.0,9.0,0.0,0.0,0.0,0.0,2.5,3.6400549446402586
5,19 jun 2022,12,6,7,1.0,7,10,2,9,3,0,0,3.0,3.6742346141747673,9,3,0,0,0,0,0,0,0,1.3333333333333333,2.8674417556808747,10.0,2.0,0.0,0.0,0.0,0.0,2.0,3.651483716701108
6,20 jun 2022,9,5,6,1.0,6,5,4,2,7,0,0,2.25,2.8613807855648994,2,4,0,3,0,0,0,0,0,1.0,1.4907119849998598,8.0,1.0,0.0,0.0,0.0,0.0,1.5,2.9297326385411577
7,21 jun 2022,68,36,40,1.125,45,67,1,52,16,0,0,17.0,21.236760581595306,51,16,1,0,0,0,0,0,0,7.5555555555555545,16.139056224032093,9.0,43.0,16.0,0.0,0.0,0.0,11.333333333333336,15.358674711344364
8,22 jun 2022,26,9,13,1.1538461538461535,15,25,1,17,9,0,0,6.5,7.088723439378913,14,9,3,0,0,0,0,0,0,2.888888888888889,4.840671313509326,11.0,12.0,3.0,0.0,0.0,0.0,4.333333333333333,5.1854497287013475
9,23 jun 2022,53,21,23,1.3478260869565215,31,46,7,41,12,0,0,13.25,16.753730927766508,37,12,4,0,0,0,0,0,0,5.888888888888888,11.627978179512114,20.0,31.0,1.0,0.0,1.0,0.0,8.833333333333334,12.212243401148243
10,24 jun 2022,21,10,13,1.0769230769230769,14,19,2,11,10,0,0,5.25,5.261891294962297,11,10,0,0,0,0,0,0,0,2.333333333333333,4.371625682868002,9.0,12.0,0.0,0.0,0.0,0.0,3.5,5.024937810560445
11,25 jun 2022,34,14,17,1.1764705882352942,20,31,3,17,17,0,0,8.5,8.5,17,17,0,0,0,0,0,0,0,3.7777777777777777,7.067575063906332,9.0,24.0,1.0,0.0,0.0,0.0,5.666666666666668,8.806563209081936
12,26 jun 2022,9,6,6,1.0,6,6,3,6,3,0,0,2.25,2.48746859276655,6,3,0,0,0,0,0,0,0,1.0,2.0,4.0,3.0,0.0,2.0,0.0,0.0,1.5,1.6072751268321592
13,27 jun 2022,10,5,7,1.4285714285714286,10,8,2,3,7,0,0,2.5,2.8722813232690143,3,7,0,0,0,0,0,0,0,1.1111111111111112,2.282515398241572,6.0,4.0,0.0,0.0,0.0,0.0,1.6666666666666667,2.42670329642684
14,28 jun 2022,60,30,39,1.1025641025641026,43,58,2,47,13,0,0,15.0,19.222382786741086,45,13,2,0,0,0,0,0,0,6.666666666666668,14.134276698076125,19.0,32.0,9.0,0.0,0.0,0.0,10.0,12.013880860626733
15,29 jun 2022,25,13,18,1.1111111111111112,20,22,3,10,15,0,0,6.25,6.495190528383289,10,15,0,0,0,0,0,0,0,2.7777777777777777,5.328701692569688,16.0,6.0,3.0,0.0,0.0,0.0,4.166666666666667,5.7276134258131925
16,30 jun 2022,91,41,50,1.2040816326530612,59,90,1,74,17,0,0,22.75,30.392227624838558,61,14,13,1,2,0,0,0,0,10.111111111111109,18.770215439741786,15.0,57.0,17.0,1.0,0.0,1.0,15.166666666666664,19.93670540039708
17,1 jul 2022,25,14,19,1.1578947368421053,22,18,7,18,7,0,0,6.25,7.3612159321677275,18,7,0,0,0,0,0,0,0,2.7777777777777777,5.807615264609768,11.0,12.0,1.0,1.0,0.0,0.0,4.166666666666667,5.2094998693625945
18,2 jul 2022,26,16,16,1.0,16,25,1,20,6,0,0,6.5,8.170067319184097,20,6,0,0,0,0,0,0,0,2.888888888888889,6.332358599455558,9.0,17.0,0.0,0.0,0.0,0.0,4.333333333333333,6.548960901462832
19,3 jul 2022,18,9,9,1.1111111111111112,10,13,5,7,11,0,0,4.5,4.716990566028302,7,6,0,5,0,0,0,0,0,2.0,2.867441755680876,8.0,9.0,0.0,1.0,0.0,0.0,3.0,3.915780041490244
20,4 jul 2022,147,10,14,1.5,21,144,3,5,142,0,0,36.75,60.80039062374517,5,141,0,0,1,0,0,0,0,16.333333333333332,44.10341382604197,13.0,134.0,0.0,0.0,0.0,0.0,24.5,49.19942411587085
21,5 jul 2022,23,8,11,1.2727272727272727,14,21,2,5,17,1,0,5.75,6.759252917297888,3,15,3,1,1,0,0,0,0,2.555555555555556,4.54877544232416,5.0,18.0,0.0,0.0,0.0,0.0,3.8333333333333335,6.593346814950829
22,6 jul 2022,12,9,11,1.0909090909090908,12,11,1,6,6,0,0,3.0,3.0,6,6,0,0,0,0,0,0,0,1.3333333333333333,2.494438257849294,5.0,6.0,1.0,0.0,0.0,0.0,2.0,2.516611478423583
23,7 jul 2022,107,65,70,1.2285714285714286,86,103,4,45,61,1,0,26.75,26.854934369683352,45,49,1,1,11,0,0,0,0,11.888888888888891,19.081372210407164,30.0,71.0,5.0,0.0,1.0,0.0,17.833333333333332,26.009079611209284
24,8 jul 2022,26,12,16,1.4375,23,25,1,9,17,0,0,6.5,7.088723439378913,6,16,3,0,1,0,0,0,0,2.888888888888889,5.020943790086667,20.0,6.0,0.0,0.0,0.0,0.0,4.333333333333333,7.340905181848414
25,9 jul 2022,5,4,5,1.0,5,3,2,2,3,0,0,1.25,1.299038105676658,2,3,0,0,0,0,0,0,0,0.5555555555555556,1.0657403385139381,2.0,3.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.21335164821342
