Fecha,Categoría de dispositivo,Vistas,Usuarios nuevos,Total de usuarios,Sesiones por usuario,Sesiones
14 jun 2022,mobile,30,16,16,1.1875,19
14 jun 2022,desktop,8,7,7,1.1428571428571428,8
15 jun 2022,desktop,14,12,12,1,12
15 jun 2022,mobile,21,10,11,1.0909090909090908,12
16 jun 2022,mobile,37,10,13,1.2307692307692308,16
16 jun 2022,desktop,9,6,8,1,8
17 jun 2022,desktop,12,8,9,1,9
17 jun 2022,mobile,20,2,4,1.25,5
18 jun 2022,mobile,8,7,7,1,7
18 jun 2022,desktop,7,2,3,1,3
19 jun 2022,mobile,9,3,4,1,4
19 jun 2022,desktop,3,3,3,1,3
20 jun 2022,desktop,7,4,5,1,5
20 jun 2022,mobile,2,1,1,1,1
21 jun 2022,mobile,52,27,29,1.1724137931034482,34
21 jun 2022,desktop,16,9,11,1,11
22 jun 2022,mobile,17,5,8,1,8
22 jun 2022,desktop,9,4,5,1.4,7
23 jun 2022,desktop,12,6,7,1.2857142857142858,9
23 jun 2022,mobile,41,15,16,1.375,22
24 jun 2022,desktop,10,6,7,1,7
24 jun 2022,mobile,11,4,6,1.1666666666666667,7
25 jun 2022,mobile,17,9,12,1.1666666666666667,14
25 jun 2022,desktop,17,5,5,1.2,6
26 jun 2022,mobile,6,4,4,1,4
26 jun 2022,desktop,3,2,2,1,2
27 jun 2022,desktop,7,4,5,1.4,7
27 jun 2022,mobile,3,1,2,1.5,3
28 jun 2022,mobile,47,24,31,1.096774193548387,34
28 jun 2022,desktop,13,6,8,1.125,9
29 jun 2022,desktop,15,8,10,1.2,12
29 jun 2022,mobile,10,5,8,1,8
30 jun 2022,mobile,74,34,39,1.1794871794871795,46
30 jun 2022,desktop,17,7,11,1.3,13
1 jul 2022,mobile,18,10,15,1.1333333333333333,17
1 jul 2022,desktop,7,4,4,1.25,5
2 jul 2022,mobile,20,12,12,1,12
2 jul 2022,desktop,6,4,4,1,4
3 jul 2022,mobile,7,3,3,1,3
3 jul 2022,desktop,11,6,6,1.1666666666666667,7
4 jul 2022,desktop,142,8,11,1.6363636363636365,18
4 jul 2022,mobile,5,2,3,1,3
5 jul 2022,desktop,17,3,5,1.6,8
5 jul 2022,mobile,5,4,5,1,5
5 jul 2022,tablet,1,1,1,1,1
6 jul 2022,mobile,6,5,6,1,6
6 jul 2022,desktop,6,4,5,1.2,6
7 jul 2022,desktop,61,37,39,1.2820512820512822,50
7 jul 2022,mobile,45,27,30,1.1666666666666667,35
7 jul 2022,tablet,1,1,1,1,1
8 jul 2022,desktop,17,8,11,1.5454545454545454,17
8 jul 2022,mobile,9,4,5,1.2,6
9 jul 2022,desktop,3,3,3,1,3
9 jul 2022,mobile,2,1,2,1,2
10 jul 2022,mobile,6,2,2,1,2
11 jul 2022,mobile,1,0,1,1,1
12 jul 2022,desktop,12,5,5,1,5
12 jul 2022,mobile,5,4,4,1,4
