Fecha,Categoría de dispositivo,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones
22 ago 2018,desktop,177,12,0,0,15
22 ago 2018,mobile,23,11,0,0,13
23 ago 2018,mobile,29,9,0,0,14
23 ago 2018,desktop,41,20,0,0,23
24 ago 2018,mobile,28,7,0,0,13
24 ago 2018,desktop,295,13,0,0,23
25 ago 2018,desktop,107,7,0,0,11
25 ago 2018,mobile,44,3,0,0,7
26 ago 2018,mobile,18,4,0,0,5
26 ago 2018,desktop,19,8,0,0,10
27 ago 2018,mobile,41,5,0,0,13
27 ago 2018,desktop,41,16,0,0,20
28 ago 2018,desktop,257,18,0,0,26
28 ago 2018,mobile,39,11,0,0,18
29 ago 2018,desktop,166,16,0,0,23
29 ago 2018,mobile,84,51,0,0,59
30 ago 2018,desktop,121,21,0,0,28
30 ago 2018,mobile,39,16,0,0,31
31 ago 2018,desktop,29,7,0,0,13
31 ago 2018,mobile,30,11,0,0,23
1 sept 2018,desktop,58,13,0,0,24
1 sept 2018,mobile,32,6,0,0,15
2 sept 2018,mobile,36,17,0,0,24
2 sept 2018,desktop,22,7,0,0,15
3 sept 2018,mobile,10,4,0,0,8
3 sept 2018,desktop,28,11,0,0,19
4 sept 2018,desktop,57,13,0,0,24
4 sept 2018,mobile,22,6,0,0,10
5 sept 2018,desktop,40,13,0,0,21
5 sept 2018,mobile,29,6,0,0,10
6 sept 2018,desktop,45,16,0,0,22
6 sept 2018,mobile,60,16,0,0,25
7 sept 2018,desktop,27,11,0,0,16
7 sept 2018,mobile,17,3,0,0,7
8 sept 2018,desktop,27,8,0,0,14
8 sept 2018,mobile,28,6,0,0,9
9 sept 2018,mobile,6,1,0,0,3
9 sept 2018,desktop,3,1,0,0,2
10 sept 2018,mobile,16,7,0,0,8
10 sept 2018,desktop,22,6,0,0,11
11 sept 2018,mobile,13,7,0,0,9
11 sept 2018,desktop,96,5,0,0,12
12 sept 2018,desktop,43,14,0,0,21
12 sept 2018,mobile,40,7,0,0,16
13 sept 2018,desktop,71,9,0,0,20
13 sept 2018,mobile,38,11,0,0,16
14 sept 2018,desktop,28,8,0,0,21
14 sept 2018,mobile,33,7,0,0,16
15 sept 2018,mobile,51,14,0,0,28
15 sept 2018,desktop,28,12,0,0,15
16 sept 2018,mobile,27,2,0,0,12
16 sept 2018,desktop,15,3,0,0,5
17 sept 2018,desktop,36,11,0,0,18
17 sept 2018,mobile,29,9,0,0,14
18 sept 2018,mobile,42,11,0,0,17
18 sept 2018,desktop,88,26,0,0,46
18 sept 2018,tablet,1,1,0,0,1
19 sept 2018,desktop,21,8,0,0,13
19 sept 2018,mobile,17,4,0,0,10
20 sept 2018,mobile,19,8,0,0,10
20 sept 2018,desktop,65,11,0,0,19
21 sept 2018,desktop,28,8,0,0,12
21 sept 2018,mobile,23,1,0,0,14
22 sept 2018,mobile,7,0,0,0,5
22 sept 2018,desktop,22,9,0,0,13
23 sept 2018,mobile,21,3,0,0,9
23 sept 2018,desktop,6,4,0,0,4
24 sept 2018,desktop,35,10,0,0,17
24 sept 2018,mobile,9,4,0,0,7
25 sept 2018,desktop,30,11,0,0,13
25 sept 2018,mobile,9,2,0,0,5
26 sept 2018,mobile,25,8,0,0,12
26 sept 2018,desktop,32,11,0,0,14
27 sept 2018,desktop,8,4,0,0,8
27 sept 2018,mobile,34,6,0,0,6
28 sept 2018,desktop,22,7,0,0,11
28 sept 2018,mobile,29,9,0,0,13
29 sept 2018,mobile,36,11,0,0,15
29 sept 2018,desktop,19,4,0,0,10
30 sept 2018,mobile,9,3,0,0,3
30 sept 2018,desktop,6,2,0,0,3
1 oct 2018,mobile,17,7,0,0,13
1 oct 2018,desktop,23,8,0,0,13
2 oct 2018,desktop,20,11,0,0,16
2 oct 2018,mobile,24,7,0,0,13
3 oct 2018,desktop,40,9,0,0,18
3 oct 2018,mobile,20,7,0,0,9
4 oct 2018,desktop,46,4,0,0,12
4 oct 2018,mobile,15,3,0,0,9
5 oct 2018,desktop,45,11,0,0,19
5 oct 2018,mobile,28,5,0,0,16
6 oct 2018,desktop,22,8,0,0,14
6 oct 2018,mobile,14,3,0,0,10
7 oct 2018,mobile,16,4,0,0,7
7 oct 2018,desktop,12,7,0,0,7
8 oct 2018,desktop,10,4,0,0,8
8 oct 2018,mobile,10,2,0,0,6
9 oct 2018,desktop,97,11,0,0,17
9 oct 2018,mobile,36,6,0,0,17
10 oct 2018,desktop,22,11,0,0,12
10 oct 2018,mobile,59,22,0,0,36
10 oct 2018,tablet,2,1,0,0,1
11 oct 2018,desktop,31,7,0,0,16
11 oct 2018,mobile,20,4,0,0,10
12 oct 2018,mobile,29,4,0,0,7
12 oct 2018,desktop,20,11,0,0,15
13 oct 2018,mobile,6,2,0,0,4
13 oct 2018,desktop,8,5,0,0,8
14 oct 2018,desktop,10,1,0,0,2
14 oct 2018,mobile,9,2,0,0,9
15 oct 2018,mobile,12,3,0,0,4
15 oct 2018,desktop,7,3,0,0,5
16 oct 2018,mobile,41,12,0,0,17
16 oct 2018,desktop,28,9,0,0,13
17 oct 2018,mobile,76,20,0,0,27
17 oct 2018,desktop,16,7,0,0,9
18 oct 2018,desktop,23,8,0,0,11
18 oct 2018,mobile,33,14,0,0,20
19 oct 2018,mobile,26,6,0,0,14
19 oct 2018,desktop,19,10,0,0,11
20 oct 2018,desktop,9,5,0,0,8
20 oct 2018,mobile,14,2,0,0,6
21 oct 2018,desktop,6,2,0,0,3
21 oct 2018,mobile,11,3,0,0,8
22 oct 2018,desktop,28,6,0,0,11
22 oct 2018,mobile,11,5,0,0,7
23 oct 2018,mobile,77,18,0,0,28
23 oct 2018,desktop,35,18,0,0,22
24 oct 2018,desktop,15,5,0,0,8
24 oct 2018,mobile,25,6,0,0,11
25 oct 2018,mobile,18,5,0,0,8
25 oct 2018,desktop,24,6,0,0,11
26 oct 2018,desktop,45,8,0,0,17
26 oct 2018,mobile,28,6,0,0,9
27 oct 2018,desktop,14,4,0,0,10
27 oct 2018,mobile,23,3,0,0,9
28 oct 2018,mobile,19,2,0,0,10
28 oct 2018,desktop,7,4,0,0,5
29 oct 2018,mobile,12,5,0,0,8
29 oct 2018,desktop,13,7,0,0,9
30 oct 2018,mobile,70,13,0,0,25
30 oct 2018,desktop,46,13,0,0,23
31 oct 2018,mobile,8,1,0,0,4
31 oct 2018,desktop,15,3,0,0,5
1 nov 2018,desktop,51,17,0,0,26
1 nov 2018,mobile,20,5,0,0,8
2 nov 2018,mobile,17,7,0,0,12
2 nov 2018,desktop,38,4,0,0,13
3 nov 2018,desktop,16,6,0,0,10
3 nov 2018,mobile,62,22,0,0,33
4 nov 2018,desktop,8,3,0,0,3
4 nov 2018,mobile,9,4,0,0,7
5 nov 2018,tablet,1,1,0,0,1
5 nov 2018,mobile,17,7,0,0,13
5 nov 2018,desktop,94,14,0,0,26
6 nov 2018,mobile,52,11,0,0,27
6 nov 2018,desktop,40,10,0,0,14
7 nov 2018,desktop,20,9,0,0,13
7 nov 2018,mobile,14,3,0,0,9
8 nov 2018,desktop,14,6,0,0,9
8 nov 2018,mobile,4,2,0,0,3
9 nov 2018,mobile,9,2,0,0,5
9 nov 2018,desktop,15,5,0,0,6
10 nov 2018,desktop,5,2,0,0,4
10 nov 2018,mobile,20,3,0,0,6
11 nov 2018,mobile,3,1,0,0,2
11 nov 2018,desktop,6,5,0,0,6
12 nov 2018,desktop,20,14,0,0,17
12 nov 2018,mobile,10,4,0,0,6
13 nov 2018,mobile,43,11,0,0,15
13 nov 2018,desktop,51,10,0,0,18
14 nov 2018,desktop,28,12,0,0,19
14 nov 2018,mobile,20,5,0,0,6
15 nov 2018,mobile,8,2,0,0,5
15 nov 2018,desktop,16,8,0,0,13
16 nov 2018,desktop,26,9,0,0,15
16 nov 2018,mobile,14,8,0,0,10
17 nov 2018,mobile,25,6,0,0,9
17 nov 2018,desktop,2,1,0,0,2
18 nov 2018,desktop,11,5,0,0,8
18 nov 2018,mobile,13,4,0,0,9
19 nov 2018,mobile,11,3,0,0,6
19 nov 2018,desktop,9,1,0,0,2
20 nov 2018,desktop,32,9,0,0,14
20 nov 2018,mobile,40,11,0,0,16
21 nov 2018,mobile,22,2,0,0,7
21 nov 2018,desktop,46,6,0,0,12
22 nov 2018,mobile,20,9,0,0,11
22 nov 2018,desktop,21,6,0,0,13
23 nov 2018,desktop,31,6,0,0,12
23 nov 2018,mobile,22,11,0,0,14
24 nov 2018,desktop,8,3,0,0,4
24 nov 2018,mobile,25,3,0,0,12
25 nov 2018,mobile,2,0,0,0,2
25 nov 2018,desktop,10,2,0,0,10
26 nov 2018,desktop,18,5,0,0,10
26 nov 2018,mobile,15,5,0,0,10
27 nov 2018,desktop,25,6,0,0,14
27 nov 2018,mobile,28,4,0,0,8
28 nov 2018,desktop,18,7,0,0,10
28 nov 2018,mobile,6,2,0,0,4
29 nov 2018,desktop,14,6,0,0,9
29 nov 2018,mobile,15,6,0,0,7
30 nov 2018,desktop,10,4,0,0,6
30 nov 2018,mobile,18,5,0,0,13
1 dic 2018,mobile,9,1,0,0,6
1 dic 2018,desktop,4,2,0,0,4
2 dic 2018,desktop,5,1,0,0,3
2 dic 2018,mobile,10,1,0,0,5
3 dic 2018,mobile,37,12,0,0,17
3 dic 2018,desktop,20,12,0,0,15
4 dic 2018,mobile,8,5,0,0,8
4 dic 2018,desktop,19,3,0,0,9
5 dic 2018,mobile,2,1,0,0,2
5 dic 2018,desktop,17,7,0,0,11
6 dic 2018,desktop,11,7,0,0,7
7 dic 2018,mobile,17,7,0,0,10
7 dic 2018,desktop,12,7,0,0,11
8 dic 2018,desktop,10,4,0,0,6
8 dic 2018,mobile,13,4,0,0,9
9 dic 2018,desktop,4,2,0,0,4
9 dic 2018,mobile,15,5,0,0,9
10 dic 2018,mobile,8,2,0,0,5
10 dic 2018,desktop,40,6,0,0,11
11 dic 2018,desktop,140,12,0,0,19
11 dic 2018,mobile,5,4,0,0,4
12 dic 2018,desktop,15,6,0,0,10
12 dic 2018,mobile,6,2,0,0,4
13 dic 2018,desktop,14,7,0,0,12
13 dic 2018,mobile,2,2,0,0,2
14 dic 2018,mobile,12,5,0,0,8
14 dic 2018,desktop,29,8,0,0,15
15 dic 2018,mobile,14,2,0,0,9
15 dic 2018,desktop,4,3,0,0,4
16 dic 2018,desktop,2,1,0,0,2
16 dic 2018,mobile,3,2,0,0,3
17 dic 2018,mobile,9,8,0,0,9
17 dic 2018,desktop,24,5,0,0,10
18 dic 2018,mobile,1,1,0,0,1
18 dic 2018,desktop,14,9,0,0,9
19 dic 2018,desktop,17,8,0,0,13
20 dic 2018,mobile,4,3,0,0,3
20 dic 2018,desktop,2,1,0,0,2
21 dic 2018,mobile,6,3,0,0,3
21 dic 2018,desktop,19,4,0,0,5
22 dic 2018,mobile,42,11,0,0,14
22 dic 2018,desktop,6,5,0,0,5
23 dic 2018,mobile,2,2,0,0,2
23 dic 2018,desktop,1,0,0,0,1
24 dic 2018,desktop,1,1,0,0,1
24 dic 2018,mobile,8,2,0,0,3
25 dic 2018,desktop,3,1,0,0,2
26 dic 2018,mobile,3,2,0,0,2
26 dic 2018,desktop,15,4,0,0,8
27 dic 2018,mobile,9,4,0,0,5
27 dic 2018,desktop,16,4,0,0,4
28 dic 2018,tablet,1,1,0,0,1
28 dic 2018,desktop,78,3,0,0,8
28 dic 2018,mobile,3,3,0,0,3
