Fecha,Categoría de dispositivo,Número de vistas de página
22 ago 2018,mobile,23
22 ago 2018,desktop,177
23 ago 2018,desktop,41
23 ago 2018,mobile,29
24 ago 2018,mobile,28
24 ago 2018,desktop,295
25 ago 2018,desktop,107
25 ago 2018,mobile,44
26 ago 2018,mobile,18
26 ago 2018,desktop,19
27 ago 2018,desktop,41
27 ago 2018,mobile,41
28 ago 2018,desktop,257
28 ago 2018,mobile,39
29 ago 2018,desktop,166
29 ago 2018,mobile,84
30 ago 2018,desktop,121
30 ago 2018,mobile,39
31 ago 2018,mobile,30
31 ago 2018,desktop,29
1 sept 2018,desktop,58
1 sept 2018,mobile,32
2 sept 2018,mobile,36
2 sept 2018,desktop,22
3 sept 2018,desktop,28
3 sept 2018,mobile,10
4 sept 2018,desktop,57
4 sept 2018,mobile,22
5 sept 2018,mobile,29
5 sept 2018,desktop,40
6 sept 2018,desktop,45
6 sept 2018,mobile,60
7 sept 2018,mobile,17
7 sept 2018,desktop,27
8 sept 2018,desktop,27
8 sept 2018,mobile,28
9 sept 2018,desktop,3
9 sept 2018,mobile,6
10 sept 2018,mobile,16
10 sept 2018,desktop,22
11 sept 2018,desktop,96
11 sept 2018,mobile,13
12 sept 2018,mobile,40
12 sept 2018,desktop,43
13 sept 2018,desktop,71
13 sept 2018,mobile,38
14 sept 2018,desktop,28
14 sept 2018,mobile,33
15 sept 2018,mobile,51
15 sept 2018,desktop,28
16 sept 2018,desktop,15
16 sept 2018,mobile,27
17 sept 2018,mobile,29
17 sept 2018,desktop,36
18 sept 2018,mobile,42
18 sept 2018,tablet,1
18 sept 2018,desktop,88
19 sept 2018,desktop,21
19 sept 2018,mobile,17
20 sept 2018,desktop,65
20 sept 2018,mobile,19
21 sept 2018,desktop,28
21 sept 2018,mobile,23
22 sept 2018,desktop,22
22 sept 2018,mobile,7
23 sept 2018,desktop,6
23 sept 2018,mobile,21
24 sept 2018,desktop,35
24 sept 2018,mobile,9
25 sept 2018,desktop,30
25 sept 2018,mobile,9
26 sept 2018,mobile,25
26 sept 2018,desktop,32
27 sept 2018,mobile,34
27 sept 2018,desktop,8
28 sept 2018,mobile,29
28 sept 2018,desktop,22
29 sept 2018,desktop,19
29 sept 2018,mobile,36
30 sept 2018,mobile,9
30 sept 2018,desktop,6
1 oct 2018,desktop,23
1 oct 2018,mobile,17
2 oct 2018,desktop,20
2 oct 2018,mobile,24
3 oct 2018,desktop,40
3 oct 2018,mobile,20
4 oct 2018,mobile,15
4 oct 2018,desktop,46
5 oct 2018,mobile,28
5 oct 2018,desktop,45
6 oct 2018,mobile,14
6 oct 2018,desktop,22
7 oct 2018,mobile,16
7 oct 2018,desktop,12
8 oct 2018,desktop,10
8 oct 2018,mobile,10
9 oct 2018,desktop,97
9 oct 2018,mobile,36
10 oct 2018,desktop,22
10 oct 2018,mobile,59
10 oct 2018,tablet,2
11 oct 2018,desktop,31
11 oct 2018,mobile,20
12 oct 2018,mobile,29
12 oct 2018,desktop,20
13 oct 2018,desktop,8
13 oct 2018,mobile,6
14 oct 2018,desktop,10
14 oct 2018,mobile,9
15 oct 2018,mobile,12
15 oct 2018,desktop,7
16 oct 2018,desktop,28
16 oct 2018,mobile,41
17 oct 2018,desktop,16
17 oct 2018,mobile,76
18 oct 2018,mobile,33
18 oct 2018,desktop,23
19 oct 2018,mobile,26
19 oct 2018,desktop,19
20 oct 2018,mobile,14
20 oct 2018,desktop,9
21 oct 2018,desktop,6
21 oct 2018,mobile,11
22 oct 2018,desktop,28
22 oct 2018,mobile,11
23 oct 2018,desktop,35
23 oct 2018,mobile,77
24 oct 2018,mobile,25
24 oct 2018,desktop,15
25 oct 2018,mobile,18
25 oct 2018,desktop,24
26 oct 2018,desktop,45
26 oct 2018,mobile,28
27 oct 2018,desktop,14
27 oct 2018,mobile,23
28 oct 2018,mobile,19
28 oct 2018,desktop,7
29 oct 2018,mobile,12
29 oct 2018,desktop,13
30 oct 2018,desktop,46
30 oct 2018,mobile,70
31 oct 2018,mobile,8
31 oct 2018,desktop,15
1 nov 2018,desktop,51
1 nov 2018,mobile,20
2 nov 2018,mobile,17
2 nov 2018,desktop,38
3 nov 2018,desktop,16
3 nov 2018,mobile,62
4 nov 2018,desktop,8
4 nov 2018,mobile,9
5 nov 2018,mobile,17
5 nov 2018,tablet,1
5 nov 2018,desktop,94
6 nov 2018,desktop,40
6 nov 2018,mobile,52
7 nov 2018,desktop,20
7 nov 2018,mobile,14
8 nov 2018,mobile,4
8 nov 2018,desktop,14
9 nov 2018,mobile,9
9 nov 2018,desktop,15
10 nov 2018,desktop,5
10 nov 2018,mobile,20
11 nov 2018,mobile,3
11 nov 2018,desktop,6
12 nov 2018,desktop,20
12 nov 2018,mobile,10
13 nov 2018,mobile,43
13 nov 2018,desktop,51
14 nov 2018,mobile,20
14 nov 2018,desktop,28
15 nov 2018,desktop,16
15 nov 2018,mobile,8
16 nov 2018,desktop,26
16 nov 2018,mobile,14
17 nov 2018,mobile,25
17 nov 2018,desktop,2
18 nov 2018,desktop,11
18 nov 2018,mobile,13
19 nov 2018,desktop,9
19 nov 2018,mobile,11
20 nov 2018,desktop,32
20 nov 2018,mobile,40
21 nov 2018,mobile,22
21 nov 2018,desktop,46
22 nov 2018,mobile,20
22 nov 2018,desktop,21
23 nov 2018,desktop,31
23 nov 2018,mobile,22
24 nov 2018,desktop,8
24 nov 2018,mobile,25
25 nov 2018,desktop,10
25 nov 2018,mobile,2
26 nov 2018,mobile,15
