,Todos los usuarios,Sesiones con rebote,Sesiones sin rebote,Tráfico de búsqueda,Tráfico de equipos de escritorio y tablet,Tráfico de móviles,Tráfico de tablets,Tráfico directo,Tráfico móvil y de tablet,Tráfico orgánico,Tráfico referido,Usuarios nuevos,Usuarios recurrentes
46,87.0,26.0,61.0,50.0,24.0,63.0,0.0,18.0,63.0,50.0,19.0,36.0,0.0
47,155.0,59.0,96.0,35.0,22.0,133.0,0.0,41.0,133.0,35.0,79.0,104.0,0.0
48,66.0,27.0,39.0,30.0,50.0,16.0,0.0,30.0,16.0,30.0,6.0,53.0,0.0
49,83.0,42.0,41.0,34.0,70.0,13.0,0.0,26.0,13.0,34.0,23.0,54.0,0.0
50,88.0,29.0,59.0,25.0,41.0,47.0,0.0,38.0,47.0,25.0,25.0,55.0,0.0
51,50.0,23.0,27.0,27.0,24.0,26.0,0.0,15.0,26.0,27.0,8.0,33.0,13.0
52,30.0,12.0,18.0,20.0,18.0,12.0,1.0,7.0,13.0,20.0,3.0,22.0,8.0
53,51.0,23.0,28.0,27.0,31.0,20.0,0.0,16.0,20.0,27.0,8.0,32.0,19.0
54,36.0,25.0,11.0,12.0,16.0,20.0,1.0,17.0,21.0,12.0,7.0,27.0,9.0
55,66.0,34.0,32.0,31.0,28.0,38.0,0.0,27.0,38.0,31.0,8.0,50.0,16.0
56,58.0,38.0,20.0,19.0,20.0,38.0,0.0,35.0,38.0,19.0,4.0,41.0,17.0
57,83.0,33.0,50.0,35.0,39.0,44.0,0.0,20.0,44.0,35.0,28.0,73.0,10.0
58,104.0,51.0,53.0,28.0,67.0,37.0,0.0,50.0,37.0,28.0,26.0,70.0,34.0
59,78.0,35.0,43.0,17.0,63.0,15.0,1.0,53.0,16.0,17.0,8.0,66.0,12.0
60,580.0,164.0,416.0,75.0,297.0,283.0,0.0,167.0,283.0,75.0,338.0,291.0,289.0
61,432.0,98.0,334.0,81.0,292.0,140.0,2.0,76.0,142.0,81.0,275.0,151.0,281.0
62,283.0,75.0,208.0,59.0,136.0,147.0,0.0,89.0,147.0,59.0,135.0,168.0,115.0
63,186.0,74.0,112.0,62.0,104.0,82.0,0.0,76.0,82.0,62.0,48.0,95.0,91.0
64,141.0,66.0,75.0,66.0,82.0,59.0,0.0,63.0,59.0,66.0,12.0,119.0,22.0
65,127.0,50.0,77.0,38.0,40.0,87.0,0.0,46.0,87.0,38.0,43.0,88.0,39.0
66,132.0,63.0,69.0,31.0,62.0,70.0,1.0,65.0,71.0,31.0,36.0,95.0,37.0
67,205.0,83.0,122.0,98.0,120.0,85.0,0.0,86.0,85.0,98.0,21.0,157.0,48.0
68,214.0,73.0,141.0,98.0,129.0,85.0,4.0,79.0,89.0,98.0,37.0,131.0,83.0
69,146.0,70.0,76.0,52.0,94.0,52.0,2.0,78.0,54.0,52.0,16.0,108.0,38.0
70,184.0,93.0,91.0,71.0,99.0,85.0,0.0,60.0,85.0,71.0,53.0,114.0,70.0
71,150.0,73.0,77.0,50.0,74.0,76.0,0.0,69.0,76.0,50.0,31.0,95.0,55.0
72,259.0,101.0,158.0,79.0,75.0,184.0,0.0,144.0,184.0,79.0,36.0,192.0,67.0
73,169.0,79.0,90.0,62.0,83.0,86.0,0.0,87.0,86.0,62.0,20.0,113.0,56.0
74,260.0,119.0,141.0,134.0,128.0,132.0,0.0,76.0,132.0,134.0,50.0,170.0,90.0
75,272.0,105.0,167.0,107.0,123.0,149.0,2.0,88.0,151.0,107.0,77.0,174.0,98.0
76,278.0,130.0,148.0,102.0,157.0,121.0,1.0,97.0,122.0,102.0,79.0,134.0,144.0
77,260.0,92.0,168.0,81.0,170.0,90.0,1.0,151.0,91.0,81.0,28.0,149.0,111.0
78,458.0,126.0,332.0,99.0,209.0,249.0,0.0,258.0,249.0,99.0,101.0,264.0,194.0
79,214.0,107.0,107.0,64.0,109.0,105.0,0.0,108.0,105.0,64.0,42.0,157.0,57.0
80,109.0,45.0,64.0,37.0,58.0,51.0,0.0,45.0,51.0,37.0,27.0,77.0,32.0
81,48.0,28.0,20.0,13.0,26.0,22.0,0.0,31.0,22.0,13.0,4.0,35.0,13.0
82,141.0,76.0,65.0,36.0,80.0,61.0,0.0,90.0,61.0,36.0,15.0,88.0,53.0
83,307.0,78.0,229.0,40.0,208.0,99.0,0.0,231.0,99.0,40.0,36.0,131.0,176.0
84,436.0,89.0,347.0,88.0,293.0,143.0,1.0,301.0,144.0,88.0,47.0,175.0,261.0
85,228.0,90.0,138.0,56.0,80.0,148.0,0.0,113.0,148.0,56.0,59.0,161.0,67.0
86,355.0,132.0,223.0,77.0,95.0,260.0,0.0,208.0,260.0,77.0,70.0,227.0,128.0
87,318.0,150.0,168.0,75.0,108.0,210.0,1.0,186.0,211.0,75.0,57.0,246.0,72.0
88,277.0,107.0,170.0,58.0,126.0,151.0,1.0,171.0,152.0,58.0,48.0,175.0,102.0
89,346.0,113.0,233.0,115.0,145.0,201.0,6.0,148.0,207.0,115.0,83.0,279.0,67.0
90,227.0,112.0,115.0,76.0,98.0,129.0,1.0,123.0,130.0,76.0,28.0,176.0,51.0
91,348.0,138.0,210.0,104.0,117.0,231.0,7.0,191.0,238.0,104.0,53.0,222.0,126.0
92,418.0,149.0,269.0,169.0,177.0,241.0,0.0,195.0,241.0,169.0,54.0,249.0,169.0
93,255.0,77.0,178.0,75.0,93.0,162.0,25.0,106.0,187.0,75.0,74.0,188.0,67.0
94,342.0,123.0,219.0,132.0,162.0,180.0,2.0,148.0,182.0,132.0,62.0,159.0,183.0
95,454.0,176.0,278.0,111.0,153.0,301.0,2.0,298.0,303.0,111.0,45.0,331.0,123.0
