,Fecha,Número de vistas de página,Usuarios nuevos,Sesiones,mobile Número de vistas de página,mobile Usuarios nuevos,mobile Sesiones,desktop Número de vistas de página,desktop Usuarios nuevos,desktop Sesiones,tablet Número de vistas de página,tablet Usuarios nuevos,tablet Usuarios,tablet Número de sesiones por usuario,tablet Sesiones
0,22 ago 2018,200,23,28,23,11,13,177,12,15,0.0,0.0,0.0,0.0,0.0
1,23 ago 2018,70,29,37,29,9,14,41,20,23,0.0,0.0,0.0,0.0,0.0
2,24 ago 2018,323,20,36,28,7,13,295,13,23,0.0,0.0,0.0,0.0,0.0
3,25 ago 2018,151,10,18,44,3,7,107,7,11,0.0,0.0,0.0,0.0,0.0
4,26 ago 2018,37,12,15,18,4,5,19,8,10,0.0,0.0,0.0,0.0,0.0
5,27 ago 2018,82,21,33,41,5,13,41,16,20,0.0,0.0,0.0,0.0,0.0
6,28 ago 2018,296,29,44,39,11,18,257,18,26,0.0,0.0,0.0,0.0,0.0
7,29 ago 2018,250,67,82,84,51,59,166,16,23,0.0,0.0,0.0,0.0,0.0
8,30 ago 2018,160,37,59,39,16,31,121,21,28,0.0,0.0,0.0,0.0,0.0
9,31 ago 2018,59,18,36,30,11,23,29,7,13,0.0,0.0,0.0,0.0,0.0
10,1 sept 2018,90,19,39,32,6,15,58,13,24,0.0,0.0,0.0,0.0,0.0
11,2 sept 2018,58,24,39,36,17,24,22,7,15,0.0,0.0,0.0,0.0,0.0
12,3 sept 2018,38,15,27,10,4,8,28,11,19,0.0,0.0,0.0,0.0,0.0
13,4 sept 2018,79,19,34,22,6,10,57,13,24,0.0,0.0,0.0,0.0,0.0
14,5 sept 2018,69,19,31,29,6,10,40,13,21,0.0,0.0,0.0,0.0,0.0
15,6 sept 2018,105,32,47,60,16,25,45,16,22,0.0,0.0,0.0,0.0,0.0
16,7 sept 2018,44,14,23,17,3,7,27,11,16,0.0,0.0,0.0,0.0,0.0
17,8 sept 2018,55,14,23,28,6,9,27,8,14,0.0,0.0,0.0,0.0,0.0
18,9 sept 2018,9,2,5,6,1,3,3,1,2,0.0,0.0,0.0,0.0,0.0
19,10 sept 2018,38,13,19,16,7,8,22,6,11,0.0,0.0,0.0,0.0,0.0
20,11 sept 2018,109,12,21,13,7,9,96,5,12,0.0,0.0,0.0,0.0,0.0
21,12 sept 2018,83,21,37,40,7,16,43,14,21,0.0,0.0,0.0,0.0,0.0
22,13 sept 2018,109,20,36,38,11,16,71,9,20,0.0,0.0,0.0,0.0,0.0
23,14 sept 2018,61,15,37,33,7,16,28,8,21,0.0,0.0,0.0,0.0,0.0
24,15 sept 2018,79,26,43,51,14,28,28,12,15,0.0,0.0,0.0,0.0,0.0
25,16 sept 2018,42,5,17,27,2,12,15,3,5,0.0,0.0,0.0,0.0,0.0
26,17 sept 2018,65,20,32,29,9,14,36,11,18,0.0,0.0,0.0,0.0,0.0
27,18 sept 2018,131,38,64,42,11,17,88,26,46,1.0,1.0,0.0,0.0,1.0
28,19 sept 2018,38,12,23,17,4,10,21,8,13,0.0,0.0,0.0,0.0,0.0
29,20 sept 2018,84,19,29,19,8,10,65,11,19,0.0,0.0,0.0,0.0,0.0
30,21 sept 2018,51,9,26,23,1,14,28,8,12,0.0,0.0,0.0,0.0,0.0
31,22 sept 2018,29,9,18,7,0,5,22,9,13,0.0,0.0,0.0,0.0,0.0
32,23 sept 2018,27,7,13,21,3,9,6,4,4,0.0,0.0,0.0,0.0,0.0
33,24 sept 2018,44,14,24,9,4,7,35,10,17,0.0,0.0,0.0,0.0,0.0
34,25 sept 2018,39,13,18,9,2,5,30,11,13,0.0,0.0,0.0,0.0,0.0
35,26 sept 2018,57,19,26,25,8,12,32,11,14,0.0,0.0,0.0,0.0,0.0
36,27 sept 2018,42,10,14,34,6,6,8,4,8,0.0,0.0,0.0,0.0,0.0
37,28 sept 2018,51,16,24,29,9,13,22,7,11,0.0,0.0,0.0,0.0,0.0
38,29 sept 2018,55,15,25,36,11,15,19,4,10,0.0,0.0,0.0,0.0,0.0
39,30 sept 2018,15,5,6,9,3,3,6,2,3,0.0,0.0,0.0,0.0,0.0
40,1 oct 2018,40,15,26,17,7,13,23,8,13,0.0,0.0,0.0,0.0,0.0
41,2 oct 2018,44,18,29,24,7,13,20,11,16,0.0,0.0,0.0,0.0,0.0
42,3 oct 2018,60,16,27,20,7,9,40,9,18,0.0,0.0,0.0,0.0,0.0
43,4 oct 2018,61,7,21,15,3,9,46,4,12,0.0,0.0,0.0,0.0,0.0
44,5 oct 2018,73,16,35,28,5,16,45,11,19,0.0,0.0,0.0,0.0,0.0
45,6 oct 2018,36,11,24,14,3,10,22,8,14,0.0,0.0,0.0,0.0,0.0
46,7 oct 2018,28,11,14,16,4,7,12,7,7,0.0,0.0,0.0,0.0,0.0
47,8 oct 2018,20,6,14,10,2,6,10,4,8,0.0,0.0,0.0,0.0,0.0
