Fecha,País,Número de vistas de página
28 may 2018,Paraguay,10
28 may 2018,Brazil,16
28 may 2018,Uruguay,2
28 may 2018,Ecuador,4
28 may 2018,Bolivia,2
28 may 2018,Nicaragua,1
28 may 2018,Venezuela,2
28 may 2018,Peru,3
28 may 2018,Argentina,455
28 may 2018,Colombia,5
28 may 2018,Mexico,2
28 may 2018,United States,5
28 may 2018,China,1
29 may 2018,Argentina,937
29 may 2018,Hong Kong,1
29 may 2018,Brazil,17
29 may 2018,Spain,4
29 may 2018,Paraguay,4
29 may 2018,Taiwan,1
29 may 2018,Canada,1
29 may 2018,Japan,1
29 may 2018,Netherlands,1
29 may 2018,Peru,3
29 may 2018,Venezuela,2
29 may 2018,Mexico,15
29 may 2018,Italy,2
29 may 2018,(not set),1
29 may 2018,Colombia,5
29 may 2018,United States,11
29 may 2018,China,1
30 may 2018,China,1
30 may 2018,Venezuela,4
30 may 2018,Argentina,898
30 may 2018,Germany,1
30 may 2018,Brazil,18
30 may 2018,Greece,1
30 may 2018,Uruguay,3
30 may 2018,Mexico,4
30 may 2018,Chile,2
30 may 2018,Spain,2
30 may 2018,France,1
30 may 2018,Peru,2
30 may 2018,Hong Kong,1
30 may 2018,Paraguay,7
30 may 2018,Bolivia,1
30 may 2018,United States,31
30 may 2018,Philippines,1
30 may 2018,Colombia,22
31 may 2018,Costa Rica,1
31 may 2018,Colombia,23
31 may 2018,Denmark,1
31 may 2018,Canada,9
31 may 2018,(not set),3
31 may 2018,Argentina,1382
31 may 2018,Peru,1
31 may 2018,Mexico,2
31 may 2018,Philippines,1
31 may 2018,Paraguay,4
31 may 2018,Norway,1
31 may 2018,United States,12
31 may 2018,Uruguay,1
31 may 2018,Spain,2
31 may 2018,Ireland,1
31 may 2018,Chile,3
31 may 2018,Venezuela,8
31 may 2018,Brazil,32
31 may 2018,Bolivia,2
1 jun 2018,Bolivia,1
1 jun 2018,Colombia,4
1 jun 2018,Greece,2
1 jun 2018,United States,8
1 jun 2018,Venezuela,1
1 jun 2018,Peru,7
1 jun 2018,Nicaragua,2
1 jun 2018,Chile,2
1 jun 2018,China,1
1 jun 2018,India,2
1 jun 2018,Paraguay,20
1 jun 2018,Germany,2
1 jun 2018,Brazil,35
1 jun 2018,Japan,1
1 jun 2018,Spain,1
