Fecha,Agrupación de canales predeterminada,Número de vistas de página
28 may 2018,Social,5
28 may 2018,Organic Search,301
28 may 2018,Direct,185
28 may 2018,Referral,17
29 may 2018,Direct,381
29 may 2018,Social,58
29 may 2018,Referral,33
29 may 2018,Organic Search,535
30 may 2018,Social,45
30 may 2018,Direct,287
30 may 2018,Organic Search,631
30 may 2018,Referral,37
31 may 2018,Organic Search,613
31 may 2018,Referral,15
31 may 2018,Direct,829
31 may 2018,Social,32
1 jun 2018,Organic Search,526
1 jun 2018,Direct,548
1 jun 2018,Social,101
1 jun 2018,Referral,18
2 jun 2018,Organic Search,419
2 jun 2018,Social,241
2 jun 2018,Referral,9
2 jun 2018,Direct,221
3 jun 2018,Social,108
3 jun 2018,Direct,178
3 jun 2018,Organic Search,262
3 jun 2018,Referral,13
4 jun 2018,Direct,558
4 jun 2018,Referral,17
4 jun 2018,Social,91
4 jun 2018,Organic Search,704
5 jun 2018,Organic Search,744
5 jun 2018,Social,122
5 jun 2018,Direct,441
5 jun 2018,Referral,81
6 jun 2018,Referral,27
6 jun 2018,Direct,329
6 jun 2018,Organic Search,571
6 jun 2018,Social,59
7 jun 2018,Referral,34
7 jun 2018,Direct,354
7 jun 2018,Social,17
7 jun 2018,Organic Search,641
8 jun 2018,Referral,33
8 jun 2018,Social,53
8 jun 2018,Organic Search,537
8 jun 2018,Direct,307
9 jun 2018,Social,15
9 jun 2018,Direct,283
9 jun 2018,Organic Search,482
9 jun 2018,Referral,27
10 jun 2018,Social,28
10 jun 2018,Referral,14
10 jun 2018,Organic Search,332
10 jun 2018,Direct,145
11 jun 2018,Social,133
11 jun 2018,Organic Search,964
11 jun 2018,Direct,580
11 jun 2018,Referral,65
12 jun 2018,Social,115
12 jun 2018,Direct,932
12 jun 2018,Organic Search,1308
12 jun 2018,Referral,159
13 jun 2018,Organic Search,1517
13 jun 2018,Referral,135
13 jun 2018,Direct,565
13 jun 2018,Social,49
14 jun 2018,Direct,272
14 jun 2018,Referral,46
14 jun 2018,Organic Search,665
14 jun 2018,Social,56
15 jun 2018,Direct,195
15 jun 2018,Referral,17
15 jun 2018,Organic Search,496
15 jun 2018,Social,37
16 jun 2018,Social,19
16 jun 2018,Referral,7
16 jun 2018,Direct,89
16 jun 2018,Organic Search,147
17 jun 2018,Social,10
17 jun 2018,Referral,32
17 jun 2018,Direct,48
17 jun 2018,Organic Search,227
18 jun 2018,Referral,4
18 jun 2018,Direct,215
18 jun 2018,Social,35
18 jun 2018,Organic Search,727
19 jun 2018,Direct,181
19 jun 2018,Social,78
19 jun 2018,Organic Search,572
19 jun 2018,Referral,30
20 jun 2018,Social,14
20 jun 2018,Organic Search,396
20 jun 2018,Referral,23
20 jun 2018,Direct,125
21 jun 2018,Social,65
21 jun 2018,Referral,13
21 jun 2018,Organic Search,423
21 jun 2018,Direct,197
22 jun 2018,Organic Search,431
22 jun 2018,Social,39
22 jun 2018,Direct,250
22 jun 2018,Referral,9
23 jun 2018,Organic Search,210
23 jun 2018,Referral,5
23 jun 2018,Social,9
23 jun 2018,Direct,132
24 jun 2018,Direct,66
24 jun 2018,Organic Search,301
24 jun 2018,Referral,12
24 jun 2018,Social,9
25 jun 2018,Social,5
25 jun 2018,Direct,143
25 jun 2018,Referral,21
25 jun 2018,Organic Search,565
26 jun 2018,Organic Search,553
26 jun 2018,Social,25
26 jun 2018,Direct,180
26 jun 2018,Referral,29
27 jun 2018,Organic Search,548
27 jun 2018,Direct,224
27 jun 2018,Social,59
27 jun 2018,Referral,18
28 jun 2018,Direct,187
28 jun 2018,Social,64
28 jun 2018,Referral,13
28 jun 2018,Organic Search,559
29 jun 2018,Referral,16
29 jun 2018,Social,42
29 jun 2018,Organic Search,596
29 jun 2018,Direct,173
30 jun 2018,Referral,5
30 jun 2018,Direct,80
30 jun 2018,Social,15
30 jun 2018,Organic Search,267
1 jul 2018,Referral,48
1 jul 2018,Direct,79
1 jul 2018,Organic Search,257
1 jul 2018,Social,24
2 jul 2018,Direct,225
2 jul 2018,Referral,25
2 jul 2018,Organic Search,619
2 jul 2018,Social,192
3 jul 2018,Social,80
3 jul 2018,Referral,16
3 jul 2018,Organic Search,574
3 jul 2018,Direct,242
4 jul 2018,Direct,184
4 jul 2018,Referral,44
4 jul 2018,Social,80
4 jul 2018,Organic Search,667
5 jul 2018,Social,100
5 jul 2018,Referral,33
5 jul 2018,Direct,218
5 jul 2018,Organic Search,597
6 jul 2018,Referral,26
