Fecha,Categoría de dispositivo,Número de vistas de página
28 may 2018,mobile,167
28 may 2018,tablet,1
28 may 2018,desktop,340
29 may 2018,mobile,367
29 may 2018,desktop,638
29 may 2018,tablet,2
30 may 2018,mobile,303
30 may 2018,tablet,1
30 may 2018,desktop,696
31 may 2018,tablet,1
31 may 2018,mobile,295
31 may 2018,desktop,1193
1 jun 2018,desktop,777
1 jun 2018,mobile,414
1 jun 2018,tablet,2
2 jun 2018,mobile,492
2 jun 2018,desktop,393
2 jun 2018,tablet,5
3 jun 2018,desktop,243
3 jun 2018,mobile,311
3 jun 2018,tablet,7
4 jun 2018,mobile,400
4 jun 2018,desktop,959
4 jun 2018,tablet,11
5 jun 2018,desktop,1000
5 jun 2018,mobile,378
5 jun 2018,tablet,10
6 jun 2018,mobile,308
6 jun 2018,tablet,1
6 jun 2018,desktop,677
7 jun 2018,tablet,8
7 jun 2018,mobile,356
7 jun 2018,desktop,682
8 jun 2018,desktop,643
8 jun 2018,mobile,281
8 jun 2018,tablet,6
9 jun 2018,tablet,4
9 jun 2018,mobile,482
9 jun 2018,desktop,321
10 jun 2018,desktop,259
10 jun 2018,tablet,4
10 jun 2018,mobile,256
11 jun 2018,desktop,1207
11 jun 2018,mobile,528
11 jun 2018,tablet,7
12 jun 2018,desktop,1501
12 jun 2018,tablet,17
12 jun 2018,mobile,996
13 jun 2018,mobile,810
13 jun 2018,tablet,35
13 jun 2018,desktop,1421
14 jun 2018,desktop,724
14 jun 2018,tablet,5
14 jun 2018,mobile,310
15 jun 2018,desktop,464
15 jun 2018,mobile,277
15 jun 2018,tablet,4
16 jun 2018,mobile,137
16 jun 2018,desktop,121
16 jun 2018,tablet,4
17 jun 2018,desktop,188
17 jun 2018,mobile,129
18 jun 2018,mobile,238
18 jun 2018,tablet,12
18 jun 2018,desktop,731
19 jun 2018,desktop,586
19 jun 2018,tablet,6
19 jun 2018,mobile,269
20 jun 2018,mobile,225
20 jun 2018,desktop,332
20 jun 2018,tablet,1
21 jun 2018,mobile,205
21 jun 2018,tablet,2
21 jun 2018,desktop,491
22 jun 2018,desktop,441
22 jun 2018,mobile,287
22 jun 2018,tablet,1
23 jun 2018,desktop,203
23 jun 2018,mobile,146
23 jun 2018,tablet,7
24 jun 2018,tablet,3
24 jun 2018,mobile,198
24 jun 2018,desktop,187
25 jun 2018,tablet,3
25 jun 2018,mobile,270
25 jun 2018,desktop,461
26 jun 2018,mobile,215
26 jun 2018,tablet,7
26 jun 2018,desktop,565
27 jun 2018,desktop,585
27 jun 2018,tablet,1
27 jun 2018,mobile,263
28 jun 2018,tablet,2
28 jun 2018,mobile,316
28 jun 2018,desktop,505
29 jun 2018,desktop,557
29 jun 2018,mobile,270
30 jun 2018,mobile,146
30 jun 2018,desktop,220
30 jun 2018,tablet,1
1 jul 2018,mobile,148
1 jul 2018,desktop,253
1 jul 2018,tablet,7
2 jul 2018,mobile,411
2 jul 2018,tablet,2
2 jul 2018,desktop,648
3 jul 2018,tablet,3
3 jul 2018,mobile,339
3 jul 2018,desktop,570
4 jul 2018,mobile,381
4 jul 2018,desktop,594
5 jul 2018,mobile,328
5 jul 2018,desktop,620
6 jul 2018,mobile,330
6 jul 2018,tablet,20
6 jul 2018,desktop,493
7 jul 2018,mobile,219
7 jul 2018,tablet,7
7 jul 2018,desktop,220
8 jul 2018,desktop,197
8 jul 2018,mobile,176
9 jul 2018,mobile,293
9 jul 2018,tablet,1
9 jul 2018,desktop,204
10 jul 2018,mobile,251
10 jul 2018,desktop,391
10 jul 2018,tablet,2
11 jul 2018,desktop,274
11 jul 2018,tablet,8
11 jul 2018,mobile,243
12 jul 2018,desktop,288
12 jul 2018,tablet,2
12 jul 2018,mobile,225
13 jul 2018,mobile,186
13 jul 2018,tablet,8
13 jul 2018,desktop,211
14 jul 2018,tablet,2
14 jul 2018,mobile,249
14 jul 2018,desktop,152
15 jul 2018,tablet,6
15 jul 2018,mobile,161
15 jul 2018,desktop,133
16 jul 2018,mobile,240
16 jul 2018,tablet,7
16 jul 2018,desktop,281
17 jul 2018,mobile,218
17 jul 2018,tablet,1
17 jul 2018,desktop,296
18 jul 2018,tablet,10
18 jul 2018,mobile,200
18 jul 2018,desktop,338
19 jul 2018,desktop,272
19 jul 2018,tablet,5
19 jul 2018,mobile,229
20 jul 2018,tablet,11
20 jul 2018,desktop,181
20 jul 2018,mobile,155
21 jul 2018,desktop,118
21 jul 2018,mobile,160
21 jul 2018,tablet,1
22 jul 2018,tablet,2
22 jul 2018,desktop,161
22 jul 2018,mobile,213
23 jul 2018,tablet,1
23 jul 2018,mobile,333
23 jul 2018,desktop,540
24 jul 2018,mobile,322
24 jul 2018,desktop,652
24 jul 2018,tablet,13
25 jul 2018,desktop,574
25 jul 2018,tablet,2
25 jul 2018,mobile,299
26 jul 2018,desktop,593
26 jul 2018,mobile,398
26 jul 2018,tablet,8
27 jul 2018,mobile,381
27 jul 2018,desktop,754
27 jul 2018,tablet,6
28 jul 2018,desktop,193
28 jul 2018,mobile,259
28 jul 2018,tablet,1
29 jul 2018,mobile,245
29 jul 2018,desktop,152
29 jul 2018,tablet,3
30 jul 2018,tablet,11
30 jul 2018,desktop,808
30 jul 2018,mobile,721
31 jul 2018,mobile,464
31 jul 2018,desktop,781
31 jul 2018,tablet,2
1 ago 2018,desktop,530
1 ago 2018,mobile,468
1 ago 2018,tablet,18
2 ago 2018,desktop,695
2 ago 2018,mobile,456
2 ago 2018,tablet,8
3 ago 2018,desktop,635
3 ago 2018,mobile,286
3 ago 2018,tablet,1
4 ago 2018,tablet,3
4 ago 2018,mobile,239
4 ago 2018,desktop,166
5 ago 2018,tablet,3
5 ago 2018,mobile,271
5 ago 2018,desktop,174
6 ago 2018,mobile,363
6 ago 2018,tablet,3
6 ago 2018,desktop,730
7 ago 2018,mobile,468
7 ago 2018,tablet,12
7 ago 2018,desktop,796
8 ago 2018,mobile,364
8 ago 2018,tablet,6
8 ago 2018,desktop,709
9 ago 2018,tablet,1
9 ago 2018,desktop,679
9 ago 2018,mobile,298
10 ago 2018,mobile,259
10 ago 2018,desktop,533
10 ago 2018,tablet,19
11 ago 2018,desktop,217
11 ago 2018,mobile,185
11 ago 2018,tablet,5
12 ago 2018,mobile,204
12 ago 2018,tablet,1
12 ago 2018,desktop,243
13 ago 2018,tablet,11
13 ago 2018,mobile,414
13 ago 2018,desktop,907
14 ago 2018,tablet,6
14 ago 2018,mobile,367
14 ago 2018,desktop,858
15 ago 2018,mobile,392
15 ago 2018,desktop,664
15 ago 2018,tablet,2
16 ago 2018,tablet,2
16 ago 2018,mobile,936
16 ago 2018,desktop,714
17 ago 2018,tablet,1
17 ago 2018,desktop,416
17 ago 2018,mobile,441
18 ago 2018,desktop,156
18 ago 2018,tablet,5
18 ago 2018,mobile,212
19 ago 2018,tablet,4
19 ago 2018,mobile,246
19 ago 2018,desktop,211
20 ago 2018,tablet,8
20 ago 2018,desktop,359
20 ago 2018,mobile,342
21 ago 2018,tablet,4
21 ago 2018,mobile,525
21 ago 2018,desktop,771
22 ago 2018,desktop,673
22 ago 2018,mobile,571
22 ago 2018,tablet,11
23 ago 2018,mobile,457
23 ago 2018,desktop,760
24 ago 2018,desktop,679
24 ago 2018,mobile,478
24 ago 2018,tablet,10
25 ago 2018,desktop,254
25 ago 2018,tablet,5
25 ago 2018,mobile,375
26 ago 2018,tablet,1
26 ago 2018,mobile,309
26 ago 2018,desktop,254
27 ago 2018,desktop,816
27 ago 2018,mobile,473
27 ago 2018,tablet,7
28 ago 2018,mobile,489
28 ago 2018,desktop,851
28 ago 2018,tablet,7
29 ago 2018,tablet,3
29 ago 2018,desktop,587
29 ago 2018,mobile,405
30 ago 2018,desktop,599
30 ago 2018,mobile,352
30 ago 2018,tablet,1
31 ago 2018,tablet,2
31 ago 2018,desktop,551
31 ago 2018,mobile,479
1 sept 2018,tablet,4
1 sept 2018,mobile,222
1 sept 2018,desktop,217
2 sept 2018,tablet,10
2 sept 2018,mobile,302
2 sept 2018,desktop,244
3 sept 2018,desktop,671
3 sept 2018,mobile,389
3 sept 2018,tablet,20
4 sept 2018,desktop,557
4 sept 2018,mobile,413
4 sept 2018,tablet,10
5 sept 2018,mobile,405
5 sept 2018,desktop,556
5 sept 2018,tablet,1
6 sept 2018,mobile,361
6 sept 2018,desktop,578
6 sept 2018,tablet,7
7 sept 2018,mobile,655
7 sept 2018,desktop,534
7 sept 2018,tablet,9
8 sept 2018,tablet,1
8 sept 2018,mobile,302
8 sept 2018,desktop,133
9 sept 2018,desktop,64
9 sept 2018,mobile,65
9 sept 2018,tablet,7
10 sept 2018,tablet,10
10 sept 2018,mobile,321
10 sept 2018,desktop,670
11 sept 2018,mobile,392
11 sept 2018,tablet,1
11 sept 2018,desktop,838
12 sept 2018,mobile,390
12 sept 2018,desktop,612
12 sept 2018,tablet,8
13 sept 2018,desktop,515
13 sept 2018,tablet,2
13 sept 2018,mobile,332
14 sept 2018,desktop,527
14 sept 2018,mobile,321
14 sept 2018,tablet,2
15 sept 2018,mobile,247
15 sept 2018,desktop,184
15 sept 2018,tablet,4
16 sept 2018,desktop,152
16 sept 2018,tablet,4
16 sept 2018,mobile,284
17 sept 2018,tablet,1
17 sept 2018,desktop,674
17 sept 2018,mobile,489
18 sept 2018,tablet,3
18 sept 2018,desktop,654
18 sept 2018,mobile,621
19 sept 2018,tablet,1
19 sept 2018,mobile,542
19 sept 2018,desktop,553
20 sept 2018,desktop,489
20 sept 2018,mobile,395
20 sept 2018,tablet,2
21 sept 2018,desktop,392
21 sept 2018,mobile,439
21 sept 2018,tablet,2
22 sept 2018,desktop,128
22 sept 2018,mobile,362
22 sept 2018,tablet,4
23 sept 2018,desktop,178
23 sept 2018,mobile,234
23 sept 2018,tablet,4
24 sept 2018,mobile,441
24 sept 2018,tablet,6
24 sept 2018,desktop,531
25 sept 2018,tablet,4
25 sept 2018,desktop,529
25 sept 2018,mobile,358
26 sept 2018,mobile,374
26 sept 2018,tablet,3
26 sept 2018,desktop,683
27 sept 2018,tablet,5
27 sept 2018,mobile,390
27 sept 2018,desktop,527
28 sept 2018,tablet,1
28 sept 2018,mobile,362
28 sept 2018,desktop,412
29 sept 2018,desktop,114
29 sept 2018,tablet,3
29 sept 2018,mobile,204
30 sept 2018,desktop,281
30 sept 2018,tablet,10
30 sept 2018,mobile,265
1 oct 2018,mobile,495
1 oct 2018,tablet,4
1 oct 2018,desktop,674
2 oct 2018,mobile,476
2 oct 2018,tablet,3
2 oct 2018,desktop,563
3 oct 2018,tablet,2
3 oct 2018,desktop,714
3 oct 2018,mobile,428
4 oct 2018,mobile,361
4 oct 2018,desktop,545
5 oct 2018,desktop,438
5 oct 2018,mobile,256
5 oct 2018,tablet,6
6 oct 2018,desktop,210
6 oct 2018,mobile,259
7 oct 2018,desktop,263
7 oct 2018,mobile,286
8 oct 2018,desktop,703
8 oct 2018,mobile,455
9 oct 2018,desktop,623
9 oct 2018,tablet,2
9 oct 2018,mobile,417
10 oct 2018,mobile,596
10 oct 2018,desktop,616
10 oct 2018,tablet,6
11 oct 2018,mobile,406
11 oct 2018,desktop,616
11 oct 2018,tablet,6
12 oct 2018,desktop,427
12 oct 2018,tablet,5
