Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones
28 may 2018,508,247,247,1.0890688259109311,269
29 may 2018,1007,455,485,1.1381443298969072,552
30 may 2018,1000,399,443,1.1218961625282167,497
31 may 2018,1489,369,440,1.1181818181818182,492
1 jun 2018,1193,398,465,1.1397849462365592,530
2 jun 2018,890,414,461,1.0954446854663775,505
3 jun 2018,561,275,311,1.0771704180064308,335
4 jun 2018,1370,459,550,1.1127272727272728,612
5 jun 2018,1388,445,548,1.1715328467153285,642
6 jun 2018,986,334,416,1.1105769230769231,462
7 jun 2018,1046,345,438,1.1506849315068493,504
8 jun 2018,930,297,404,1.141089108910891,461
9 jun 2018,807,284,338,1.1272189349112427,381
10 jun 2018,519,214,272,1.0698529411764706,291
11 jun 2018,1742,567,736,1.153532608695652,849
12 jun 2018,2514,884,1074,1.196461824953445,1285
13 jun 2018,2266,778,1079,1.2029657089898054,1298
14 jun 2018,1039,311,474,1.1181434599156117,530
15 jun 2018,745,249,362,1.1243093922651934,407
16 jun 2018,262,120,159,1.0314465408805031,164
17 jun 2018,317,119,154,1.0584415584415585,163
18 jun 2018,981,272,375,1.1466666666666667,430
19 jun 2018,861,295,392,1.1224489795918366,440
20 jun 2018,558,201,249,1.0963855421686748,273
21 jun 2018,698,223,309,1.087378640776699,336
22 jun 2018,729,273,355,1.0929577464788733,388
23 jun 2018,356,141,181,1.0773480662983426,195
24 jun 2018,388,178,213,1.056338028169014,225
25 jun 2018,734,290,354,1.0480225988700564,371
26 jun 2018,787,257,339,1.1504424778761062,390
27 jun 2018,849,280,359,1.0919220055710306,392
28 jun 2018,823,286,374,1.1042780748663101,413
29 jun 2018,827,286,380,1.1078947368421053,421
30 jun 2018,367,130,168,1.0773809523809523,181
1 jul 2018,408,174,215,1.0511627906976744,226
2 jul 2018,1061,378,501,1.1117764471057885,557
3 jul 2018,912,341,436,1.1192660550458715,488
4 jul 2018,975,348,434,1.1013824884792627,478
5 jul 2018,948,323,437,1.1281464530892449,493
6 jul 2018,843,250,341,1.155425219941349,394
7 jul 2018,446,152,196,1.0918367346938775,214
8 jul 2018,373,150,192,1.0572916666666667,203
9 jul 2018,498,208,253,1.098814229249012,278
10 jul 2018,644,241,302,1.109271523178808,335
11 jul 2018,525,223,273,1.0952380952380953,299
12 jul 2018,515,210,257,1.0544747081712063,271
13 jul 2018,405,156,210,1.0476190476190477,220
14 jul 2018,403,125,160,1.1,176
15 jul 2018,300,119,153,1.0980392156862746,168
16 jul 2018,528,215,284,1.1126760563380282,316
17 jul 2018,515,194,243,1.0946502057613168,266
18 jul 2018,548,200,255,1.0705882352941176,273
19 jul 2018,506,191,255,1.0588235294117647,270
20 jul 2018,347,132,174,1.0977011494252873,191
21 jul 2018,279,110,141,1.1418439716312057,161
22 jul 2018,376,146,195,1.0564102564102564,206
23 jul 2018,874,315,415,1.091566265060241,453
24 jul 2018,987,291,413,1.1476997578692494,474
25 jul 2018,875,255,360,1.1083333333333334,399
26 jul 2018,999,334,429,1.121212121212121,481
27 jul 2018,1141,375,492,1.1077235772357723,545
28 jul 2018,453,194,242,1.0495867768595042,254
29 jul 2018,400,156,200,1.08,216
30 jul 2018,1540,636,808,1.0952970297029703,885
31 jul 2018,1247,466,599,1.0901502504173624,653
1 ago 2018,1016,380,511,1.0978473581213308,561
2 ago 2018,1159,401,503,1.1113320079522864,559
3 ago 2018,922,262,364,1.1263736263736264,410
4 ago 2018,408,163,215,1.0744186046511628,231
5 ago 2018,448,156,206,1.0485436893203883,216
6 ago 2018,1096,313,435,1.1448275862068966,498
7 ago 2018,1276,373,514,1.132295719844358,582
8 ago 2018,1079,306,459,1.1045751633986929,507
9 ago 2018,978,291,426,1.136150234741784,484
10 ago 2018,811,251,360,1.136111111111111,409
11 ago 2018,407,165,210,1.0809523809523809,227
12 ago 2018,448,168,225,1.0622222222222222,239
13 ago 2018,1332,398,542,1.1291512915129152,612
14 ago 2018,1231,361,500,1.108,554
15 ago 2018,1058,358,487,1.1232032854209446,547
16 ago 2018,1652,734,947,1.0897571277719114,1032
17 ago 2018,858,371,511,1.066536203522505,545
18 ago 2018,373,181,229,1.017467248908297,233
19 ago 2018,461,189,247,1.0607287449392713,262
20 ago 2018,709,298,384,1.0598958333333333,407
21 ago 2018,1300,417,608,1.1151315789473684,678
22 ago 2018,1255,453,593,1.1129848229342327,660
23 ago 2018,1217,394,535,1.1177570093457945,598
24 ago 2018,1167,369,529,1.0869565217391304,575
25 ago 2018,634,263,352,1.0596590909090908,373
26 ago 2018,564,204,281,1.0498220640569396,295
27 ago 2018,1296,394,573,1.1343804537521816,650
28 ago 2018,1347,384,544,1.125,612
29 ago 2018,995,330,462,1.0865800865800865,502
30 ago 2018,952,292,424,1.1297169811320755,479
31 ago 2018,1032,317,448,1.0825892857142858,485
1 sept 2018,443,183,247,1.0728744939271255,265
2 sept 2018,556,207,277,1.0902527075812274,302
3 sept 2018,1080,336,477,1.119496855345912,534
4 sept 2018,980,337,466,1.1072961373390557,516
5 sept 2018,962,312,438,1.1004566210045663,482
6 sept 2018,946,312,450,1.1222222222222222,505
7 sept 2018,1198,507,671,1.0819672131147542,726
8 sept 2018,436,193,266,1.0977443609022557,292
9 sept 2018,136,57,64,1.015625,65
10 sept 2018,1001,321,436,1.1077981651376148,483
11 sept 2018,1231,316,446,1.1031390134529149,492
12 sept 2018,1010,335,458,1.091703056768559,500
13 sept 2018,849,281,405,1.0864197530864197,440
14 sept 2018,850,236,379,1.1319261213720317,429
15 sept 2018,435,166,227,1.118942731277533,254
16 sept 2018,440,192,242,1.078512396694215,261
17 sept 2018,1164,449,629,1.0731319554848966,675
18 sept 2018,1278,572,759,1.0909090909090908,828
19 sept 2018,1096,423,568,1.068661971830986,607
20 sept 2018,886,341,461,1.0715835140997831,494
21 sept 2018,833,321,423,1.0732860520094563,454
22 sept 2018,494,271,334,1.0748502994011977,359
23 sept 2018,416,191,237,1.0675105485232068,253
24 sept 2018,978,360,493,1.0872210953346857,536
25 sept 2018,891,343,431,1.0835266821345708,467
26 sept 2018,1060,328,479,1.1064718162839249,530
27 sept 2018,922,282,442,1.1153846153846154,493
28 sept 2018,775,266,382,1.0890052356020943,416
29 sept 2018,321,148,194,1.056701030927835,205
30 sept 2018,556,191,255,1.0509803921568628,268
1 oct 2018,1173,344,497,1.1207243460764587,557
2 oct 2018,1042,346,476,1.0987394957983194,523
3 oct 2018,1144,335,500,1.086,543
4 oct 2018,906,312,429,1.0909090909090908,468
5 oct 2018,700,242,354,1.1073446327683616,392
6 oct 2018,469,155,214,1.0841121495327102,232
7 oct 2018,549,192,260,1.0692307692307692,278
8 oct 2018,1158,403,549,1.092896174863388,600
9 oct 2018,1042,312,442,1.083710407239819,479
10 oct 2018,1218,422,592,1.070945945945946,634
11 oct 2018,1028,333,464,1.0991379310344827,510
