Fecha,Sistema operativo,Número de vistas de página
8 oct 2018,Linux,400
8 oct 2018,Android,48
8 oct 2018,iOS,1
8 oct 2018,Windows,89
8 oct 2018,Macintosh,3
9 oct 2018,iOS,7
9 oct 2018,Windows,99
9 oct 2018,Linux,112
9 oct 2018,Android,8
10 oct 2018,Android,17
10 oct 2018,Windows,59
10 oct 2018,Linux,60
11 oct 2018,Linux,116
11 oct 2018,Android,14
11 oct 2018,Windows,94
11 oct 2018,Macintosh,5
12 oct 2018,Android,20
12 oct 2018,Windows,37
12 oct 2018,Linux,3
13 oct 2018,Android,31
13 oct 2018,Windows,52
14 oct 2018,Windows,11
14 oct 2018,Android,7
14 oct 2018,iOS,1
15 oct 2018,Macintosh,10
15 oct 2018,Linux,1
15 oct 2018,Android,4
15 oct 2018,Windows,14
15 oct 2018,iOS,3
16 oct 2018,Windows,88
16 oct 2018,iOS,1
16 oct 2018,Linux,74
16 oct 2018,Android,33
17 oct 2018,Android,4
17 oct 2018,iOS,1
17 oct 2018,Windows,136
17 oct 2018,Linux,96
18 oct 2018,Android,115
18 oct 2018,iOS,5
18 oct 2018,Linux,63
18 oct 2018,Windows,91
19 oct 2018,Android,36
19 oct 2018,Windows,64
19 oct 2018,iOS,13
19 oct 2018,Linux,132
20 oct 2018,Windows,32
20 oct 2018,iOS,1
20 oct 2018,Android,15
21 oct 2018,Android,11
21 oct 2018,iOS,1
21 oct 2018,Windows,12
22 oct 2018,Android,25
22 oct 2018,Linux,172
22 oct 2018,Windows,73
23 oct 2018,Android,10
23 oct 2018,Windows,52
24 oct 2018,Android,2
24 oct 2018,Windows,48
25 oct 2018,Linux,3
25 oct 2018,Android,17
25 oct 2018,Macintosh,3
25 oct 2018,Windows,84
26 oct 2018,Macintosh,3
26 oct 2018,Android,19
26 oct 2018,Windows,50
26 oct 2018,Linux,41
27 oct 2018,Android,21
27 oct 2018,Windows,8
28 oct 2018,Android,27
28 oct 2018,Windows,5
29 oct 2018,Windows,79
29 oct 2018,Linux,45
29 oct 2018,Android,8
29 oct 2018,iOS,1
30 oct 2018,Android,3
30 oct 2018,Linux,44
30 oct 2018,Windows,137
30 oct 2018,iOS,7
31 oct 2018,Android,36
31 oct 2018,Windows,235
31 oct 2018,Linux,58
31 oct 2018,iOS,1
31 oct 2018,Macintosh,7
1 nov 2018,Linux,14
1 nov 2018,Windows,577
1 nov 2018,Android,29
2 nov 2018,iOS,4
2 nov 2018,Macintosh,1
2 nov 2018,Windows,125
2 nov 2018,Linux,19
2 nov 2018,Android,30
3 nov 2018,Android,6
3 nov 2018,Macintosh,1
3 nov 2018,Windows,10
4 nov 2018,Windows,7
5 nov 2018,Windows,189
5 nov 2018,Android,56
5 nov 2018,Linux,56
6 nov 2018,Linux,193
6 nov 2018,Windows,227
6 nov 2018,Android,4
7 nov 2018,Android,96
7 nov 2018,iOS,2
7 nov 2018,Windows,177
7 nov 2018,Linux,109
8 nov 2018,Linux,32
8 nov 2018,Windows,224
8 nov 2018,Android,34
9 nov 2018,Android,7
9 nov 2018,iOS,1
9 nov 2018,Linux,166
9 nov 2018,Windows,106
10 nov 2018,Windows,75
10 nov 2018,Android,11
10 nov 2018,iOS,1
11 nov 2018,Android,1
11 nov 2018,Windows,125
12 nov 2018,Macintosh,14
12 nov 2018,Windows,61
12 nov 2018,iOS,9
12 nov 2018,Android,9
12 nov 2018,Linux,7
13 nov 2018,Android,7
13 nov 2018,Linux,2
13 nov 2018,Windows,156
14 nov 2018,Windows,181
14 nov 2018,Android,33
15 nov 2018,Android,35
15 nov 2018,Windows,226
15 nov 2018,Linux,10
16 nov 2018,Android,3
16 nov 2018,Linux,23
16 nov 2018,Windows,146
17 nov 2018,Android,18
17 nov 2018,iOS,2
17 nov 2018,Windows,6
18 nov 2018,Windows,25
18 nov 2018,Android,3
19 nov 2018,Android,1
19 nov 2018,Windows,1
20 nov 2018,Android,15
20 nov 2018,Windows,265
20 nov 2018,Macintosh,12
20 nov 2018,Linux,73
21 nov 2018,Android,13
21 nov 2018,Windows,48
22 nov 2018,Linux,25
22 nov 2018,Windows,29
22 nov 2018,Android,3
23 nov 2018,Android,6
23 nov 2018,Macintosh,1
23 nov 2018,Windows,23
23 nov 2018,Linux,1
24 nov 2018,Android,15
24 nov 2018,Windows,37
25 nov 2018,Windows,5
25 nov 2018,Android,2
26 nov 2018,Windows,47
26 nov 2018,Android,18
27 nov 2018,Linux,58
27 nov 2018,Android,3
27 nov 2018,Windows,153
28 nov 2018,Windows,224
28 nov 2018,Android,28
28 nov 2018,Linux,6
29 nov 2018,Linux,1
29 nov 2018,Windows,139
29 nov 2018,Android,11
29 nov 2018,iOS,2
30 nov 2018,Linux,10
30 nov 2018,Android,18
30 nov 2018,Windows,7
1 dic 2018,Android,1
1 dic 2018,iOS,2
1 dic 2018,Windows,28
2 dic 2018,iOS,1
2 dic 2018,Windows,35
2 dic 2018,Android,6
2 dic 2018,Linux,1
3 dic 2018,Windows,101
3 dic 2018,Linux,7
3 dic 2018,Android,18
4 dic 2018,Android,2
4 dic 2018,Windows,46
4 dic 2018,Linux,8
5 dic 2018,Windows,27
5 dic 2018,iOS,8
5 dic 2018,Linux,4
5 dic 2018,Android,73
6 dic 2018,iOS,5
6 dic 2018,Android,10
6 dic 2018,Linux,14
6 dic 2018,Windows,60
7 dic 2018,Android,78
7 dic 2018,Windows,156
7 dic 2018,iOS,1
7 dic 2018,Linux,38
8 dic 2018,Macintosh,1
8 dic 2018,Windows,5
8 dic 2018,Android,18
8 dic 2018,iOS,14
9 dic 2018,Windows,1
9 dic 2018,Android,7
9 dic 2018,Linux,1
10 dic 2018,Windows,37
10 dic 2018,Android,20
10 dic 2018,iOS,1
11 dic 2018,Windows,60
11 dic 2018,Android,32
12 dic 2018,Windows,23
12 dic 2018,Android,23
13 dic 2018,Macintosh,6
13 dic 2018,Android,65
13 dic 2018,Windows,20
13 dic 2018,iOS,1
14 dic 2018,Macintosh,15
14 dic 2018,Linux,1
14 dic 2018,Windows,60
14 dic 2018,Android,8
15 dic 2018,Linux,3
16 dic 2018,Windows,56
16 dic 2018,Android,1
17 dic 2018,Android,16
17 dic 2018,Macintosh,1
17 dic 2018,Linux,5
17 dic 2018,Windows,48
17 dic 2018,iOS,2
18 dic 2018,Windows,20
18 dic 2018,Linux,1
18 dic 2018,Android,4
19 dic 2018,Windows,44
19 dic 2018,Macintosh,14
19 dic 2018,Android,2
20 dic 2018,Android,3
20 dic 2018,Windows,69
21 dic 2018,Windows,16
22 dic 2018,Android,11
22 dic 2018,Windows,13
23 dic 2018,Windows,5
23 dic 2018,Windows Phone,33
23 dic 2018,Android,2
24 dic 2018,Windows,1
25 dic 2018,iOS,1
25 dic 2018,Windows,7
25 dic 2018,Android,1
26 dic 2018,Windows,7
26 dic 2018,Linux,1
26 dic 2018,iOS,1
26 dic 2018,Android,1
27 dic 2018,Windows,6
27 dic 2018,Android,38
28 dic 2018,Windows,2
28 dic 2018,Android,10
29 dic 2018,iOS,7
29 dic 2018,Android,1
29 dic 2018,Windows,2
30 dic 2018,Windows,1
30 dic 2018,Android,25
31 dic 2018,Android,1
1 ene 2019,Windows,11
2 ene 2019,Android,1
2 ene 2019,Windows,7
2 ene 2019,Linux,1
3 ene 2019,Android,2
3 ene 2019,iOS,1
4 ene 2019,Windows,7
4 ene 2019,Android,2
4 ene 2019,iOS,1
5 ene 2019,Android,1
5 ene 2019,Windows,3
6 ene 2019,Android,7
6 ene 2019,Windows,1
7 ene 2019,Windows,5
8 ene 2019,Android,2
8 ene 2019,Macintosh,1
8 ene 2019,Windows,23
9 ene 2019,Macintosh,7
9 ene 2019,Windows,3
10 ene 2019,Macintosh,10
10 ene 2019,iOS,1
10 ene 2019,Windows,5
11 ene 2019,Macintosh,2
11 ene 2019,Android,19
11 ene 2019,Windows,17
12 ene 2019,Windows,4
12 ene 2019,Android,4
13 ene 2019,Android,1
13 ene 2019,Windows,10
14 ene 2019,Windows,1
14 ene 2019,Android,5
15 ene 2019,Windows,6
16 ene 2019,Windows Phone,24
16 ene 2019,Windows,15
16 ene 2019,Macintosh,5
17 ene 2019,Windows,50
17 ene 2019,Android,6
18 ene 2019,Android,5
18 ene 2019,Windows,31
18 ene 2019,iOS,1
19 ene 2019,Windows,15
19 ene 2019,iOS,2
19 ene 2019,Android,16
19 ene 2019,Windows Phone,1
20 ene 2019,Windows,6
20 ene 2019,Android,16
20 ene 2019,Macintosh,11
21 ene 2019,Windows,21
22 ene 2019,Windows,7
22 ene 2019,Macintosh,1
23 ene 2019,Android,2
23 ene 2019,Windows,6
24 ene 2019,Windows,46
24 ene 2019,Android,31
25 ene 2019,Macintosh,1
25 ene 2019,Windows,38
25 ene 2019,Android,48
26 ene 2019,Windows,3
26 ene 2019,Android,13
27 ene 2019,Windows,1
28 ene 2019,Windows,15
28 ene 2019,Android,8
29 ene 2019,Windows,60
30 ene 2019,Android,16
30 ene 2019,Windows,15
31 ene 2019,Android,19
31 ene 2019,Windows,40
1 feb 2019,Windows,16
1 feb 2019,Android,1
2 feb 2019,Windows,76
3 feb 2019,Windows,1
3 feb 2019,Android,33
4 feb 2019,Windows,10
4 feb 2019,Android,6
5 feb 2019,Windows,5
5 feb 2019,Android,3
6 feb 2019,Windows,48
6 feb 2019,Android,9
7 feb 2019,Android,4
7 feb 2019,Windows,17
7 feb 2019,Linux,1
8 feb 2019,Android,1
8 feb 2019,Macintosh,1
8 feb 2019,Linux,3
8 feb 2019,Windows,15
9 feb 2019,Windows,12
9 feb 2019,Android,6
9 feb 2019,iOS,1
10 feb 2019,Android,2
10 feb 2019,Windows,2
11 feb 2019,iOS,21
11 feb 2019,Android,216
11 feb 2019,Linux,13
11 feb 2019,Windows,44
12 feb 2019,Macintosh,5
12 feb 2019,Android,85
12 feb 2019,Windows,86
13 feb 2019,Android,92
13 feb 2019,Linux,3
13 feb 2019,Windows,126
13 feb 2019,iOS,2
14 feb 2019,Windows,27
14 feb 2019,Linux,1
14 feb 2019,Android,27
15 feb 2019,iOS,1
15 feb 2019,Android,63
15 feb 2019,Windows,9
16 feb 2019,Windows,17
16 feb 2019,Android,12
16 feb 2019,iOS,1
17 feb 2019,Android,28
18 feb 2019,Linux,5
18 feb 2019,iOS,1
18 feb 2019,Macintosh,2
18 feb 2019,Windows,30
18 feb 2019,Android,9
19 feb 2019,Windows,51
19 feb 2019,Android,4
19 feb 2019,iOS,2
20 feb 2019,Windows,52
20 feb 2019,Android,54
20 feb 2019,iOS,4
21 feb 2019,Android,13
21 feb 2019,Windows,84
22 feb 2019,Android,7
22 feb 2019,Windows,66
22 feb 2019,Linux,6
23 feb 2019,Windows,26
23 feb 2019,Android,7
24 feb 2019,iOS,1
24 feb 2019,Windows,72
24 feb 2019,Android,4
25 feb 2019,Windows,46
25 feb 2019,Android,12
25 feb 2019,iOS,1
25 feb 2019,Linux,1
26 feb 2019,(not set),1
26 feb 2019,Macintosh,16
26 feb 2019,Windows,42
26 feb 2019,Android,18
27 feb 2019,Linux,37
27 feb 2019,Android,7
27 feb 2019,Windows,51
28 feb 2019,Windows,57
28 feb 2019,Android,23
1 mar 2019,Linux,4
1 mar 2019,Windows,12
1 mar 2019,Android,33
2 mar 2019,Android,4
3 mar 2019,Windows,13
3 mar 2019,Android,2
4 mar 2019,Android,1
4 mar 2019,Windows,20
5 mar 2019,iOS,1
5 mar 2019,Windows,32
5 mar 2019,Android,3
6 mar 2019,Windows,41
6 mar 2019,iOS,2
6 mar 2019,Android,7
7 mar 2019,Linux,2
7 mar 2019,Windows,39
7 mar 2019,Android,30
8 mar 2019,Windows,107
8 mar 2019,Android,7
9 mar 2019,Windows,55
9 mar 2019,iOS,1
9 mar 2019,Android,9
10 mar 2019,Android,14
10 mar 2019,Windows,44
11 mar 2019,Android,81
11 mar 2019,Linux,2
11 mar 2019,Windows,79
11 mar 2019,iOS,3
12 mar 2019,Windows,42
12 mar 2019,iOS,3
12 mar 2019,Macintosh,3
12 mar 2019,Android,98
13 mar 2019,iOS,1
13 mar 2019,Macintosh,3
13 mar 2019,Android,13
13 mar 2019,Windows,86
14 mar 2019,Windows,75
