Fecha,Categoría de dispositivo,Número de vistas de página
8 oct 2018,desktop,492
8 oct 2018,mobile,49
9 oct 2018,tablet,7
9 oct 2018,desktop,211
9 oct 2018,mobile,8
10 oct 2018,mobile,17
10 oct 2018,desktop,119
11 oct 2018,desktop,215
11 oct 2018,mobile,14
12 oct 2018,mobile,20
12 oct 2018,desktop,40
13 oct 2018,desktop,52
13 oct 2018,mobile,31
14 oct 2018,mobile,8
14 oct 2018,desktop,11
15 oct 2018,mobile,4
15 oct 2018,desktop,25
15 oct 2018,tablet,3
16 oct 2018,desktop,162
16 oct 2018,mobile,34
17 oct 2018,desktop,232
17 oct 2018,mobile,4
17 oct 2018,tablet,1
18 oct 2018,mobile,120
18 oct 2018,desktop,154
19 oct 2018,desktop,196
19 oct 2018,mobile,49
20 oct 2018,tablet,1
20 oct 2018,desktop,32
20 oct 2018,mobile,15
21 oct 2018,mobile,12
21 oct 2018,desktop,12
22 oct 2018,desktop,245
22 oct 2018,mobile,25
23 oct 2018,desktop,52
23 oct 2018,mobile,10
24 oct 2018,desktop,48
24 oct 2018,mobile,2
25 oct 2018,mobile,17
25 oct 2018,desktop,90
26 oct 2018,desktop,94
26 oct 2018,mobile,19
27 oct 2018,desktop,8
27 oct 2018,mobile,21
28 oct 2018,desktop,5
28 oct 2018,mobile,27
29 oct 2018,desktop,124
29 oct 2018,mobile,9
30 oct 2018,mobile,10
30 oct 2018,desktop,181
31 oct 2018,mobile,37
31 oct 2018,desktop,300
1 nov 2018,desktop,591
1 nov 2018,mobile,29
2 nov 2018,desktop,145
2 nov 2018,mobile,34
3 nov 2018,mobile,6
3 nov 2018,desktop,11
4 nov 2018,desktop,7
5 nov 2018,mobile,56
5 nov 2018,desktop,245
6 nov 2018,desktop,420
6 nov 2018,mobile,4
7 nov 2018,mobile,98
7 nov 2018,desktop,286
8 nov 2018,desktop,256
8 nov 2018,mobile,34
9 nov 2018,mobile,8
9 nov 2018,desktop,272
10 nov 2018,tablet,1
10 nov 2018,mobile,11
10 nov 2018,desktop,75
11 nov 2018,mobile,1
11 nov 2018,desktop,125
12 nov 2018,desktop,82
12 nov 2018,mobile,18
13 nov 2018,mobile,7
13 nov 2018,desktop,158
14 nov 2018,mobile,33
14 nov 2018,tablet,1
14 nov 2018,desktop,180
15 nov 2018,mobile,35
15 nov 2018,desktop,236
16 nov 2018,mobile,3
16 nov 2018,desktop,169
17 nov 2018,desktop,6
17 nov 2018,mobile,20
18 nov 2018,mobile,4
18 nov 2018,desktop,24
19 nov 2018,mobile,1
19 nov 2018,desktop,1
20 nov 2018,desktop,350
20 nov 2018,mobile,15
21 nov 2018,desktop,48
21 nov 2018,mobile,13
22 nov 2018,mobile,3
22 nov 2018,desktop,54
23 nov 2018,desktop,25
23 nov 2018,mobile,6
24 nov 2018,desktop,37
24 nov 2018,mobile,15
25 nov 2018,mobile,2
25 nov 2018,desktop,5
26 nov 2018,mobile,10
26 nov 2018,desktop,47
26 nov 2018,tablet,8
27 nov 2018,mobile,3
27 nov 2018,desktop,211
28 nov 2018,desktop,230
28 nov 2018,mobile,28
29 nov 2018,mobile,13
29 nov 2018,desktop,140
30 nov 2018,desktop,17
30 nov 2018,mobile,18
1 dic 2018,mobile,3
1 dic 2018,desktop,28
2 dic 2018,desktop,36
2 dic 2018,mobile,7
