Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones
8 oct 2018,541,22,22,1.6363636363636365,36
9 oct 2018,226,23,26,1.3461538461538463,35
10 oct 2018,136,18,24,1.4583333333333333,35
11 oct 2018,229,11,16,1.8125,29
12 oct 2018,60,10,13,1.4615384615384615,19
13 oct 2018,83,8,11,1.1818181818181819,13
14 oct 2018,19,5,7,1,7
15 oct 2018,32,9,10,1,10
16 oct 2018,196,11,20,1.6,32
17 oct 2018,237,8,14,1.5,21
18 oct 2018,274,40,50,1.38,69
19 oct 2018,245,15,25,1.36,34
20 oct 2018,48,5,7,1.2857142857142858,9
21 oct 2018,24,5,8,1.125,9
22 oct 2018,270,16,22,1.2272727272727273,27
23 oct 2018,62,10,12,1.0833333333333333,13
24 oct 2018,50,10,11,1.2727272727272727,14
25 oct 2018,107,12,18,1.1111111111111112,20
26 oct 2018,113,11,17,1.411764705882353,24
27 oct 2018,29,4,6,1,6
28 oct 2018,32,6,8,1.375,11
29 oct 2018,133,12,18,1.3333333333333333,24
30 oct 2018,191,17,25,1.2,30
31 oct 2018,337,14,18,1.3333333333333333,24
1 nov 2018,620,9,16,1.625,26
2 nov 2018,179,13,20,1.4,28
3 nov 2018,17,8,8,1,8
4 nov 2018,7,4,4,1,4
5 nov 2018,301,25,35,1.3142857142857143,46
6 nov 2018,424,12,21,1.4285714285714286,30
7 nov 2018,384,43,52,1.0769230769230769,56
8 nov 2018,290,23,28,1.25,35
9 nov 2018,280,8,15,1.3333333333333333,20
10 nov 2018,87,10,12,1.1666666666666667,14
11 nov 2018,126,4,6,2,12
12 nov 2018,100,12,15,1.4,21
13 nov 2018,165,23,29,1.1724137931034482,34
14 nov 2018,214,16,18,1.3333333333333333,24
15 nov 2018,271,16,24,1.2083333333333333,29
16 nov 2018,172,17,26,1.2307692307692308,32
17 nov 2018,26,8,12,1,12
18 nov 2018,28,13,13,1,13
19 nov 2018,2,2,2,1,2
20 nov 2018,365,12,18,1.4444444444444444,26
21 nov 2018,61,9,13,1.3076923076923077,17
22 nov 2018,57,8,14,1.1428571428571428,16
23 nov 2018,31,6,10,1,10
24 nov 2018,52,9,9,1.2222222222222223,11
25 nov 2018,7,3,4,1,4
26 nov 2018,65,11,12,1.0833333333333333,13
27 nov 2018,214,14,18,1.3333333333333333,24
28 nov 2018,258,19,30,1.3666666666666667,41
29 nov 2018,153,13,21,1.2380952380952381,26
30 nov 2018,35,8,12,1.25,15
1 dic 2018,31,4,4,1,4
2 dic 2018,43,8,9,1,9
3 dic 2018,126,16,21,1.0952380952380953,23
4 dic 2018,56,7,11,1.0909090909090908,12
5 dic 2018,112,10,13,1.2307692307692308,16
6 dic 2018,89,12,15,1.2,18
7 dic 2018,273,21,31,1.1935483870967742,37
8 dic 2018,38,14,15,1.0666666666666667,16
9 dic 2018,9,7,8,1.125,9
10 dic 2018,58,12,15,1,15
11 dic 2018,92,9,12,1,12
12 dic 2018,46,9,14,1.0714285714285714,15
13 dic 2018,92,12,16,1.125,18
14 dic 2018,84,11,15,1.1333333333333333,17
15 dic 2018,3,1,1,1,1
16 dic 2018,57,3,4,1,4
17 dic 2018,72,19,24,1,24
18 dic 2018,25,11,13,1.0769230769230769,14
19 dic 2018,60,7,8,1.125,9
20 dic 2018,72,7,10,1,10
21 dic 2018,16,4,6,1,6
22 dic 2018,24,4,5,1,5
23 dic 2018,40,3,4,1,4
24 dic 2018,1,1,1,1,1
25 dic 2018,9,3,3,1,3
26 dic 2018,10,4,7,1,7
27 dic 2018,44,6,7,1,7
28 dic 2018,12,4,4,1,4
29 dic 2018,10,3,5,1,5
30 dic 2018,26,1,2,1,2
31 dic 2018,1,0,1,1,1
1 ene 2019,11,1,1,1,1
2 ene 2019,9,3,5,1,5
3 ene 2019,3,1,2,1,2
4 ene 2019,10,8,8,1,8
5 ene 2019,4,1,2,1,2
6 ene 2019,8,1,2,1,2
7 ene 2019,5,2,2,1,2
8 ene 2019,26,3,6,1.1666666666666667,7
9 ene 2019,10,2,3,1,3
10 ene 2019,16,5,5,1,5
11 ene 2019,38,2,3,1,3
12 ene 2019,8,3,5,1.4,7
13 ene 2019,11,4,5,1,5
14 ene 2019,6,2,2,1.5,3
15 ene 2019,6,4,4,1,4
16 ene 2019,44,5,5,1.2,6
17 ene 2019,56,6,7,1.1428571428571428,8
18 ene 2019,37,7,8,1,8
19 ene 2019,34,6,9,1.2222222222222223,11
20 ene 2019,33,5,5,1.2,6
21 ene 2019,21,4,4,1,4
22 ene 2019,8,1,2,1,2
23 ene 2019,8,4,4,1,4
24 ene 2019,77,13,13,1,13
25 ene 2019,87,6,8,1.5,12
26 ene 2019,16,3,4,1,4
27 ene 2019,1,1,1,1,1
28 ene 2019,23,4,4,1,4
29 ene 2019,60,3,4,1,4
30 ene 2019,31,9,9,1,9
31 ene 2019,59,6,9,1.1111111111111112,10
1 feb 2019,17,4,7,1,7
2 feb 2019,76,4,4,1,4
3 feb 2019,34,4,4,1.25,5
4 feb 2019,16,3,3,1.3333333333333333,4
5 feb 2019,8,3,4,1.25,5
6 feb 2019,57,7,7,1.1428571428571428,8
7 feb 2019,22,8,10,1,10
8 feb 2019,20,7,8,1,8
9 feb 2019,19,8,8,1,8
10 feb 2019,4,4,4,1,4
11 feb 2019,294,35,44,1.0681818181818181,47
12 feb 2019,176,17,21,1,21
13 feb 2019,223,41,50,1.14,57
14 feb 2019,55,14,16,1.0625,17
15 feb 2019,73,9,12,1,12
16 feb 2019,30,5,6,1,6
17 feb 2019,28,2,3,1,3
18 feb 2019,47,10,13,1.3076923076923077,17
19 feb 2019,57,7,14,1.0714285714285714,15
20 feb 2019,110,23,27,1.2592592592592593,34
21 feb 2019,97,10,13,1.2307692307692308,16
22 feb 2019,79,8,15,1.1333333333333333,17
23 feb 2019,33,5,5,1,5
24 feb 2019,77,10,12,1.1666666666666667,14
25 feb 2019,60,17,21,1.380952380952381,29
26 feb 2019,77,13,20,1.05,21
27 feb 2019,95,15,18,1,18
28 feb 2019,80,13,15,1.2,18
1 mar 2019,49,6,8,1,8
2 mar 2019,4,1,1,1,1
3 mar 2019,15,2,2,1,2
4 mar 2019,21,5,6,1,6
5 mar 2019,36,8,9,1,9
6 mar 2019,50,15,17,1.0588235294117647,18
