,Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,desktop,mobile,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Linux,Android,iOS,Windows,Macintosh,Windows Phone,Sistema operativo (not set),Chrome OS,BlackBerry,Sistema operativo promedio,Sistema operativo std,Direct,Organic Search,Referral,Social,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std
0,8 oct 2018,541,22,22,1.6363636363636365,36,540,1,492,49,0,180.33333333333331,221.2876458870269,400,48,1,89,3,0,0,0,0,54.1,118.72948243801956,485,41,15,0,135.25,202.46033562157302
1,9 oct 2018,226,23,26,1.3461538461538465,35,212,14,211,8,7,75.33333333333333,95.93168865859128,112,8,7,99,0,0,0,0,0,22.6,41.65381135022341,201,25,0,0,56.5,84.04909279700763
2,10 oct 2018,136,18,24,1.4583333333333333,35,133,3,119,17,0,45.33333333333334,52.550504807808984,60,17,0,59,0,0,0,0,0,13.6,23.495531490051466,96,40,0,0,34.0,39.344631145812
3,11 oct 2018,229,11,16,1.8125,29,224,5,215,14,0,76.33333333333333,98.21857710682278,116,14,0,94,5,0,0,0,0,22.9,41.5558660119122,220,9,0,0,57.25,94.0355650804524
4,12 oct 2018,60,10,13,1.4615384615384617,19,56,4,40,20,0,20.0,16.32993161855452,3,20,0,37,0,0,0,0,0,6.0,11.907980517283358,24,14,22,0,15.0,9.433981132056603
5,13 oct 2018,83,8,11,1.181818181818182,13,82,1,52,31,0,27.66666666666667,21.359359124801053,0,31,0,52,0,0,0,0,0,8.3,17.251376756653364,4,79,0,0,20.75,33.67027620914328
6,14 oct 2018,19,5,7,1.0,7,14,5,11,8,0,6.333333333333332,4.642796092394708,0,7,1,11,0,0,0,0,0,1.9,3.672873534441392,14,5,0,0,4.75,5.717298313014637
7,15 oct 2018,32,9,10,1.0,10,29,3,25,4,3,10.666666666666666,10.143416036468627,1,4,3,14,10,0,0,0,0,3.2,4.686149805543993,10,22,0,0,8.0,9.055385138137416
8,16 oct 2018,196,11,20,1.6,32,172,24,162,34,0,65.33333333333333,69.74875546480301,74,33,1,88,0,0,0,0,0,19.6,32.3549068921547,130,14,51,1,49.0,50.23445033042564
9,17 oct 2018,237,8,14,1.5,21,237,0,232,4,1,79.0,108.1942697188719,96,4,1,136,0,0,0,0,0,23.7,47.023504760917156,155,33,49,0,59.25,58.036087910885236
10,18 oct 2018,274,40,50,1.38,69,273,1,154,120,0,91.33333333333331,66.05721425821373,63,115,5,91,0,0,0,0,0,27.4,42.41744923967022,189,60,25,0,68.5,72.76159701380942
11,19 oct 2018,245,15,25,1.36,34,245,0,196,49,0,81.66666666666667,83.28398538868215,132,36,13,64,0,0,0,0,0,24.5,41.20982892466311,176,48,21,0,61.25,68.40093201119412
12,20 oct 2018,48,5,7,1.2857142857142858,9,47,1,32,15,1,16.0,12.675435561221027,0,15,1,32,0,0,0,0,0,4.8,10.097524449091466,4,44,0,0,12.0,18.547236990991408
13,21 oct 2018,24,5,8,1.125,9,22,2,12,12,0,8.0,5.656854249492381,0,11,1,12,0,0,0,0,0,2.4,4.56508488420533,11,13,0,0,6.0,6.041522986797286
14,22 oct 2018,270,16,22,1.2272727272727273,27,268,2,245,25,0,90.0,110.07573150638912,172,25,0,73,0,0,0,0,0,27.0,53.148847588635455,206,55,9,0,67.5,82.63927637630908
15,23 oct 2018,62,10,12,1.0833333333333333,13,51,11,52,10,0,20.666666666666668,22.5289936649544,0,10,0,52,0,0,0,0,0,6.2,15.55506348428061,33,28,1,0,15.5,15.107944929738126
16,24 oct 2018,50,10,11,1.2727272727272727,14,50,0,48,2,0,16.666666666666668,22.17105219775452,0,2,0,48,0,0,0,0,0,5.0,14.34573107234344,9,32,9,0,12.5,11.84271928232701
17,25 oct 2018,107,12,18,1.1111111111111112,20,104,3,90,17,0,35.666666666666664,39.04128868547018,3,17,0,84,3,0,0,0,0,10.7,24.936118382779625,49,58,0,0,26.75,26.93858756505248
18,26 oct 2018,113,11,17,1.4117647058823528,24,113,0,94,19,0,37.66666666666666,40.581878824037815,41,19,0,50,3,0,0,0,0,11.3,18.094474294656923,54,39,20,0,28.25,20.27775875189366
19,27 oct 2018,29,4,6,1.0,6,29,0,8,21,0,9.666666666666666,8.65383665716478,0,21,0,8,0,0,0,0,0,2.9,6.487680633323438,13,16,0,0,7.25,7.327175444876423
