Fecha,Agrupación de canales predeterminada,Número de vistas de página
22 ago 2018,Organic Search,15
22 ago 2018,Social,6
22 ago 2018,Direct,179
23 ago 2018,Social,7
23 ago 2018,Organic Search,18
23 ago 2018,Direct,45
24 ago 2018,Referral,2
24 ago 2018,Direct,302
24 ago 2018,Social,1
24 ago 2018,Organic Search,18
25 ago 2018,Organic Search,6
25 ago 2018,Direct,145
26 ago 2018,Social,11
26 ago 2018,Direct,21
26 ago 2018,Organic Search,5
27 ago 2018,Direct,38
27 ago 2018,Organic Search,21
27 ago 2018,Social,23
28 ago 2018,Direct,253
28 ago 2018,Social,19
28 ago 2018,Organic Search,24
29 ago 2018,Social,18
29 ago 2018,Organic Search,9
29 ago 2018,Direct,223
30 ago 2018,Direct,127
30 ago 2018,Social,17
30 ago 2018,Organic Search,16
31 ago 2018,Social,9
31 ago 2018,Organic Search,25
31 ago 2018,Direct,25
1 sept 2018,Referral,1
1 sept 2018,Social,11
1 sept 2018,Organic Search,20
1 sept 2018,Direct,58
2 sept 2018,Direct,34
2 sept 2018,Social,17
2 sept 2018,Organic Search,7
3 sept 2018,Organic Search,14
3 sept 2018,Direct,18
3 sept 2018,Social,6
4 sept 2018,Direct,35
4 sept 2018,Social,21
4 sept 2018,Organic Search,23
5 sept 2018,Organic Search,22
5 sept 2018,Referral,1
5 sept 2018,Direct,24
5 sept 2018,Social,22
6 sept 2018,Organic Search,13
6 sept 2018,Social,13
6 sept 2018,Direct,79
7 sept 2018,Social,2
7 sept 2018,Organic Search,9
7 sept 2018,Direct,33
8 sept 2018,Direct,32
8 sept 2018,Organic Search,18
8 sept 2018,Social,5
9 sept 2018,Direct,9
10 sept 2018,Organic Search,11
10 sept 2018,Direct,24
10 sept 2018,Social,3
11 sept 2018,Social,78
11 sept 2018,Direct,22
11 sept 2018,Organic Search,9
12 sept 2018,Organic Search,31
12 sept 2018,Direct,39
12 sept 2018,Social,13
13 sept 2018,Organic Search,44
13 sept 2018,Direct,16
13 sept 2018,Social,49
14 sept 2018,Social,8
14 sept 2018,Organic Search,20
14 sept 2018,Direct,33
15 sept 2018,Organic Search,22
15 sept 2018,Referral,1
15 sept 2018,Social,8
15 sept 2018,Direct,48
16 sept 2018,Organic Search,19
16 sept 2018,Direct,23
17 sept 2018,Organic Search,11
17 sept 2018,Social,32
17 sept 2018,Referral,1
17 sept 2018,Direct,21
18 sept 2018,Organic Search,70
18 sept 2018,Social,17
18 sept 2018,Direct,44
19 sept 2018,Direct,24
19 sept 2018,Social,6
19 sept 2018,Organic Search,8
20 sept 2018,Organic Search,26
20 sept 2018,Direct,9
20 sept 2018,Social,49
21 sept 2018,Direct,29
21 sept 2018,Organic Search,22
22 sept 2018,Direct,9
22 sept 2018,Organic Search,20
23 sept 2018,Organic Search,24
23 sept 2018,Direct,3
24 sept 2018,Referral,5
24 sept 2018,Direct,19
24 sept 2018,Social,14
24 sept 2018,Organic Search,6
25 sept 2018,Direct,10
25 sept 2018,Organic Search,29
26 sept 2018,Direct,35
26 sept 2018,Referral,1
26 sept 2018,Organic Search,21
27 sept 2018,Direct,4
27 sept 2018,Social,19
27 sept 2018,Organic Search,19
28 sept 2018,Direct,24
28 sept 2018,Referral,1
28 sept 2018,Social,7
28 sept 2018,Organic Search,19
29 sept 2018,Organic Search,23
29 sept 2018,Direct,29
29 sept 2018,Social,3
30 sept 2018,Direct,5
30 sept 2018,Organic Search,10
