Fecha,País,Número de vistas de página
22 ago 2018,Argentina,200
23 ago 2018,Argentina,69
23 ago 2018,Panama,1
24 ago 2018,South Korea,1
24 ago 2018,Argentina,320
24 ago 2018,United States,1
24 ago 2018,Mexico,1
25 ago 2018,Venezuela,1
25 ago 2018,Argentina,149
25 ago 2018,China,1
26 ago 2018,Argentina,37
27 ago 2018,South Korea,2
27 ago 2018,Argentina,78
27 ago 2018,Panama,1
27 ago 2018,Mexico,1
28 ago 2018,Nigeria,1
28 ago 2018,Argentina,295
29 ago 2018,Panama,2
29 ago 2018,Argentina,247
29 ago 2018,United States,1
30 ago 2018,Argentina,159
30 ago 2018,India,1
31 ago 2018,South Korea,1
31 ago 2018,Argentina,58
1 sept 2018,Ecuador,2
1 sept 2018,Argentina,86
1 sept 2018,India,1
1 sept 2018,Colombia,1
2 sept 2018,United States,2
2 sept 2018,Philippines,1
2 sept 2018,Argentina,54
2 sept 2018,France,1
3 sept 2018,Argentina,38
4 sept 2018,Argentina,78
4 sept 2018,Philippines,1
5 sept 2018,United States,2
5 sept 2018,Argentina,67
6 sept 2018,Argentina,105
7 sept 2018,South Korea,3
7 sept 2018,Argentina,41
8 sept 2018,South Korea,1
8 sept 2018,Argentina,54
9 sept 2018,Argentina,9
10 sept 2018,South Korea,2
10 sept 2018,Argentina,36
11 sept 2018,Argentina,108
11 sept 2018,South Korea,1
12 sept 2018,Panama,1
12 sept 2018,Argentina,81
12 sept 2018,El Salvador,1
13 sept 2018,China,1
13 sept 2018,Brazil,1
13 sept 2018,Argentina,106
13 sept 2018,Panama,1
14 sept 2018,South Korea,1
14 sept 2018,Argentina,60
15 sept 2018,Argentina,77
15 sept 2018,Mexico,1
15 sept 2018,Spain,1
16 sept 2018,Argentina,42
17 sept 2018,Argentina,65
18 sept 2018,India,1
18 sept 2018,Mexico,1
18 sept 2018,Argentina,128
18 sept 2018,South Korea,1
19 sept 2018,Argentina,38
20 sept 2018,Peru,1
20 sept 2018,Japan,1
20 sept 2018,Spain,1
20 sept 2018,Argentina,81
21 sept 2018,Argentina,49
21 sept 2018,South Korea,1
21 sept 2018,Uruguay,1
22 sept 2018,Uruguay,1
22 sept 2018,Argentina,28
23 sept 2018,Argentina,26
23 sept 2018,Mexico,1
24 sept 2018,Argentina,42
24 sept 2018,United States,1
24 sept 2018,Brazil,1
25 sept 2018,Uruguay,1
25 sept 2018,Argentina,36
25 sept 2018,South Korea,1
25 sept 2018,Japan,1
26 sept 2018,Argentina,47
26 sept 2018,United States,8
26 sept 2018,South Korea,1
26 sept 2018,China,1
27 sept 2018,Argentina,42
28 sept 2018,India,1
28 sept 2018,South Korea,1
28 sept 2018,Argentina,48
28 sept 2018,Russia,1
29 sept 2018,Uruguay,1
29 sept 2018,Brazil,1
29 sept 2018,China,2
29 sept 2018,Argentina,51
