Fecha,Sistema operativo,Número de vistas de página
22 ago 2018,Windows,165
22 ago 2018,Android,23
22 ago 2018,Linux,12
23 ago 2018,Android,29
23 ago 2018,Macintosh,1
23 ago 2018,Windows,38
23 ago 2018,Linux,2
24 ago 2018,Macintosh,1
24 ago 2018,Android,28
24 ago 2018,Windows,290
24 ago 2018,Linux,4
25 ago 2018,Windows,104
25 ago 2018,Android,44
25 ago 2018,Linux,3
26 ago 2018,Android,18
26 ago 2018,Windows,18
26 ago 2018,Linux,1
27 ago 2018,Windows,37
27 ago 2018,(not set),2
27 ago 2018,Linux,2
27 ago 2018,Android,41
28 ago 2018,Linux,8
28 ago 2018,Windows,245
28 ago 2018,Android,39
28 ago 2018,Macintosh,4
29 ago 2018,Linux,2
29 ago 2018,Android,76
29 ago 2018,Windows,164
29 ago 2018,iOS,8
30 ago 2018,(not set),1
30 ago 2018,Linux,4
30 ago 2018,Windows,116
30 ago 2018,iOS,2
30 ago 2018,Android,37
31 ago 2018,Android,30
31 ago 2018,Windows,28
31 ago 2018,Linux,1
1 sept 2018,Macintosh,3
1 sept 2018,Android,30
1 sept 2018,Windows,55
1 sept 2018,iOS,2
2 sept 2018,iOS,3
2 sept 2018,Linux,1
2 sept 2018,Windows,21
2 sept 2018,Android,32
2 sept 2018,Windows Phone,1
3 sept 2018,Linux,4
3 sept 2018,Windows,23
3 sept 2018,Macintosh,1
3 sept 2018,Android,10
4 sept 2018,Linux,8
4 sept 2018,Windows,48
4 sept 2018,iOS,1
4 sept 2018,Macintosh,1
4 sept 2018,Android,21
5 sept 2018,Android,29
5 sept 2018,Windows,40
6 sept 2018,Windows,46
6 sept 2018,Windows Phone,2
6 sept 2018,Android,51
6 sept 2018,iOS,6
7 sept 2018,Windows,25
7 sept 2018,Linux,2
7 sept 2018,Android,17
8 sept 2018,Android,28
8 sept 2018,Windows,26
8 sept 2018,(not set),1
9 sept 2018,Windows,3
9 sept 2018,Windows Phone,1
9 sept 2018,Android,5
10 sept 2018,Linux,7
10 sept 2018,Android,16
10 sept 2018,Windows,12
10 sept 2018,(not set),2
10 sept 2018,Macintosh,1
11 sept 2018,iOS,3
11 sept 2018,Linux,2
11 sept 2018,(not set),1
11 sept 2018,Windows,82
11 sept 2018,Macintosh,11
11 sept 2018,Android,10
12 sept 2018,Android,39
12 sept 2018,Windows,40
12 sept 2018,iOS,1
12 sept 2018,Macintosh,1
12 sept 2018,Linux,2
13 sept 2018,Linux,2
13 sept 2018,Android,38
13 sept 2018,Windows,69
14 sept 2018,Linux,8
14 sept 2018,Android,33
14 sept 2018,Windows,20
15 sept 2018,Android,50
15 sept 2018,iOS,1
15 sept 2018,Macintosh,1
15 sept 2018,Windows,27
16 sept 2018,Windows,10
16 sept 2018,Linux,5
16 sept 2018,Android,27
17 sept 2018,Android,27
17 sept 2018,iOS,2
17 sept 2018,Macintosh,1
17 sept 2018,Linux,3
17 sept 2018,Windows,32
18 sept 2018,(not set),1
18 sept 2018,Linux,2
18 sept 2018,iOS,4
18 sept 2018,Android,39
18 sept 2018,Windows,79
18 sept 2018,Macintosh,5
18 sept 2018,Chrome OS,1
19 sept 2018,Android,17
19 sept 2018,Macintosh,2
19 sept 2018,Windows,19
20 sept 2018,Windows,65
20 sept 2018,iOS,5
20 sept 2018,Windows Phone,1
20 sept 2018,Android,13
21 sept 2018,Android,14
21 sept 2018,Windows Phone,1
21 sept 2018,iOS,8
21 sept 2018,Windows,11
21 sept 2018,Linux,17
22 sept 2018,Android,7
22 sept 2018,Windows,22
23 sept 2018,Linux,1
23 sept 2018,iOS,7
23 sept 2018,Windows,5
23 sept 2018,Android,14
24 sept 2018,Android,9
24 sept 2018,Windows,35
25 sept 2018,Android,9
25 sept 2018,Windows,29
25 sept 2018,(not set),1
26 sept 2018,Android,25
26 sept 2018,Windows,30
26 sept 2018,Linux,2
27 sept 2018,Android,24
27 sept 2018,Windows,8
27 sept 2018,iOS,10
28 sept 2018,Windows,22
28 sept 2018,Android,28
28 sept 2018,Macintosh,1
29 sept 2018,Windows,18
29 sept 2018,iOS,1
29 sept 2018,Android,35
29 sept 2018,Linux,1
30 sept 2018,Android,9
30 sept 2018,Linux,2
30 sept 2018,Macintosh,4
1 oct 2018,Windows,23
1 oct 2018,Android,17
2 oct 2018,Windows Phone,1
2 oct 2018,(not set),1
2 oct 2018,Macintosh,2
2 oct 2018,iOS,1
2 oct 2018,Android,22
2 oct 2018,Windows,17
3 oct 2018,Windows,39
3 oct 2018,Android,18
3 oct 2018,Linux,1
3 oct 2018,iOS,2
4 oct 2018,Macintosh,1
4 oct 2018,Windows,45
4 oct 2018,Android,15
5 oct 2018,iOS,1
5 oct 2018,Windows,43
5 oct 2018,Android,27
5 oct 2018,Linux,2
6 oct 2018,Linux,1
6 oct 2018,Windows,21
6 oct 2018,Android,13
6 oct 2018,iOS,1
7 oct 2018,Android,14
7 oct 2018,Windows,11
7 oct 2018,Tizen,2
7 oct 2018,Linux,1
8 oct 2018,iOS,2
8 oct 2018,Linux,1
8 oct 2018,Android,8
8 oct 2018,Windows,9
9 oct 2018,Android,36
9 oct 2018,(not set),1
9 oct 2018,Windows,96
10 oct 2018,Windows,21
10 oct 2018,iOS,4
10 oct 2018,Android,57
10 oct 2018,Macintosh,1
11 oct 2018,Windows,21
11 oct 2018,Android,20
11 oct 2018,Linux,10
12 oct 2018,iOS,4
12 oct 2018,Android,25
12 oct 2018,Windows,18
12 oct 2018,Macintosh,2
13 oct 2018,Linux,2
13 oct 2018,Windows,6
13 oct 2018,Android,6
14 oct 2018,Android,9
14 oct 2018,Windows,10
15 oct 2018,Android,12
15 oct 2018,Windows,7
16 oct 2018,Windows,26
16 oct 2018,(not set),1
16 oct 2018,Android,41
16 oct 2018,Macintosh,1
17 oct 2018,Linux,3
17 oct 2018,Android,76
17 oct 2018,Macintosh,2
17 oct 2018,Windows,11
18 oct 2018,Windows,14
18 oct 2018,iOS,15
18 oct 2018,Macintosh,1
18 oct 2018,Linux,8
18 oct 2018,Android,18
19 oct 2018,Android,25
19 oct 2018,iOS,1
19 oct 2018,Windows,19
20 oct 2018,Macintosh,1
20 oct 2018,Tizen,1
20 oct 2018,Android,13
20 oct 2018,Windows,8
21 oct 2018,Android,9
21 oct 2018,iOS,2
21 oct 2018,Windows,6
22 oct 2018,Linux,14
22 oct 2018,Windows,13
22 oct 2018,Android,11
22 oct 2018,(not set),1
23 oct 2018,(not set),2
23 oct 2018,Windows,30
23 oct 2018,Android,71
23 oct 2018,iOS,6
23 oct 2018,Linux,3
24 oct 2018,Windows,15
24 oct 2018,Android,25
25 oct 2018,Windows Phone,1
25 oct 2018,Windows,23
25 oct 2018,Android,13
25 oct 2018,Linux,1
25 oct 2018,iOS,4
26 oct 2018,Linux,1
