,Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,mobile,desktop,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Windows,Android,Linux,Macintosh,Sistema operativo (not set),iOS,Windows Phone,Chrome OS,Tizen,BlackBerry,Sistema operativo promedio,Sistema operativo std,Organic Search,Social,Direct,Referral,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std
0,22 ago 2018,200,23,23,1.2173913043478262,28,200,0,23,177,0,66.66666666666667,78.58046124125825,165,23,12,0,0,0,0,0,0,0,20.0,48.885580696152104,15,6,179,0,50.0,74.66927078792186
1,23 ago 2018,70,29,33,1.1212121212121209,37,69,1,29,41,0,23.33333333333333,17.21110752456745,38,29,2,1,0,0,0,0,0,0,7.0,13.41640786499874,18,7,45,0,17.5,17.124543789543708
2,24 ago 2018,323,20,27,1.3333333333333333,36,320,3,28,295,0,107.66666666666669,132.9569688115503,290,28,4,1,0,0,0,0,0,0,32.3,86.29490135575796,18,1,302,2,80.75,127.91672095547165
3,25 ago 2018,151,10,15,1.2,18,149,2,44,107,0,50.33333333333334,43.91152721350309,104,44,3,0,0,0,0,0,0,0,15.1,32.374218137277076,6,0,145,0,37.75,61.9692464049709
4,26 ago 2018,37,12,13,1.1538461538461535,15,37,0,18,19,0,12.333333333333336,8.73053390247253,18,18,1,0,0,0,0,0,0,0,3.7,7.156116265125937,5,11,21,0,9.25,7.822243923581007
5,27 ago 2018,82,21,28,1.1785714285714286,33,78,4,41,41,0,27.33333333333333,19.3275853524323,37,41,2,0,2,0,0,0,0,0,8.2,15.44538766104626,21,23,38,0,20.5,13.536986370680886
6,28 ago 2018,296,29,35,1.2571428571428571,44,295,1,39,257,0,98.66666666666669,113.08502209498049,245,39,8,4,0,0,0,0,0,0,29.6,72.70790878577104,24,19,253,0,74.0,103.73282990451963
7,29 ago 2018,250,67,75,1.0933333333333333,82,247,3,84,166,0,83.33333333333333,67.7708557485361,164,76,2,0,0,8,0,0,0,0,25.0,51.46843692983109,9,18,223,0,62.5,92.88299090791595
8,30 ago 2018,160,37,52,1.1346153846153846,59,159,1,39,121,0,53.33333333333334,50.42706504337615,116,37,4,0,1,2,0,0,0,0,16.0,35.05139084258997,16,17,127,0,40.0,50.680370953654226
9,31 ago 2018,59,18,30,1.2,36,58,1,30,29,0,19.666666666666668,13.912424503139473,28,30,1,0,0,0,0,0,0,0,5.9,11.562439189029277,25,9,25,0,14.75,10.73254396683284
10,1 sept 2018,90,19,29,1.3448275862068966,39,86,4,32,58,0,30.0,23.720595832876263,55,30,0,3,0,2,0,0,0,0,9.0,17.686152775547317,20,11,58,1,22.5,21.569654610122992
11,2 sept 2018,58,24,33,1.181818181818182,39,54,4,36,22,0,19.33333333333333,14.817407180595248,21,32,1,0,0,3,1,0,0,0,5.8,10.675204916066017,7,17,34,0,14.5,12.776932339180636
12,3 sept 2018,38,15,22,1.2272727272727273,27,38,0,10,28,0,12.666666666666664,11.585431464655178,23,10,4,1,0,0,0,0,0,0,3.8,7.0823724838503095,14,6,18,0,9.5,6.98212002188447
13,4 sept 2018,79,19,30,1.1333333333333333,34,78,1,22,57,0,26.33333333333333,23.471022323045254,48,21,8,1,0,1,0,0,0,0,7.9,14.788170948430368,23,21,35,0,19.75,12.597122687344122
14,5 sept 2018,69,19,30,1.0333333333333334,31,67,2,29,40,0,23.0,16.872067646458348,40,29,0,0,0,0,0,0,0,0,6.9,14.017489076150547,22,22,24,1,17.25,9.417404100918679
15,6 sept 2018,105,32,39,1.205128205128205,47,105,0,60,45,0,35.0,25.495097567963924,46,51,0,0,0,6,2,0,0,0,10.5,19.11674658512792,13,13,79,0,26.25,30.914195768287424
16,7 sept 2018,44,14,21,1.0952380952380951,23,41,3,17,27,0,14.666666666666664,11.145502331533658,25,17,2,0,0,0,0,0,0,0,4.4,8.511169132381287,9,2,33,0,11.0,13.133925536563696
17,8 sept 2018,55,14,18,1.2777777777777777,23,54,1,28,27,0,18.33333333333333,12.970050972229144,26,28,0,0,1,0,0,0,0,0,5.5,10.763363786474931,18,5,32,0,13.75,12.417225938187645
18,9 sept 2018,9,2,5,1.0,5,9,0,6,3,0,3.0,2.449489742783178,3,5,0,0,0,0,1,0,0,0,0.9,1.6401219466856722,0,0,9,0,2.25,3.897114317029974
19,10 sept 2018,38,13,19,1.0,19,36,2,16,22,0,12.666666666666664,9.285592184789412,12,16,7,1,2,0,0,0,0,0,3.8,5.564171097297423,11,3,24,0,9.5,9.287087810503355
20,11 sept 2018,109,12,17,1.2352941176470589,21,108,1,13,96,0,36.333333333333336,42.52319628417204,82,10,2,11,1,3,0,0,0,0,10.9,24.022697600394512,9,78,22,0,27.25,30.326349928733592
21,12 sept 2018,83,21,32,1.15625,37,81,2,40,43,0,27.66666666666667,19.601587237318874,40,39,2,1,0,1,0,0,0,0,8.3,15.614416415607725,31,13,39,0,20.75,15.237699957670774
22,13 sept 2018,109,20,31,1.1612903225806452,36,106,3,38,71,0,36.333333333333336,29.00957696271277,69,38,2,0,0,0,0,0,0,0,10.9,22.407364860688116,44,49,16,0,27.25,20.141685629559408
23,14 sept 2018,61,15,30,1.2333333333333334,37,60,1,33,28,0,20.33333333333333,14.522013940527975,20,33,8,0,0,0,0,0,0,0,6.1,10.866922287382016,20,8,33,0,15.25,12.47747971346778
24,15 sept 2018,79,26,33,1.303030303030303,43,77,2,51,28,0,26.33333333333333,20.853989759489398,27,50,0,1,0,1,0,0,0,0,7.9,16.145897311701198,22,8,48,1,19.75,17.977416388346796
25,16 sept 2018,42,5,11,1.5454545454545454,17,42,0,27,15,0,14.0,11.04536101718726,10,27,5,0,0,0,0,0,0,0,4.2,8.231646250902669,19,0,23,0,10.5,10.594810050208547
