,Fecha,Vistas,Usuarios nuevos,Total de usuarios,Sesiones por usuario,Sesiones,mobile Vistas,mobile Usuarios nuevos,mobile Total de usuarios,mobile Sesiones por usuario,mobile Sesiones,desktop Vistas,desktop Usuarios nuevos,desktop Total de usuarios,desktop Sesiones por usuario,desktop Sesiones,tablet Vistas,tablet Usuarios nuevos,tablet Total de usuarios,tablet Sesiones por usuario,tablet Sesiones
0,14 jun 2022,38,23,23,2.330357142857143,27,30.0,16.0,16.0,1.1875,19.0,8.0,7.0,7.0,1.1428571428571428,8.0,,,,,
1,15 jun 2022,35,22,23,2.090909090909091,24,21.0,10.0,11.0,1.0909090909090908,12.0,14.0,12.0,12.0,1.0,12.0,,,,,
2,16 jun 2022,46,16,21,2.230769230769231,24,37.0,10.0,13.0,1.2307692307692308,16.0,9.0,6.0,8.0,1.0,8.0,,,,,
3,17 jun 2022,32,10,13,2.25,14,20.0,2.0,4.0,1.25,5.0,12.0,8.0,9.0,1.0,9.0,,,,,
4,18 jun 2022,15,9,10,2.0,10,8.0,7.0,7.0,1.0,7.0,7.0,2.0,3.0,1.0,3.0,,,,,
5,19 jun 2022,12,6,7,2.0,7,9.0,3.0,4.0,1.0,4.0,3.0,3.0,3.0,1.0,3.0,,,,,
6,20 jun 2022,9,5,6,2.0,6,2.0,1.0,1.0,1.0,1.0,7.0,4.0,5.0,1.0,5.0,,,,,
7,21 jun 2022,68,36,40,2.1724137931034484,45,52.0,27.0,29.0,1.1724137931034482,34.0,16.0,9.0,11.0,1.0,11.0,,,,,
8,22 jun 2022,26,9,13,2.4,15,17.0,5.0,8.0,1.0,8.0,9.0,4.0,5.0,1.4,7.0,,,,,
9,23 jun 2022,53,21,23,2.6607142857142856,31,41.0,15.0,16.0,1.375,22.0,12.0,6.0,7.0,1.2857142857142858,9.0,,,,,
10,24 jun 2022,21,10,13,2.166666666666667,14,11.0,4.0,6.0,1.1666666666666667,7.0,10.0,6.0,7.0,1.0,7.0,,,,,
11,25 jun 2022,34,14,17,2.3666666666666667,20,17.0,9.0,12.0,1.1666666666666667,14.0,17.0,5.0,5.0,1.2,6.0,,,,,
12,26 jun 2022,9,6,6,2.0,6,6.0,4.0,4.0,1.0,4.0,3.0,2.0,2.0,1.0,2.0,,,,,
13,27 jun 2022,10,5,7,2.9,10,3.0,1.0,2.0,1.5,3.0,7.0,4.0,5.0,1.4,7.0,,,,,
14,28 jun 2022,60,30,39,2.2217741935483866,43,47.0,24.0,31.0,1.0967741935483872,34.0,13.0,6.0,8.0,1.125,9.0,,,,,
15,29 jun 2022,25,13,18,2.2,20,10.0,5.0,8.0,1.0,8.0,15.0,8.0,10.0,1.2,12.0,,,,,
16,30 jun 2022,91,41,50,2.47948717948718,59,74.0,34.0,39.0,1.1794871794871795,46.0,17.0,7.0,11.0,1.3,13.0,,,,,
17,1 jul 2022,25,14,19,2.3833333333333333,22,18.0,10.0,15.0,1.1333333333333333,17.0,7.0,4.0,4.0,1.25,5.0,,,,,
18,2 jul 2022,26,16,16,2.0,16,20.0,12.0,12.0,1.0,12.0,6.0,4.0,4.0,1.0,4.0,,,,,
19,3 jul 2022,18,9,9,2.166666666666667,10,7.0,3.0,3.0,1.0,3.0,11.0,6.0,6.0,1.1666666666666667,7.0,,,,,
20,4 jul 2022,147,10,14,2.6363636363636367,21,5.0,2.0,3.0,1.0,3.0,142.0,8.0,11.0,1.6363636363636365,18.0,,,,,
21,5 jul 2022,23,8,11,3.6,14,5.0,4.0,5.0,1.0,5.0,17.0,3.0,5.0,1.6,8.0,1.0,1.0,1.0,1.0,1.0
22,6 jul 2022,12,9,11,2.2,12,6.0,5.0,6.0,1.0,6.0,6.0,4.0,5.0,1.2,6.0,,,,,
23,7 jul 2022,107,65,70,3.448717948717949,86,45.0,27.0,30.0,1.1666666666666667,35.0,61.0,37.0,39.0,1.2820512820512822,50.0,1.0,1.0,1.0,1.0,1.0
24,8 jul 2022,26,12,16,2.745454545454545,23,9.0,4.0,5.0,1.2,6.0,17.0,8.0,11.0,1.5454545454545454,17.0,,,,,
25,9 jul 2022,5,4,5,2.0,5,2.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,,,,,
26,10 jul 2022,6,2,2,1.0,2,6.0,2.0,2.0,1.0,2.0,,,,,,,,,,
27,11 jul 2022,1,0,1,1.0,1,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,
28,12 jul 2022,17,9,9,2.0,9,5.0,4.0,4.0,1.0,4.0,12.0,5.0,5.0,1.0,5.0,,,,,
29,13 jul 2022,15,8,9,2.166666666666667,10,9.0,5.0,6.0,1.1666666666666667,7.0,6.0,3.0,3.0,1.0,3.0,,,,,
30,14 jul 2022,4,2,4,2.0,4,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,
31,15 jul 2022,1,1,1,1.0,1,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
32,16 jul 2022,3,2,3,1.0,3,,,,,,3.0,2.0,3.0,1.0,3.0,,,,,
33,17 jul 2022,9,6,6,2.333333333333333,7,3.0,3.0,3.0,1.0,3.0,6.0,3.0,3.0,1.3333333333333333,4.0,,,,,
34,18 jul 2022,14,4,4,2.0,4,6.0,2.0,2.0,1.0,2.0,8.0,2.0,2.0,1.0,2.0,,,,,
35,19 jul 2022,6,2,4,2.0,4,3.0,2.0,3.0,1.0,3.0,3.0,0.0,1.0,1.0,1.0,,,,,
36,20 jul 2022,14,8,8,2.533333333333333,10,8.0,3.0,3.0,1.3333333333333333,4.0,6.0,5.0,5.0,1.2,6.0,,,,,
37,21 jul 2022,5,5,5,1.0,5,5.0,5.0,5.0,1.0,5.0,,,,,,,,,,
38,22 jul 2022,10,8,9,2.166666666666667,10,2.0,2.0,3.0,1.0,3.0,8.0,6.0,6.0,1.1666666666666667,7.0,,,,,
