Fecha,Sistema operativo,Número de vistas de página
28 may 2018,iOS,11
28 may 2018,Android,156
28 may 2018,Windows,309
28 may 2018,Linux,30
28 may 2018,(not set),1
28 may 2018,Macintosh,1
29 may 2018,Chrome OS,3
29 may 2018,Windows,510
29 may 2018,Linux,87
29 may 2018,Windows Phone,3
29 may 2018,Macintosh,38
29 may 2018,Android,336
29 may 2018,iOS,30
30 may 2018,Windows Phone,2
30 may 2018,Chrome OS,1
30 may 2018,Windows,596
30 may 2018,iOS,24
30 may 2018,Macintosh,7
30 may 2018,Linux,93
30 may 2018,Android,277
31 may 2018,Android,277
31 may 2018,iOS,17
31 may 2018,Windows Phone,1
31 may 2018,Linux,345
31 may 2018,Windows,841
31 may 2018,Macintosh,8
1 jun 2018,Linux,115
1 jun 2018,Windows Phone,9
1 jun 2018,Android,357
1 jun 2018,Macintosh,16
1 jun 2018,iOS,50
1 jun 2018,Windows,646
2 jun 2018,iOS,27
2 jun 2018,Windows Phone,2
2 jun 2018,Android,467
2 jun 2018,Windows,376
2 jun 2018,Linux,10
2 jun 2018,Macintosh,8
3 jun 2018,Android,301
3 jun 2018,Macintosh,6
3 jun 2018,iOS,17
3 jun 2018,Windows,222
3 jun 2018,Linux,15
4 jun 2018,Chrome OS,3
4 jun 2018,iOS,49
4 jun 2018,Linux,154
4 jun 2018,Android,359
4 jun 2018,Windows,792
4 jun 2018,Windows Phone,3
4 jun 2018,Macintosh,10
5 jun 2018,Macintosh,5
5 jun 2018,iOS,41
5 jun 2018,Android,342
5 jun 2018,Windows,883
5 jun 2018,Linux,115
5 jun 2018,Windows Phone,2
6 jun 2018,Linux,99
6 jun 2018,Macintosh,3
6 jun 2018,Android,294
6 jun 2018,(not set),2
6 jun 2018,Windows,573
6 jun 2018,iOS,15
7 jun 2018,Macintosh,14
7 jun 2018,Linux,156
7 jun 2018,Windows,515
7 jun 2018,Android,333
7 jun 2018,iOS,28
8 jun 2018,Windows,558
8 jun 2018,Android,268
8 jun 2018,iOS,14
8 jun 2018,Windows Phone,5
8 jun 2018,Linux,72
8 jun 2018,Macintosh,13
9 jun 2018,Linux,12
9 jun 2018,Android,430
9 jun 2018,Macintosh,5
9 jun 2018,(not set),1
9 jun 2018,Windows Phone,8
9 jun 2018,Windows,304
9 jun 2018,iOS,47
10 jun 2018,iOS,24
10 jun 2018,Android,234
10 jun 2018,Windows Phone,2
10 jun 2018,Macintosh,5
10 jun 2018,Linux,4
10 jun 2018,Windows,250
11 jun 2018,Windows Phone,11
11 jun 2018,Android,494
11 jun 2018,Windows,1013
11 jun 2018,Linux,186
11 jun 2018,(not set),2
11 jun 2018,Macintosh,6
11 jun 2018,iOS,30
12 jun 2018,Windows,1172
12 jun 2018,Android,939
12 jun 2018,Macintosh,35
12 jun 2018,Windows Phone,20
12 jun 2018,Linux,293
12 jun 2018,(not set),1
12 jun 2018,iOS,54
13 jun 2018,Android,758
13 jun 2018,iOS,76
13 jun 2018,Macintosh,22
13 jun 2018,Windows,1290
13 jun 2018,Windows Phone,11
13 jun 2018,Linux,109
14 jun 2018,Android,298
14 jun 2018,Linux,135
14 jun 2018,Windows,585
14 jun 2018,iOS,17
14 jun 2018,Macintosh,4
15 jun 2018,Windows Phone,4
15 jun 2018,iOS,16
15 jun 2018,Android,261
15 jun 2018,Windows,411
15 jun 2018,Macintosh,4
15 jun 2018,Linux,49
16 jun 2018,Android,132
16 jun 2018,Windows,105
16 jun 2018,Windows Phone,5
16 jun 2018,Linux,13
16 jun 2018,iOS,4
16 jun 2018,Macintosh,3
17 jun 2018,Linux,5
17 jun 2018,Android,110
17 jun 2018,iOS,15
17 jun 2018,Macintosh,4
17 jun 2018,Windows,182
17 jun 2018,Windows Phone,1
18 jun 2018,Android,224
18 jun 2018,Windows,619
18 jun 2018,Macintosh,25
18 jun 2018,Linux,89
18 jun 2018,Windows Phone,3
18 jun 2018,iOS,21
19 jun 2018,Windows,488
19 jun 2018,Linux,78
19 jun 2018,Android,244
19 jun 2018,iOS,31
19 jun 2018,(not set),2
19 jun 2018,Chrome OS,5
19 jun 2018,Macintosh,13
20 jun 2018,Linux,2
20 jun 2018,Macintosh,4
20 jun 2018,Android,220
20 jun 2018,Windows,326
20 jun 2018,iOS,6
21 jun 2018,Macintosh,2
21 jun 2018,iOS,18
21 jun 2018,Windows Phone,2
21 jun 2018,Windows,388
21 jun 2018,Linux,101
21 jun 2018,Android,187
22 jun 2018,Linux,47
22 jun 2018,Windows Phone,3
22 jun 2018,Android,265
22 jun 2018,Windows,389
22 jun 2018,iOS,18
22 jun 2018,Macintosh,7
23 jun 2018,Android,130
23 jun 2018,Macintosh,2
23 jun 2018,Windows,195
23 jun 2018,iOS,19
23 jun 2018,Windows Phone,3
23 jun 2018,Linux,7
24 jun 2018,(not set),4
24 jun 2018,Macintosh,23
24 jun 2018,iOS,16
24 jun 2018,Windows Phone,6
24 jun 2018,Linux,3
24 jun 2018,Windows,161
24 jun 2018,Android,175
25 jun 2018,Macintosh,15
25 jun 2018,Windows Phone,1
25 jun 2018,Windows,434
25 jun 2018,iOS,26
25 jun 2018,Linux,13
25 jun 2018,Android,245
26 jun 2018,iOS,23
26 jun 2018,Windows,502
26 jun 2018,Linux,56
26 jun 2018,Windows Phone,1
26 jun 2018,Android,198
26 jun 2018,Macintosh,7
27 jun 2018,Windows Phone,9
27 jun 2018,(not set),4
27 jun 2018,Macintosh,3
27 jun 2018,Linux,101
27 jun 2018,iOS,11
27 jun 2018,Android,241
27 jun 2018,Windows,480
28 jun 2018,Windows Phone,3
28 jun 2018,Macintosh,3
28 jun 2018,Linux,51
28 jun 2018,Android,303
28 jun 2018,iOS,10
28 jun 2018,Windows,453
29 jun 2018,Linux,57
29 jun 2018,Windows Phone,3
29 jun 2018,Macintosh,19
